,Unnamed: 0.1,Unnamed: 0,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
61,12342.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-28,200864,18991,82233,   -2384,    -416,   -2614
62,12343.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-21,203248,19407,84847,   -2798,     729,   -4234
63,12344.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-14,206046,18678,89081,    5682,    1507,    4189
64,12345.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-07,200364,17171,84892,    1836,   -8247,   10142
65,12346.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-31,198528,25418,74750,   13781,    3092,    3785
66,12347.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-24,184747,22326,70965,     809,     686,     786
67,12348.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-17,183938,21640,70179,    4581,    1298,    3348
68,12349.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-10,179357,20342,66831,  -10086,   -1332,    5006
69,12350.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-03,189443,21674,61825,   13595,    4668,   12123
70,12351.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-26,175848,17006,49702,  -70999,   -2021,  -17352
71,12352.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-19,246847,19027,67054,   29767,  -21271,  -15127
72,12353.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-12,217080,40298,82181,   27420,   -5463,   11457
73,12354.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-05,189660,45761,70724,   12612,    3234,   12436
74,12355.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-29,177048,42527,58288,   10901,    6534,   10225
75,12356.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-22,166147,35993,48063,    8320,   -1119,    -460
76,12357.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-15,157827,37112,48523,   16867,    7631,   18419
77,12358.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-08,140960,29481,30104,  -11646,   -6797,     191
78,12359.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-01,152606,36278,29913,   -3789,   -6481,   -7316
79,12360.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-25,156395,42759,37229,   10224,    8882,    3873
80,12361.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-18,146171,33877,33356,    5776,   -1195,    2728
81,12362.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-11,140395,35072,30628,  -15889,   -9106,   -9023
82,12363.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-03,156284,44178,39651,  -11514,   -6129,  -13503
83,12364.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-27,167798,50307,53154,  -16308,   22120,   -8576
84,12365.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-20,184106,28187,61730,   16874,   12651,    9526
85,12366.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-13,167232,15536,52204,    -793,   -6173,   -7834
86,12367.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-06,168025,21709,60038,  -11846,  -15910,   -7495
87,12368.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-30,179871,37619,67533,   20672,   17231,   -1381
88,12369.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-23,159199,20388,68914,   -1996,   -8126,   -2590
89,12370.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-16,161195,28514,71504,    1831,   -1095,    -368
90,12371.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-09,159364,29609,71872,  -11690,    1710,   -6123
91,12372.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-02,171054,27899,77995,   19268,    3604,    9909
92,12373.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-25,151786,24295,68086,    3148,    6489,    4047
93,12374.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-18,148638,17806,64039,  -16237,     892,   -9454
94,12375.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-11,164875,16914,73493,   -4263,     307,   -1623
95,12376.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-04,169138,16607,75116,   -7421,   -3065,   -1381
96,12377.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-28,176559,19672,76497,   -1626,     860,     864
97,12378.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-21,178185,18812,75633,  -66236,  -41926,  -16820
98,12379.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-14,244421,60738,92453,   40605,   -1370,    1143
99,12380.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-07,203816,62108,91310,   38719,   30509,   23637
100,12381.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-28,165097,31599,67673,   13201,    9710,    8281
101,12382.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-21,151896,21889,59392,    2837,   -2577,    -568
102,12383.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-14,149059,24466,59960,    -562,   -8826,   -6423
103,12384.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-07,149621,33292,66383,    9454,    6888,    9795
104,12385.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-31,140167,26404,56588,    2691,     426,    -102
105,12386.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-24,137476,25978,56690,    5130,    5081,    8534
106,12387.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-17,132346,20897,48156,   -1542,   -1269,   -4965
107,12388.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-10,133888,22166,53121,   -5107,   -3331,     858
108,12389.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-03,138995,25497,52263,   -1549,   -3382,   -6649
109,11469.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-12-27,140544,28879,58912,  -40313,  -10826,   -7754
110,11470.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-12-20,180857,39705,66666,   11424,    7985,    7698
111,11471.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-12-13,169433,31720,58968,   20542,    1003,    6161
112,11472.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-12-06,148891,30717,52807,   12237,   -4406,    1568
113,11473.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-11-29,136654,35123,51239,    1753,   -1610,    2834
114,11474.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-11-22,134901,36733,48405,   -4852,    -723,   -1971
115,11475.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-11-15,139753,37456,50376,   -7802,   -2130,   -7674
116,11476.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-11-08,147555,39586,58050,     385,    1064,    1879
117,11477.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-11-01,147170,38522,56171,    3753,    2915,    2409
118,11478.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-10-25,143417,35607,53762,   -3008,     223,   -2195
119,11479.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-10-18,146425,35384,55957,    2425,    2908,   -2191
120,11480.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-10-11,144000,32476,58148,    2201,   -3770,     495
121,11481.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-10-04,141799,36246,57653,     910,    2569,    6310
122,11482.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-09-27,140889,33677,51343,  -19425,  -14236,    5486
123,11483.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-09-20,160314,47913,45857,   10758,    -189,   10180
124,11484.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-09-13,149556,48102,35677,  -11011,   -9083,   -3598
125,11485.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-09-06,160567,57185,39275,    2402,   -1519,    4750
126,11486.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-08-30,158165,58704,34525,    5480,    5087,    4135
127,11487.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-08-23,152685,53617,30390,    5089,    1774,    5414
128,11488.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-08-16,147596,51843,24976,    3950,    4945,    -699
129,11489.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-08-09,143646,46898,25675,   -2268,   -1444,   -2390
130,11490.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-08-02,145914,48342,28065,    1732,    1928,   -2580
131,11491.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-07-26,144182,46414,30645,    1966,    4374,   -4728
132,11492.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-07-19,142216,42040,35373,    2919,     427,   -2735
133,11493.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-07-12,139297,41613,38108,   -6075,   -3752,   -2964
134,11494.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-07-05,145372,45365,41072,    2788,    -528,    4276
135,11495.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-06-28,142584,45893,36796,    2537,    3633,   -1359
136,11496.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-06-21,140047,42260,38155,  -35172,  -14290,    4807
137,11497.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-06-14,175219,56550,33348,    7846,   17262,   -7002
138,11498.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-06-07,167373,39288,40350,   31444,    8768,    2823
139,11499.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-05-31,135929,30520,37527,   -2579,    1521,   -4159
140,11500.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-05-24,138508,28999,41686,  -13077,   -7070,   -8879
141,11501.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-05-17,151585,36069,50565,     576,   -2610,    6479
142,11502.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-05-10,151009,38679,44086,   -1770,   -5991,    8445
143,11503.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-05-03,152779,44670,35641,   -2583,   -4117,    7735
144,11504.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-04-26,155362,48787,27906,    2060,    4724,    5069
145,11505.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-04-19,153302,44063,22837,   -2088,    6339,   -2729
146,11506.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-04-12,155390,37724,25566,   -2172,     399,   -4836
147,11507.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-04-05,157562,37325,30402,   10141,    4896,   -3562
148,11508.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-03-29,147421,32429,33964,   23331,    3115,    -290
149,11509.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-03-22,124090,29314,34254,  -19773,  -18092,    4588
150,11510.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-03-15,143863,47406,29666,   -5562,   -1086,  -11180
151,11511.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-03-08,149425,48492,40846,    5918,   -2389,    4105
152,11512.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-03-01,143507,50881,36741,    3202,    3220,   -1667
153,11513.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-02-22,140305,47661,38408,   -4510,   -6763,   -3846
154,11514.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-02-15,144815,54424,42254,    -393,    -338,    2378
155,11515.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-02-08,145208,54762,39876,     126,    2376,    5754
156,11516.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-02-01,145082,52386,34122,   -1366,    -743,   -6690
157,11517.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-01-25,146448,53129,40812,    3077,    3337,   -1488
158,11518.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-01-18,143371,49792,42300,    4800,    5508,   -9360
159,11519.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-01-11,138571,44284,51660,    2938,    2379,   -1270
160,11520.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-01-04,135633,41905,52930,   -3059,    -623,      68
161,10686.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-12-28,138692,42528,52862,   -6870,   -3397,   -2940
162,10687.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-12-21,145562,45925,55802,  -41076,    7695,    4444
163,10688.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-12-14,186638,38230,51358,   31560,   -2865,     905
164,10689.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-12-07,155078,41095,50453,    6703,    -147,   -4864
165,10690.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-11-30,148375,41242,55317,   -1900,   -3078,    7862
166,10691.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-11-23,150275,44320,47455,    1320,     173,   12017
167,10692.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-11-16,148955,44147,35438,   -5765,     186,   -3419
168,10693.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-11-09,154720,43961,38857,   -1474,    1924,     982
169,10694.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-11-02,156194,42037,37875,   -3281,   -3940,   -4782
170,10695.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-10-26,159475,45977,42657,    5563,    5597,   -8647
171,10696.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-10-19,153912,40380,51304,   26085,   17998,    1062
172,10697.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-10-12,127827,22382,50242,    7659,    3802,    4796
173,10698.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-10-05,120168,18580,45446,    2102,   -3293,    3338
174,10699.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-09-28,118066,21873,42108,    -462,    2919,   -4723
175,10700.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-09-21,118528,18954,46831,  -57180,  -17723,     871
176,10701.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-09-14,175708,36677,45960,    5202,     -27,    3246
177,10702.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-09-07,170506,36704,42714,      67,   -3982,    -820
178,10703.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-08-31,170439,40686,43534,   -1048,   -3438,    5287
179,10704.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-08-24,171487,44124,38247,   -5973,   -2375,   -5592
180,10705.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-08-17,177460,46499,43839,    5858,    1054,    4859
181,10706.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-08-10,171602,45445,38980,     993,    -619,     376
182,10707.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-08-03,170609,46064,38604,   -4092,    -984,   -3070
183,10708.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-07-27,174701,47048,41674,  -14607,  -12835,   -5294
184,10709.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-07-20,189308,59883,46968,   -9406,   -3224,   10237
185,10710.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-07-13,198714,63107,36731,   -3422,   -6816,    7986
186,10711.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-07-06,202136,69923,28745,    5208,    1622,    6245
187,10712.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-06-29,196928,68301,22500,   -5859,    -773,   -3349
188,10713.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-06-22,202787,69074,25849,  -50149,   -3997,   -2968
189,10714.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-06-15,252936,73071,28817,   32883,   -7918,   -6891
190,10715.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-06-08,220053,80989,35708,   -8904,   -8478,   -4987
191,10716.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-06-01,228957,89467,40695,   15781,    5284,    1323
192,10717.0,,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-05-25,213176,84183,39372,    5213,    2157,    3458
