,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
13202,SILVER - COMMODITY EXCHANGE INC.,2024-06-18,176605,81859,29958,     569,   -2334,   -2543
13203,SILVER - COMMODITY EXCHANGE INC.,2024-06-11,176036,84193,32501,   -3818,   -4411,     300
13204,SILVER - COMMODITY EXCHANGE INC.,2024-06-04,179854,88604,32201,   -4992,   -3126,   -2346
13205,SILVER - COMMODITY EXCHANGE INC.,2024-05-28,184846,91730,34547,   -2099,   -2411,      50
13206,SILVER - COMMODITY EXCHANGE INC.,2024-05-21,186945,94141,34497,   15574,    6205,    6022
13207,SILVER - COMMODITY EXCHANGE INC.,2024-05-14,171371,87936,28475,    9503,    6286,     477
13208,SILVER - COMMODITY EXCHANGE INC.,2024-05-07,161868,81650,27998,   -4447,   -1444,    -602
13209,SILVER - COMMODITY EXCHANGE INC.,2024-04-30,166315,83094,28600,   -9425,   -3084,    1762
13210,SILVER - COMMODITY EXCHANGE INC.,2024-04-23,175740,86178,26838,     -44,    3763,   -2218
13211,SILVER - COMMODITY EXCHANGE INC.,2024-04-16,175784,82415,29056,    1387,   -2411,   -2558
13212,SILVER - COMMODITY EXCHANGE INC.,2024-04-09,174397,84826,31614,    7574,    1261,    1196
13213,SILVER - COMMODITY EXCHANGE INC.,2024-04-02,166823,83565,30418,    6496,    2844,     533
13214,SILVER - COMMODITY EXCHANGE INC.,2024-03-26,160327,80721,29885,    7173,    3089,    4688
13215,SILVER - COMMODITY EXCHANGE INC.,2024-03-19,153154,77632,25197,    8620,   10538,    -919
13216,SILVER - COMMODITY EXCHANGE INC.,2024-03-12,144534,67094,26116,    3508,    8209,   -4454
13217,SILVER - COMMODITY EXCHANGE INC.,2024-03-05,141026,58885,30570,   -3356,    4339,   -9477
13218,SILVER - COMMODITY EXCHANGE INC.,2024-02-27,144382,54546,40047,   -2202,   -3036,    4842
13219,SILVER - COMMODITY EXCHANGE INC.,2024-02-20,146584,57582,35205,   -5960,     797,   -9155
13220,SILVER - COMMODITY EXCHANGE INC.,2024-02-13,152544,56785,44360,    5211,    1450,    5905
13221,SILVER - COMMODITY EXCHANGE INC.,2024-02-06,147333,55335,38455,   10789,    2557,    7103
13222,SILVER - COMMODITY EXCHANGE INC.,2024-01-30,136544,52778,31352,   -2073,    -343,   -4032
13223,SILVER - COMMODITY EXCHANGE INC.,2024-01-23,138617,53121,35384,    6661,    -880,    6976
13224,SILVER - COMMODITY EXCHANGE INC.,2024-01-16,131956,54001,28408,     -36,    1115,    1884
13225,SILVER - COMMODITY EXCHANGE INC.,2024-01-09,131992,52886,26524,   -2733,   -4748,    1460
13226,SILVER - COMMODITY EXCHANGE INC.,2024-01-02,134725,57634,25064,    3317,    3075,    2368
12164,SILVER - COMMODITY EXCHANGE INC.,2023-12-26,131408,54559,22696,    3859,    1928,    -184
12165,SILVER - COMMODITY EXCHANGE INC.,2023-12-19,127549,52631,22880,   -6732,   -3053,   -4346
12166,SILVER - COMMODITY EXCHANGE INC.,2023-12-12,134281,55684,27226,   -5472,   -7557,     288
12167,SILVER - COMMODITY EXCHANGE INC.,2023-12-05,139753,63241,26938,     609,     361,   -1662
12168,SILVER - COMMODITY EXCHANGE INC.,2023-11-28,139144,62880,28600,    4811,    9508,    2680
12169,SILVER - COMMODITY EXCHANGE INC.,2023-11-21,134333,53372,25920,    -493,    3081,   -1973
12170,SILVER - COMMODITY EXCHANGE INC.,2023-11-14,134826,50291,27893,    3753,    3095,   -1050
12171,SILVER - COMMODITY EXCHANGE INC.,2023-11-07,131073,47196,28943,    4524,    -829,    1129
12172,SILVER - COMMODITY EXCHANGE INC.,2023-10-31,126549,48025,27814,    2569,   -3835,     286
12173,SILVER - COMMODITY EXCHANGE INC.,2023-10-24,123980,51860,27528,     340,    1111,   -3475
12174,SILVER - COMMODITY EXCHANGE INC.,2023-10-17,123640,50749,31003,   -3331,     412,   -7035
12175,SILVER - COMMODITY EXCHANGE INC.,2023-10-10,126971,50337,38038,    1124,   -1068,    1977
12176,SILVER - COMMODITY EXCHANGE INC.,2023-10-03,125847,51405,36061,    -359,    -134,    4627
12177,SILVER - COMMODITY EXCHANGE INC.,2023-09-26,126206,51539,31434,     457,     840,   -4034
12178,SILVER - COMMODITY EXCHANGE INC.,2023-09-19,125749,50699,35468,     457,   -2264,     538
12179,SILVER - COMMODITY EXCHANGE INC.,2023-09-12,125292,52963,34930,   -2987,   -4595,    4176
12180,SILVER - COMMODITY EXCHANGE INC.,2023-09-05,128279,57558,30754,   -6714,   -4186,   -3857
12181,SILVER - COMMODITY EXCHANGE INC.,2023-08-29,134993,61744,34611,   -1687,    8777,   -5479
12182,SILVER - COMMODITY EXCHANGE INC.,2023-08-22,136680,52967,40090,   -1535,    2275,   -2741
12183,SILVER - COMMODITY EXCHANGE INC.,2023-08-15,138215,50692,42831,     584,   -3089,    2374
12184,SILVER - COMMODITY EXCHANGE INC.,2023-08-08,137631,53781,40457,   -6507,  -14682,    2825
12185,SILVER - COMMODITY EXCHANGE INC.,2023-08-01,144138,68463,37632,   -2760,   -4323,    1771
12186,SILVER - COMMODITY EXCHANGE INC.,2023-07-25,146898,72786,35861,      35,   -3634,    3303
12187,SILVER - COMMODITY EXCHANGE INC.,2023-07-18,146863,76420,32558,   26581,   25115,    1545
12188,SILVER - COMMODITY EXCHANGE INC.,2023-07-11,120282,51305,31013,    5861,    4872,    2570
12189,SILVER - COMMODITY EXCHANGE INC.,2023-07-03,114421,46433,28443,   -9070,     450,    1512
12190,SILVER - COMMODITY EXCHANGE INC.,2023-06-27,123491,45983,26931,  -29142,   -6564,   -5558
12191,SILVER - COMMODITY EXCHANGE INC.,2023-06-20,152633,52547,32489,   -1220,   -2507,    1171
12192,SILVER - COMMODITY EXCHANGE INC.,2023-06-13,153853,55054,31318,   15982,    1905,    -356
12193,SILVER - COMMODITY EXCHANGE INC.,2023-06-06,137871,53149,31674,    4252,   -1688,   -2039
12194,SILVER - COMMODITY EXCHANGE INC.,2023-05-30,133619,54837,33713,   -2121,   -1849,   -1015
12195,SILVER - COMMODITY EXCHANGE INC.,2023-05-23,135740,56686,34728,   -4399,   -3754,   -1897
12196,SILVER - COMMODITY EXCHANGE INC.,2023-05-16,140139,60440,36625,   -5306,   -8726,    -181
12197,SILVER - COMMODITY EXCHANGE INC.,2023-05-09,145445,69166,36806,    2907,     947,     539
12198,SILVER - COMMODITY EXCHANGE INC.,2023-05-02,142538,68219,36267,   -7154,    2074,     725
12199,SILVER - COMMODITY EXCHANGE INC.,2023-04-25,149692,66145,35542,   -8679,    3177,    -831
12200,SILVER - COMMODITY EXCHANGE INC.,2023-04-18,158371,62968,36373,   15672,    7385,    4508
12201,SILVER - COMMODITY EXCHANGE INC.,2023-04-11,142699,55583,31865,   11489,    5256,    2821
12202,SILVER - COMMODITY EXCHANGE INC.,2023-04-04,131210,50327,29044,   13815,    8073,     151
12203,SILVER - COMMODITY EXCHANGE INC.,2023-03-28,117395,42254,28893,   -1687,     929,   -8970
12204,SILVER - COMMODITY EXCHANGE INC.,2023-03-21,119082,41325,37863,   -2690,    -902,   -5583
12205,SILVER - COMMODITY EXCHANGE INC.,2023-03-14,121772,42227,43446,   -5731,    -676,   -7239
12206,SILVER - COMMODITY EXCHANGE INC.,2023-03-07,127503,42903,50685,    3603,   -1299,    6429
12207,SILVER - COMMODITY EXCHANGE INC.,2023-02-28,123900,44202,44256,      -6,    -783,    9173
12208,SILVER - COMMODITY EXCHANGE INC.,2023-02-21,123906,44985,35083,   -8226,   -1043,     561
12209,SILVER - COMMODITY EXCHANGE INC.,2023-02-14,132132,46028,34522,   -1469,   -2093,     -68
12210,SILVER - COMMODITY EXCHANGE INC.,2023-02-07,133601,48121,34590,   -4662,   -6746,    7039
12211,SILVER - COMMODITY EXCHANGE INC.,2023-01-31,138263,54867,27551,    3341,    -728,   -2360
12212,SILVER - COMMODITY EXCHANGE INC.,2023-01-24,134922,55595,29911,    3060,   -1844,    3940
12213,SILVER - COMMODITY EXCHANGE INC.,2023-01-17,131862,57439,25971,    1901,     669,   -1786
12214,SILVER - COMMODITY EXCHANGE INC.,2023-01-10,129961,56770,27757,   -2029,   -1031,     890
12215,SILVER - COMMODITY EXCHANGE INC.,2023-01-03,131990,57801,26867,    3523,    1931,    2024
11293,SILVER - COMMODITY EXCHANGE INC.,2022-12-27,128467,55870,24843,    -811,    -294,   -1559
11294,SILVER - COMMODITY EXCHANGE INC.,2022-12-20,129278,56164,26402,    3723,    4759,   -2184
11295,SILVER - COMMODITY EXCHANGE INC.,2022-12-13,125555,51405,28586,    2997,    2451,   -1160
11296,SILVER - COMMODITY EXCHANGE INC.,2022-12-06,122558,48954,29746,    1300,     513,   -1212
11297,SILVER - COMMODITY EXCHANGE INC.,2022-11-29,121258,48441,30958,   -7649,   -2099,   -2816
11298,SILVER - COMMODITY EXCHANGE INC.,2022-11-22,128907,50540,33774,  -12716,   -2152,   -1311
11299,SILVER - COMMODITY EXCHANGE INC.,2022-11-15,141623,52692,35085,    1186,    -959,   -5563
11300,SILVER - COMMODITY EXCHANGE INC.,2022-11-08,140437,53651,40648,    1562,    2365,   -9114
11301,SILVER - COMMODITY EXCHANGE INC.,2022-11-01,138875,51286,49762,    -210,     123,   -1502
11302,SILVER - COMMODITY EXCHANGE INC.,2022-10-25,139085,51163,51264,    3030,    -378,     990
11303,SILVER - COMMODITY EXCHANGE INC.,2022-10-18,136055,51541,50274,   10432,    3602,    9724
11304,SILVER - COMMODITY EXCHANGE INC.,2022-10-11,125623,47939,40550,   -3901,   -3987,   -2668
11305,SILVER - COMMODITY EXCHANGE INC.,2022-10-04,129524,51926,43218,     524,    1942,   -6008
11306,SILVER - COMMODITY EXCHANGE INC.,2022-09-27,129000,49984,49226,   -3107,   -2339,   -4737
11307,SILVER - COMMODITY EXCHANGE INC.,2022-09-20,132107,52323,53963,   -3423,   -1050,   -4050
11308,SILVER - COMMODITY EXCHANGE INC.,2022-09-13,135530,53373,58013,   -2770,    1659,   -6485
11309,SILVER - COMMODITY EXCHANGE INC.,2022-09-06,138300,51714,64498,    -414,    2246,    6759
11310,SILVER - COMMODITY EXCHANGE INC.,2022-08-30,138714,49468,57739,   -5643,     317,    4088
11311,SILVER - COMMODITY EXCHANGE INC.,2022-08-23,144357,49151,53651,      43,    1300,    9308
11312,SILVER - COMMODITY EXCHANGE INC.,2022-08-16,144314,47851,44343,    3221,   -1013,   -1642
11313,SILVER - COMMODITY EXCHANGE INC.,2022-08-09,141093,48864,45985,    4826,    -356,   -2261
11314,SILVER - COMMODITY EXCHANGE INC.,2022-08-02,136267,49220,48246,  -11517,   -5451,  -10925
11315,SILVER - COMMODITY EXCHANGE INC.,2022-07-26,147784,54671,59171,    2537,   -1516,    4344
11316,SILVER - COMMODITY EXCHANGE INC.,2022-07-19,145247,56187,54827,    2988,    1443,    3287
11317,SILVER - COMMODITY EXCHANGE INC.,2022-07-12,142259,54744,51540,    1796,     -97,    1838
11318,SILVER - COMMODITY EXCHANGE INC.,2022-07-05,140463,54841,49702,    4688,    1909,    7661
11319,SILVER - COMMODITY EXCHANGE INC.,2022-06-28,135775,52932,42041,   -9581,   -1519,    6009
11320,SILVER - COMMODITY EXCHANGE INC.,2022-06-21,145356,54451,36032,   -6622,   -2765,   -7179
11321,SILVER - COMMODITY EXCHANGE INC.,2022-06-14,151978,57216,43211,    3684,    2317,    5716
11322,SILVER - COMMODITY EXCHANGE INC.,2022-06-07,148294,54899,37495,     993,    -646,   -4053
11323,SILVER - COMMODITY EXCHANGE INC.,2022-05-31,147301,55545,41548,     845,   -3203,   -3097
11324,SILVER - COMMODITY EXCHANGE INC.,2022-05-24,146456,58748,44645,    1922,   -1109,     902
11325,SILVER - COMMODITY EXCHANGE INC.,2022-05-17,144534,59857,43743,    1782,      28,    2996
11326,SILVER - COMMODITY EXCHANGE INC.,2022-05-10,142752,59829,40747,    5060,    3065,   12051
11327,SILVER - COMMODITY EXCHANGE INC.,2022-05-03,137692,56764,28696,   -7846,     -18,    7320
11328,SILVER - COMMODITY EXCHANGE INC.,2022-04-26,145538,56782,21376,  -25039,  -12306,   -1283
11329,SILVER - COMMODITY EXCHANGE INC.,2022-04-19,170577,69088,22659,   11764,    2732,    2289
11330,SILVER - COMMODITY EXCHANGE INC.,2022-04-12,158813,66356,20370,   10287,    1420,     468
11331,SILVER - COMMODITY EXCHANGE INC.,2022-04-05,148526,64936,19902,    1156,    -981,    2225
11332,SILVER - COMMODITY EXCHANGE INC.,2022-03-29,147370,65917,17677,   -8086,   -3362,   -3655
11333,SILVER - COMMODITY EXCHANGE INC.,2022-03-22,155456,69279,21332,   -4115,   -4765,   -1158
11334,SILVER - COMMODITY EXCHANGE INC.,2022-03-15,159571,74044,22490,   -8712,   -2521,   -1778
11335,SILVER - COMMODITY EXCHANGE INC.,2022-03-08,168283,76565,24268,   10892,    5330,   -2019
11336,SILVER - COMMODITY EXCHANGE INC.,2022-03-01,157391,71235,26287,   -6354,   12405,   -2241
11337,SILVER - COMMODITY EXCHANGE INC.,2022-02-22,163745,58830,28528,    6777,    1919,   -4827
11338,SILVER - COMMODITY EXCHANGE INC.,2022-02-15,156968,56911,33355,    9589,       6,   -4251
11339,SILVER - COMMODITY EXCHANGE INC.,2022-02-08,147379,56905,37606,   -1757,   -3818,    -999
11340,SILVER - COMMODITY EXCHANGE INC.,2022-02-01,149136,60723,38605,   -2643,   -3200,    6823
11341,SILVER - COMMODITY EXCHANGE INC.,2022-01-25,151779,63923,31782,    3042,   -2062,   -4503
11342,SILVER - COMMODITY EXCHANGE INC.,2022-01-18,148737,65985,36285,    4295,    -208,   -2360
11343,SILVER - COMMODITY EXCHANGE INC.,2022-01-11,144442,66193,38645,    4921,    1085,    4456
11344,SILVER - COMMODITY EXCHANGE INC.,2022-01-04,139521,65108,34189,   -1725,    1235,   -3226
10473,SILVER - COMMODITY EXCHANGE INC.,2021-12-28,141246,63873,37415,     127,    1803,   -3729
10474,SILVER - COMMODITY EXCHANGE INC.,2021-12-21,141119,62070,41144,   -1265,   -1599,    -541
10475,SILVER - COMMODITY EXCHANGE INC.,2021-12-14,142384,63669,41685,    5812,     739,    8588
10476,SILVER - COMMODITY EXCHANGE INC.,2021-12-07,136572,62930,33097,   -1431,     252,    8853
10477,SILVER - COMMODITY EXCHANGE INC.,2021-11-30,138003,62678,24244,  -11639,   -5800,   -4129
10478,SILVER - COMMODITY EXCHANGE INC.,2021-11-23,149642,68478,28373,   -2762,   -5466,      54
10479,SILVER - COMMODITY EXCHANGE INC.,2021-11-16,152404,73944,28319,    8034,    8931,     221
10480,SILVER - COMMODITY EXCHANGE INC.,2021-11-09,144370,65013,28098,    2976,     511,   -3289
10481,SILVER - COMMODITY EXCHANGE INC.,2021-11-02,141394,64502,31387,    -187,   -2175,    2242
10482,SILVER - COMMODITY EXCHANGE INC.,2021-10-26,141581,66677,29145,   -2083,     105,   -7071
10483,SILVER - COMMODITY EXCHANGE INC.,2021-10-19,143664,66572,36216,    4261,    3084,   -9285
10484,SILVER - COMMODITY EXCHANGE INC.,2021-10-12,139403,63488,45501,    -360,    -469,   -2077
10485,SILVER - COMMODITY EXCHANGE INC.,2021-10-05,139763,63957,47578,   -2400,    -533,    -207
10486,SILVER - COMMODITY EXCHANGE INC.,2021-09-28,142163,64490,47785,   -3374,   -2218,   -3288
10487,SILVER - COMMODITY EXCHANGE INC.,2021-09-21,145537,66708,51073,    4997,    1881,   12922
10488,SILVER - COMMODITY EXCHANGE INC.,2021-09-14,140540,64827,38151,    1353,     948,    2828
10489,SILVER - COMMODITY EXCHANGE INC.,2021-09-07,139187,63879,35323,   -1750,     944,   -5281
10490,SILVER - COMMODITY EXCHANGE INC.,2021-08-31,140937,62935,40604,   -8910,    -376,    -846
10491,SILVER - COMMODITY EXCHANGE INC.,2021-08-24,149847,63311,41450,   -3978,     -79,    -720
10492,SILVER - COMMODITY EXCHANGE INC.,2021-08-17,153825,63390,42170,    -666,    -989,    2265
10493,SILVER - COMMODITY EXCHANGE INC.,2021-08-10,154491,64379,39905,    8295,   -1813,    9852
10494,SILVER - COMMODITY EXCHANGE INC.,2021-08-03,146196,66192,30053,   -4618,    -541,   -5463
10495,SILVER - COMMODITY EXCHANGE INC.,2021-07-27,150814,66733,35516,    -949,   -3553,    2705
10496,SILVER - COMMODITY EXCHANGE INC.,2021-07-20,151763,70286,32811,   -2936,   -3961,    2253
10497,SILVER - COMMODITY EXCHANGE INC.,2021-07-13,154699,74247,30558,   -2517,   -2543,   -1744
10498,SILVER - COMMODITY EXCHANGE INC.,2021-07-06,157216,76790,32302,      97,    4935,    1924
10499,SILVER - COMMODITY EXCHANGE INC.,2021-06-29,157119,71855,30378,  -18584,   -1986,   -3592
10500,SILVER - COMMODITY EXCHANGE INC.,2021-06-22,175703,73841,33970,  -18565,  -14750,   -2557
10501,SILVER - COMMODITY EXCHANGE INC.,2021-06-15,194268,88591,36527,    9427,    5213,    2955
10502,SILVER - COMMODITY EXCHANGE INC.,2021-06-08,184841,83378,33572,    2529,   -1022,   -3311
10503,SILVER - COMMODITY EXCHANGE INC.,2021-06-01,182312,84400,36883,    1482,   -1613,    1352
10504,SILVER - COMMODITY EXCHANGE INC.,2021-05-25,180830,86013,35531,    -776,    -627,    -128
10505,SILVER - COMMODITY EXCHANGE INC.,2021-05-18,181606,86640,35659,    3356,     243,    2105
10506,SILVER - COMMODITY EXCHANGE INC.,2021-05-11,178250,86397,33554,   11177,    7539,    2563
10507,SILVER - COMMODITY EXCHANGE INC.,2021-05-04,167073,78858,30991,   -5397,    2478,   -2548
10508,SILVER - COMMODITY EXCHANGE INC.,2021-04-27,172470,76380,33539,    3050,    1213,      53
10509,SILVER - COMMODITY EXCHANGE INC.,2021-04-20,169420,75167,33486,    5354,    5738,     481
10510,SILVER - COMMODITY EXCHANGE INC.,2021-04-13,164066,69429,33005,    9473,    2184,   -1925
10511,SILVER - COMMODITY EXCHANGE INC.,2021-04-06,154593,67245,34930,    -394,     743,   -2602
10512,SILVER - COMMODITY EXCHANGE INC.,2021-03-30,154987,66502,37532,   -5450,   -3755,   -1646
10513,SILVER - COMMODITY EXCHANGE INC.,2021-03-23,160437,70257,39178,    1345,    -401,    2129
10514,SILVER - COMMODITY EXCHANGE INC.,2021-03-16,159092,70658,37049,    3667,    -787,    1753
10515,SILVER - COMMODITY EXCHANGE INC.,2021-03-09,155425,71445,35296,   -2924,   -3480,     -13
10516,SILVER - COMMODITY EXCHANGE INC.,2021-03-02,158349,74925,35309,  -14043,   -3785,    4242
10517,SILVER - COMMODITY EXCHANGE INC.,2021-02-23,172392,78710,31067,  -11152,   -2938,    -757
10518,SILVER - COMMODITY EXCHANGE INC.,2021-02-16,183544,81648,31824,    4256,    1515,    1234
10519,SILVER - COMMODITY EXCHANGE INC.,2021-02-09,179288,80133,30590,    -498,    -501,    1365
10520,SILVER - COMMODITY EXCHANGE INC.,2021-02-02,179786,80634,29225,   11906,   -3810,    -759
10521,SILVER - COMMODITY EXCHANGE INC.,2021-01-26,167880,84444,29984,     984,     435,   -2023
10522,SILVER - COMMODITY EXCHANGE INC.,2021-01-19,166896,84009,32007,   -3137,   -3896,   -3106
10523,SILVER - COMMODITY EXCHANGE INC.,2021-01-12,170033,87905,35113,   -5972,   -2872,    -113
10524,SILVER - COMMODITY EXCHANGE INC.,2021-01-05,176005,90777,35226,    5948,    1909,    1137
10611,SILVER - COMMODITY EXCHANGE INC.,2020-12-29,170057,88868,34089,   -1341,   -1605,     905
10612,SILVER - COMMODITY EXCHANGE INC.,2020-12-21,171398,90473,33184,   13130,    9784,    2007
10613,SILVER - COMMODITY EXCHANGE INC.,2020-12-15,158268,80689,31177,    3447,    1379,     243
10614,SILVER - COMMODITY EXCHANGE INC.,2020-12-08,154821,79310,30934,    2449,    2287,    1803
10615,SILVER - COMMODITY EXCHANGE INC.,2020-12-01,152372,77023,29131,   -9720,    2252,      40
10616,SILVER - COMMODITY EXCHANGE INC.,2020-11-24,162092,74771,29091,    1120,    -861,    -927
10617,SILVER - COMMODITY EXCHANGE INC.,2020-11-17,160972,75632,30018,    5961,    3088,    3302
10618,SILVER - COMMODITY EXCHANGE INC.,2020-11-10,155011,72544,26716,    1744,      28,    -459
10619,SILVER - COMMODITY EXCHANGE INC.,2020-11-03,153267,72516,27175,   -7283,   -4136,   -4846
10620,SILVER - COMMODITY EXCHANGE INC.,2020-10-27,160550,76652,32021,    2705,    -294,    -199
10621,SILVER - COMMODITY EXCHANGE INC.,2020-10-20,157845,76946,32220,    -358,      26,   -3912
10622,SILVER - COMMODITY EXCHANGE INC.,2020-10-13,158203,76920,36132,    2719,    1562,    2031
10623,SILVER - COMMODITY EXCHANGE INC.,2020-10-06,155484,75358,34101,   -1824,     727,     200
10624,SILVER - COMMODITY EXCHANGE INC.,2020-09-29,157308,74631,33901,    -600,    -378,   -2161
10625,SILVER - COMMODITY EXCHANGE INC.,2020-09-22,157908,75009,36062,   -4489,   -1995,   -2593
10626,SILVER - COMMODITY EXCHANGE INC.,2020-09-15,162397,77004,38655,    3406,    3985,    -884
10627,SILVER - COMMODITY EXCHANGE INC.,2020-09-08,158991,73019,39539,   -7458,   -3327,   -3335
10628,SILVER - COMMODITY EXCHANGE INC.,2020-09-01,166449,76346,42874,  -21182,    2035,    -100
10629,SILVER - COMMODITY EXCHANGE INC.,2020-08-25,187631,74311,42974,   -7266,    3028,   -1753
10630,SILVER - COMMODITY EXCHANGE INC.,2020-08-18,194897,71283,44727,   -3172,    3855,     867
10631,SILVER - COMMODITY EXCHANGE INC.,2020-08-11,198069,67428,43860,   -7458,   -8070,   -1749
10632,SILVER - COMMODITY EXCHANGE INC.,2020-08-04,205527,75498,45609,   21507,    1097,   -1484
10633,SILVER - COMMODITY EXCHANGE INC.,2020-07-28,184020,74401,47093,   -1725,  -15609,    3838
10634,SILVER - COMMODITY EXCHANGE INC.,2020-07-21,185745,90010,43255,    7378,    4331,    1445
10635,SILVER - COMMODITY EXCHANGE INC.,2020-07-14,178367,85679,41810,    8854,    4938,   -1106
10636,SILVER - COMMODITY EXCHANGE INC.,2020-07-07,169513,80741,42916,      95,    1995,    1771
10637,SILVER - COMMODITY EXCHANGE INC.,2020-06-30,169418,78746,41145,  -14026,    6887,    7209
10638,SILVER - COMMODITY EXCHANGE INC.,2020-06-23,183444,71859,33936,    9058,    5195,    3894
10639,SILVER - COMMODITY EXCHANGE INC.,2020-06-16,174386,66664,30042,    -854,    1004,   -2253
10640,SILVER - COMMODITY EXCHANGE INC.,2020-06-09,175240,65660,32295,    5570,     663,    4522
10641,SILVER - COMMODITY EXCHANGE INC.,2020-06-02,169670,64997,27773,   11485,    3472,    3437
10642,SILVER - COMMODITY EXCHANGE INC.,2020-05-26,158185,61525,24336,    6295,    7134,     873
10643,SILVER - COMMODITY EXCHANGE INC.,2020-05-19,151890,54391,23463,   15903,    9634,    4479
10644,SILVER - COMMODITY EXCHANGE INC.,2020-05-12,135987,44757,18984,    3414,     705,   -2153
10645,SILVER - COMMODITY EXCHANGE INC.,2020-05-05,132573,44052,21137,   -5776,    -968,    1622
10646,SILVER - COMMODITY EXCHANGE INC.,2020-04-28,138349,45020,19515,   -1258,   -1668,    1335
10647,SILVER - COMMODITY EXCHANGE INC.,2020-04-21,139607,46688,18180,   -3870,   -1315,     731
10648,SILVER - COMMODITY EXCHANGE INC.,2020-04-14,143477,48003,17449,    4503,    1532,     695
10649,SILVER - COMMODITY EXCHANGE INC.,2020-04-07,138974,46471,16754,    -282,    -579,     582
10650,SILVER - COMMODITY EXCHANGE INC.,2020-03-31,139256,47050,16172,  -11444,   -6027,   -3218
10651,SILVER - COMMODITY EXCHANGE INC.,2020-03-24,150700,53077,19390,  -15982,   -8138,     143
10652,SILVER - COMMODITY EXCHANGE INC.,2020-03-17,166682,61215,19247,  -20378,  -13902,  -10923
