Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions,Close,Change Price,signal,Interpretation
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-11-05,65501,34406,-5626,-1676,143741,-3799,31095,-3950.0,0.04976634681224823,9.31955873966217e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-10-29,71127,36082,9824,-1324,147540,8238,35045,11148.0,0.04992825165390968,6.233900785446167e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-10-22,61303,37406,544,1893,139302,115,23897,-1349.0,0.05009819194674492,-6.182119250297546e-05,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-10-15,60759,35513,5432,9379,139187,3366,25246,-3947.0,0.05147753655910492,0.0007034875452518463,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-10-08,55327,26134,-6160,-9054,135821,-5801,29193,2894.0,0.051841214299201965,0.0001493394374847412,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-10-01,61487,35188,10007,-3866,141622,6675,26299,13873.0,0.05085538700222969,-9.628757834434509e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-09-24,51480,39054,2994,-1709,134947,4303,12426,4703.0,0.05150550603866577,-0.000285957008600235,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-09-17,48486,40763,-14128,5175,130644,-59489,7723,-19303.0,0.05206814408302307,-0.00024534016847610474,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-09-10,62614,35588,-489,2964,190133,19133,27026,-3453.0,0.05027305707335472,0.0004955902695655823,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-09-03,63103,32624,-3566,-3325,171000,769,30479,-241.0,0.0504123754799366,-0.00010440871119499207,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-08-27,66669,35949,-76,3850,170231,-4299,30720,-3926.0,0.05161423608660698,0.0010345913469791412,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-08-20,66745,32099,-15443,5,174530,-10399,34646,-15448.0,0.053575895726680756,0.0009715855121612549,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-08-13,82188,32094,-14728,514,184929,-5548,50094,-15242.0,0.05246644839644432,-0.00017045065760612488,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-08-06,96916,31580,-2227,97,190477,-5810,65336,-2324.0,0.05209684371948242,0.001034177839756012,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-07-30,99143,31483,-1412,245,196287,-2404,67660,-1657.0,0.053645480424165726,0.0003201104700565338,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-07-23,100555,31238,2060,-5547,198691,1111,69317,7607.0,0.05577058345079422,0.0007140561938285828,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-07-16,98495,36785,2747,4360,197580,8286,61710,-1613.0,0.05644679069519043,-0.0002090856432914734,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-07-09,95748,32425,-611,-307,189294,970,63323,-304.0,0.05563715472817421,-0.00024331361055374146,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-07-02,96359,32732,12045,6224,188324,16153,63627,5821.0,0.05444725230336189,-0.00034066662192344666,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-06-25,84314,26508,12575,5023,172171,7770,57806,7552.0,0.05572669953107834,0.0005125515162944794,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-06-18,71739,21485,-73865,-5126,164401,-110816,50254,-68739.0,0.05399305373430252,-0.00035743415355682373,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-06-11,145604,26611,-8339,-2661,275217,10429,118993,-5678.0,0.05384388566017151,2.436712384223938e-05,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-06-04,153943,29272,2475,-1277,264788,-3321,124671,3752.0,0.05649580433964729,0.00035359710454940796,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-05-28,151468,30549,-1738,-4765,268109,-1586,120919,3027.0,0.06001551076769829,0.000425729900598526,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-05-21,153206,35314,8899,3968,269695,11630,117892,4931.0,0.060413576662540436,0.0001965537667274475,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-05-14,144307,31346,6743,6094,258065,11217,112961,649.0,0.0595833957195282,0.0002156384289264679,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-05-07,137564,25252,-7115,-382,246848,-2278,112312,-6733.0,0.05922998487949371,7.259845733642578e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-04-30,144679,25634,-7392,-2782,249126,-5856,119045,-4610.0,0.058783553540706635,0.00047424063086509705,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-04-23,152071,28416,-20502,-16426,254982,-31353,123655,-4076.0,0.05835333839058876,-0.000646498054265976,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-04-16,172573,44842,-17307,-5347,286335,-23236,127731,-11960.0,0.059900324791669846,0.0011919327080249786,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-04-09,189880,50189,-1805,-7766,309571,-4946,139691,5961.0,0.06129591539502144,0.0002581886947154999,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-04-02,191685,57955,7324,5662,314517,7515,133730,1662.0,0.06020904332399368,-0.00021428242325782776,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-03-26,184361,52293,1179,-2219,307002,3800,132068,3398.0,0.059985484927892685,-0.00014102458953857422,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-03-19,183182,54512,3042,-21336,303202,-26844,128670,24378.0,0.05941466987133026,-0.00010949373245239258,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-03-12,180140,75848,8269,10563,330046,35376,104292,-2294.0,0.05952746048569679,-5.202740430831909e-05,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-03-05,171871,65285,25753,12981,294670,38615,106586,12772.0,0.05897940695285797,-8.001178503036499e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-02-27,146118,52304,4590,6771,256055,1569,93814,-2181.0,0.05854218453168869,-5.05596399307251e-05,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-02-20,141528,45533,-5648,-1199,254486,-10771,95995,-4449.0,0.05870542675256729,8.808821439743042e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-02-13,147176,46732,3606,-10009,265257,4045,100444,13615.0,0.05858999490737915,0.00045724958181381226,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-02-06,143570,56741,10762,4326,261212,11137,86829,6436.0,0.058448426425457,-0.000278376042842865,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-01-30,132808,52415,5329,35,250075,16,80393,5294.0,0.058073490858078,-0.00022633373737335205,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-01-23,127479,52380,-6212,291,250059,-13414,75099,-6503.0,0.058225180953741074,0.0004419572651386261,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-01-16,133691,52089,-9745,-2908,263473,-7764,81602,-6837.0,0.05922486633062363,0.0010782331228256226,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-01-09,143436,54997,2429,3088,271237,2610,88439,-659.0,0.0594046451151371,0.00046552345156669617,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2024-01-02,141007,51909,9151,7802,268627,15410,89098,1349.0,0.05895354226231575,0.0001970641314983368,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-12-26,131856,44107,5248,1500,253217,7409,87749,3748.0,0.05890946462750435,-5.554407835006714e-06,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-12-19,126608,42607,12212,2336,245808,-23266,84001,9876.0,0.05826588720083237,-0.0003514513373374939,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-12-12,114396,40271,5475,4806,269074,12021,74125,669.0,0.05757085606455803,-0.0002200491726398468,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-12-05,108921,35465,3083,-4888,257053,9550,73456,7971.0,0.0572931282222271,-0.00031620264053344727,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-11-28,105838,40353,17364,10810,247503,21531,65485,6554.0,0.05827981233596802,-0.00012798979878425598,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-11-21,88474,29543,9312,-6237,225972,-2837,58931,15549.0,0.058442823588848114,0.0002681128680706024,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-11-14,79162,35780,7518,876,228809,12275,43382,6642.0,0.056817859411239624,-0.0008772201836109161,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-11-07,71644,34904,14174,8731,216534,17456,36740,5443.0,0.05702782794833183,-0.00021250173449516296,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-10-31,57470,26173,3024,9588,199078,4548,31297,-6564.0,0.05540749430656433,-4.298985004425049e-06,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-10-24,54446,16585,-8905,-2461,194530,-2507,37861,-6444.0,0.05515020340681076,0.0003829002380371094,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-10-17,63351,19046,-7174,754,197037,-4960,44305,-7928.0,0.055844053626060486,0.0002940557897090912,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-10-10,70525,18292,-20323,-8042,201997,-10542,52233,-12281.0,0.05492188036441803,-0.0008380338549613953,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-10-03,90848,26334,-1884,-5765,212539,-4367,64514,3881.0,0.0566171258687973,0.00109056755900383,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-09-26,92732,32099,-2575,442,216906,-3801,60633,-3017.0,0.057522837072610855,0.00052657350897789,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-09-19,95307,31657,2285,5506,220707,-15013,63650,-3221.0,0.058422479778528214,-0.00017747655510902405,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-09-12,93022,26151,-7276,-6626,235720,-10341,66871,-650.0,0.05786691978573799,-0.00022735446691513062,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-09-05,100298,32777,-9777,-3435,246061,7294,67521,-6342.0,0.05822049826383591,0.0006917081773281097,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-08-29,110075,36212,7057,6853,238767,9966,73863,204.0,0.0595734566450119,2.4847686290740967e-06,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-08-22,103018,29359,-6322,2042,228801,-183,73659,-8364.0,0.0587792731821537,-0.0003697499632835388,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-08-15,109340,27317,-668,960,228984,1239,82023,-1628.0,0.058667201548814774,0.00028555095195770264,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-08-08,110008,26357,-9643,-4746,227745,-8701,83651,-4897.0,0.05860050395131111,0.00014284998178482056,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-08-01,119651,31103,1919,1212,236446,2897,88548,707.0,0.059743937104940414,0.00047951191663742065,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-07-25,117732,29891,-5079,1572,233549,-4457,87841,-6651.0,0.05943148210644722,0.00035322457551956177,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-07-18,122811,28319,-185,1489,238006,-1732,94492,-1674.0,0.0598311573266983,0.00013732537627220154,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-07-11,122996,26830,-923,-1849,239738,1469,96166,926.0,0.058668918907642365,-5.4780393838882446e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-07-03,123919,28679,6821,7930,238269,12236,95240,-1109.0,0.058408454060554504,-0.00025289133191108704,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-06-27,117098,20749,-3907,-538,226033,1136,96349,-3369.0,0.05842145159840584,-0.00013855844736099243,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-06-20,121005,21287,-10733,-31616,224897,-66692,99718,20883.0,0.058572012931108475,0.00044478103518486023,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-06-13,131738,52903,8291,11126,291589,55595,78835,-2835.0,0.057856377214193344,-0.00016916543245315552,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-06-06,123447,41777,7912,4247,235994,11599,81670,3665.0,0.05732005834579468,-0.0002580881118774414,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-05-30,115535,37530,-3044,-4106,224395,-9143,78005,1062.0,0.05682199075818062,0.00018306076526641846,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-05-23,118579,41636,-14689,-17997,233538,-20499,76943,3308.0,0.05592872574925423,0.0002438575029373169,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-05-16,133268,59633,5505,1902,254037,-1404,73635,3603.0,0.0573621466755867,0.00015489384531974792,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-05-09,127763,57731,-410,-12732,255441,-4794,70032,12322.0,0.05621900036931038,-0.00013966858386993408,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-05-02,128173,70463,-4925,-8507,260235,-7041,57710,3582.0,0.05574853718280792,0.00011345371603965759,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-04-25,133098,78970,-6191,-4148,267276,-422,54128,-2043.0,0.05566316843032837,0.0002320222556591034,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-04-18,139289,83118,2934,7240,267698,7645,56171,-4306.0,0.05545635148882866,3.469735383987427e-05,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-04-11,136355,75878,8984,6420,260053,9650,60477,2564.0,0.05511736869812012,4.795193672180176e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-04-04,127371,69458,17954,9320,250403,16734,57913,8634.0,0.05528658628463745,7.609277963638306e-05,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-03-28,109417,60138,7518,9769,233669,11539,49279,-2251.0,0.054589323699474335,-0.0002978295087814331,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-03-21,101899,50369,-45506,-30909,222130,-38284,51530,-14597.0,0.05315021425485611,-0.0005437992513179779,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-03-14,147405,81278,-30098,-127477,260414,-116298,66127,97379.0,0.0528566911816597,-0.0009053051471710205,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-03-07,177503,208755,7734,3841,376712,81971,-31252,3893.0,0.05555138736963272,0.000303070992231369,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-02-28,169769,204914,17094,15366,294741,17388,-35145,1728.0,0.054445769637823105,-0.00019623339176177979,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-02-21,152675,189548,-695,-3489,277353,-1651,-36873,2794.0,0.05439157411456108,0.00013191625475883484,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-02-14,153370,193037,14599,9988,279004,16555,-39667,4611.0,0.05386468023061752,-0.0001753494143486023,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-02-07,138771,183049,-18179,-19171,262449,-23032,-44278,992.0,0.0521702840924263,-0.0007916092872619629,4,Market is weakening (Bullish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-01-31,156950,202220,8685,5215,285481,12826,-45270,3470.0,0.0533088818192482,0.00023841112852096558,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-01-24,148265,197005,-2278,-2177,272655,-1572,-48740,-101.0,0.053154002875089645,-8.392706513404846e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-01-17,150543,199182,1026,-3716,274227,3401,-48639,4742.0,0.05325409024953842,-0.00038966163992881775,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-01-10,149517,202898,18316,15321,270826,25797,-53381,2995.0,0.052288949489593506,-0.00017804652452468872,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2023-01-03,131201,187577,5310,9960,245029,12622,-56376,-4650.0,0.0513906329870224,-0.00013557076454162598,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-12-27,125891,177617,1417,-1953,232407,3132,-51726,3370.0,0.0516447052359581,0.0002627857029438019,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-12-20,124474,179570,-44007,55453,229275,-60841,-55096,-99460.0,0.05053669959306717,-8.544698357582092e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-12-13,168481,124117,-9074,-5486,290116,-3592,44364,-3588.0,0.05038468912243843,-0.0007870905101299286,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-12-06,177555,129603,-22189,-4055,293708,-14025,47952,-18134.0,0.05070634186267853,8.470937609672546e-05,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-11-29,199744,133658,11298,8531,307733,11588,66086,2767.0,0.05182340368628502,-0.00017326697707176208,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-11-22,188446,125127,-9254,-4722,296145,-7297,63319,-4532.0,0.05119907855987549,-0.0002361983060836792,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-11-15,197700,129849,5676,-2561,303442,3422,67851,8237.0,0.05170844867825508,5.349516868591309e-06,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-11-08,192024,132410,9708,-5861,300020,17156,59614,15569.0,0.05143212899565697,0.0002488233149051666,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-11-01,182316,138271,20758,-10713,282864,33954,44045,31471.0,0.05052240192890167,-0.00017494335770606995,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-10-25,161558,148984,28126,-6742,248910,33074,12574,34868.0,0.050230808556079865,-0.00010493025183677673,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-10-18,133432,155726,13193,1833,215836,9666,-22294,11360.0,0.05007059872150421,0.00011780485510826111,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-10-11,120239,153893,11613,7946,206170,13818,-33654,3667.0,0.05014969781041145,0.00031306222081184387,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-10-04,108626,145947,20903,16902,192352,19307,-37321,4001.0,0.04998325556516647,-0.00010392069816589355,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-09-27,87723,129045,-8948,4341,173045,395,-41322,-13289.0,0.04909001663327217,-5.088746547698975e-06,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-09-20,96671,124704,-7101,-4449,172650,-35753,-28033,-2652.0,0.05024343356490135,0.00018411129713058472,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-09-13,103772,129153,6660,2581,208403,9242,-25381,4079.0,0.050428591668605804,0.0005082152783870697,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-09-06,97112,126572,-6511,-6081,199161,-7662,-29460,-430.0,0.05008615180850029,0.00041275471448898315,3,Market is Strengthening (Bearish Reversal)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-08-30,103623,132653,567,-1719,206823,1248,-29030,2286.0,0.05003802850842476,0.0003542676568031311,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-08-23,103056,134372,-5586,4359,205575,3957,-31316,-9945.0,0.04968475177884102,-0.0003560781478881836,2,Market is Weak (Bearish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-08-16,108642,130013,13070,6820,201618,11630,-21371,6250.0,0.05048388987779617,0.00024157017469406128,1,Market is Strong (Bullish)
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-08-09,95572,123193,-5843,-1275,189988,-2983,-27621,-4568.0,0.049405649304389954,-1.4640390872955322e-06,3,Market is Strengthening (Bearish Reversal)
