As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2025-01-21,19503,170290,   -3528,  -19894,331635,-150787,Bullish Reversal
2025-01-14,23031,190184,    3917,   -7519,350363,-167153,Bullish Reversal
2025-01-07,19114,197703,   -1770,    1111,357210,-178589,Bearish
2024-12-31,20884,196592,    7382,    6370,353686,-175708,Bullish
2024-12-24,13502,190222,   -5668,  -11003,345942,-176720,Bullish Reversal
2024-12-17,19170,201225,   -9864,   -9363,485592,-182055,Bearish
2024-12-10,29034,210588,    7338,   29546,408181,-181554,Bearish
2024-12-03,21696,181042,     415,    5759,324325,-159346,Bearish
2024-11-26,21281,175283,   -2623,  -32187,322420,-154002,Bullish Reversal
2024-11-19,23904,207470,    1893,    3070,348354,-183566,Bearish
2024-11-12,22011,204400,   -4805,    2355,342557,-182389,Bearish
2024-11-05,26816,202045,    -583,    7147,336467,-175229,Bearish
2024-10-29,27399,194898,   -1040,   25828,329945,-167499,Bearish
2024-10-22,28439,169070,   -8279,    9959,308279,-140631,Bearish
2024-10-15,36718,159111,   15075,   48317,296537,-122393,Bearish
2024-10-08,21643,110794,   -3508,   15640,224645,-89151,Bearish
2024-10-01,25151,95154,    -154,    4260,216044,-70003,Bearish
2024-09-24,25305,90894,    3841,   -3720,213164,-65589,Bullish Reversal
2024-09-17,21464,94614,   -2309,    1888,256538,-73150,Bearish
2024-09-10,23773,92726,   -7687,   -7278,251209,-68953,Bearish Reversal
2024-09-03,31460,100004,   12135,  -29323,255897,-68544,Bullish Reversal
2024-08-27,19325,129327,    -203,  -54611,296041,-110002,Bullish Reversal
2024-08-20,19528,183938,   -1140,  -16341,314073,-164410,Bullish Reversal
2024-08-13,20668,200279,   -1325,   -3346,323167,-179611,Bullish Reversal
2024-08-06,21993,203625,   -1733,  -16364,335120,-181632,Bullish Reversal
2024-07-30,23726,219989,    -361,   34299,351856,-196263,Bearish
2024-07-23,24087,185690,    -647,   28483,315684,-161603,Bearish
2024-07-16,24734,157207,    4471,   25732,280941,-132473,Bearish
2024-07-09,20263,131475,   -1587,  -10727,257288,-111212,Bullish Reversal
2024-07-02,21850,142202,   -5940,   -8000,263465,-120352,Bullish Reversal
2024-06-25,27790,150202,    5012,  -20507,278437,-122412,Bullish Reversal
2024-06-18,22778,170709,  -14532,    3906,351458,-147931,Bearish
2024-06-11,37310,166803,     -50,   37804,307387,-129493,Bearish
2024-06-04,37360,128999,      61,    5115,265761,-91639,Bearish
2024-05-28,37299,123884,    1900,   -2339,264401,-86585,Bullish
2024-05-21,35399,126223,    1113,   11634,234491,-90824,Bearish
2024-05-14,34286,114589,    1341,   12423,220840,-80303,Bearish
2024-05-07,32945,102166,    -848,    5172,216708,-69221,Bearish
2024-04-30,33793,96994,   -2080,  -15329,211555,-63201,Bullish Reversal
2024-04-23,35873,112323,   -1194,   -7559,226747,-76450,Bullish Reversal
2024-04-16,37067,119882,    2326,   31756,237526,-82815,Bearish
2024-04-09,34741,88126,   -9479,   -7317,192964,-53385,Bearish Reversal
2024-04-02,44220,95443,    6305,    7238,197171,-51223,Bearish
2024-03-26,37915,88205,   -7846,    5296,190995,-50290,Bearish Reversal
2024-03-19,45761,82909,    9797,   16071,230592,-37148,Bearish
2024-03-12,35964,66838,   -6626,    4411,193223,-30874,Bearish
2024-03-05,42590,62427,    1432,   19891,183697,-19837,Bearish
2024-02-27,41158,42536,    4050,    4565,166484,-1378,Bearish
2024-02-20,37108,37971,    1410,   -3209,157666,-863,Bullish Reversal
2024-02-13,35698,41180,    2916,     662,161519,-5482,Bullish
2024-02-06,32782,40518,   -6319,    -971,160118,-7736,Bearish
2024-01-30,39101,41489,    4791,   -1272,159376,-2388,Bullish
2024-01-23,34310,42761,   -4428,   -9365,155138,-8451,Bullish Reversal
2024-01-16,38738,52126,   -3548,    2460,165998,-13388,Bearish Reversal
2024-01-09,42286,49666,   -8609,  -22360,171557,-7380,Bullish Reversal
2024-01-02,50895,72026,    9210,   -4380,184476,-21131,Bullish
2023-12-26,41685,76406,   12823,   -6789,176452,-34721,Bullish Reversal
2023-12-19,28862,83195,    9405,    8493,214241,-54333,Bullish
2023-12-12,19457,74702,    -296,   -2899,213873,-55245,Bullish
2023-12-05,19753,77601,     762,   -4632,197791,-57848,Bullish Reversal
2023-11-28,18991,82233,    -416,   -2614,200864,-63242,Bullish Reversal
2023-11-21,19407,84847,     729,   -4234,203248,-65440,Bullish Reversal
2023-11-14,18678,89081,    1507,    4189,206046,-70403,Bearish
2023-11-07,17171,84892,   -8247,   10142,200364,-67721,Bearish
2023-10-31,25418,74750,    3092,    3785,198528,-49332,Bearish
2023-10-24,22326,70965,     686,     786,184747,-48639,Bearish
2023-10-17,21640,70179,    1298,    3348,183938,-48539,Bearish
2023-10-10,20342,66831,   -1332,    5006,179357,-46489,Bearish Reversal
2023-10-03,21674,61825,    4668,   12123,189443,-40151,Bearish
2023-09-26,17006,49702,   -2021,  -17352,175848,-32696,Bullish Reversal
2023-09-19,19027,67054,  -21271,  -15127,246847,-48027,Bearish
2023-09-12,40298,82181,   -5463,   11457,217080,-41883,Bearish
2023-09-05,45761,70724,    3234,   12436,189660,-24963,Bearish
2023-08-29,42527,58288,    6534,   10225,177048,-15761,Bearish
2023-08-22,35993,48063,   -1119,    -460,166147,-12070,Bearish
2023-08-15,37112,48523,    7631,   18419,157827,-11411,Bearish
2023-08-08,29481,30104,   -6797,     191,140960,-623,Bearish Reversal
2023-08-01,36278,29913,   -6481,   -7316,152606,6365,Bullish Reversal
2023-07-25,42759,37229,    8882,    3873,156395,5530,Bullish
2023-07-18,33877,33356,   -1195,    2728,146171,521,Bearish
2023-07-11,35072,30628,   -9106,   -9023,140395,4444,Bearish Reversal
2023-07-03,44178,39651,   -6129,  -13503,156284,4527,Bullish Reversal
2023-06-27,50307,53154,   22120,   -8576,167798,-2847,Bullish Reversal
2023-06-20,28187,61730,   12651,    9526,184106,-33543,Bullish
2023-06-13,15536,52204,   -6173,   -7834,167232,-36668,Bullish Reversal
2023-06-06,21709,60038,  -15910,   -7495,168025,-38329,Bearish Reversal
2023-05-30,37619,67533,   17231,   -1381,179871,-29914,Bullish
2023-05-23,20388,68914,   -8126,   -2590,159199,-48526,Bearish Reversal
2023-05-16,28514,71504,   -1095,    -368,161195,-42990,Bearish
2023-05-09,29609,71872,    1710,   -6123,159364,-42263,Bullish Reversal
2023-05-02,27899,77995,    3604,    9909,171054,-50096,Bearish
2023-04-25,24295,68086,    6489,    4047,151786,-43791,Bullish
2023-04-18,17806,64039,     892,   -9454,148638,-46233,Bullish Reversal
2023-04-11,16914,73493,     307,   -1623,164875,-56579,Bullish Reversal
2023-04-04,16607,75116,   -3065,   -1381,169138,-58509,Bearish Reversal
2023-03-28,19672,76497,     860,     864,176559,-56825,Bearish Reversal
2023-03-21,18812,75633,  -41926,  -16820,178185,-56821,Bearish Reversal
2023-03-14,60738,92453,   -1370,    1143,244421,-31715,Bearish
2023-03-07,62108,91310,   30509,   23637,203816,-29202,Bullish
2023-02-28,31599,67673,    9710,    8281,165097,-36074,Bullish
2023-02-21,21889,59392,   -2577,    -568,151896,-37503,Bearish
2023-02-14,24466,59960,   -8826,   -6423,149059,-35494,Bearish Reversal
2023-02-07,33292,66383,    6888,    9795,149621,-33091,Bearish
2023-01-31,26404,56588,     426,    -102,140167,-30184,Bullish
2023-01-24,25978,56690,    5081,    8534,137476,-30712,Bearish
2023-01-17,20897,48156,   -1269,   -4965,132346,-27259,Bullish Reversal
2023-01-10,22166,53121,   -3331,     858,133888,-30955,Bearish Reversal
2023-01-03,25497,52263,   -3382,   -6649,138995,-26766,Bullish Reversal
2022-12-27,28879,58912,  -10826,   -7754,140544,-30033,Bearish Reversal
2022-12-20,39705,66666,    7985,    7698,180857,-26961,Bullish
2022-12-13,31720,58968,    1003,    6161,169433,-27248,Bearish
2022-12-06,30717,52807,   -4406,    1568,148891,-22090,Bearish
2022-11-29,35123,51239,   -1610,    2834,136654,-16116,Bearish
2022-11-22,36733,48405,    -723,   -1971,134901,-11672,Bullish Reversal
2022-11-15,37456,50376,   -2130,   -7674,139753,-12920,Bullish Reversal
2022-11-08,39586,58050,    1064,    1879,147555,-18464,Bearish
2022-11-01,38522,56171,    2915,    2409,147170,-17649,Bullish
2022-10-25,35607,53762,     223,   -2195,143417,-18155,Bullish Reversal
2022-10-18,35384,55957,    2908,   -2191,146425,-20573,Bullish
2022-10-11,32476,58148,   -3770,     495,144000,-25672,Bearish
2022-10-04,36246,57653,    2569,    6310,141799,-21407,Bearish
2022-09-27,33677,51343,  -14236,    5486,140889,-17666,Bearish Reversal
2022-09-20,47913,45857,    -189,   10180,160314,2056,Bearish
2022-09-13,48102,35677,   -9083,   -3598,149556,12425,Bearish Reversal
2022-09-06,57185,39275,   -1519,    4750,160567,17910,Bearish
2022-08-30,58704,34525,    5087,    4135,158165,24179,Bullish
2022-08-23,53617,30390,    1774,    5414,152685,23227,Bearish
2022-08-16,51843,24976,    4945,    -699,147596,26867,Bullish
2022-08-09,46898,25675,   -1444,   -2390,143646,21223,Bullish Reversal
2022-08-02,48342,28065,    1928,   -2580,145914,20277,Bullish
2022-07-26,46414,30645,    4374,   -4728,144182,15769,Bullish
2022-07-19,42040,35373,     427,   -2735,142216,6667,Bullish
2022-07-12,41613,38108,   -3752,   -2964,139297,3505,Bearish Reversal
2022-07-05,45365,41072,    -528,    4276,145372,4293,Bearish
2022-06-28,45893,36796,    3633,   -1359,142584,9097,Bullish
2022-06-21,42260,38155,  -14290,    4807,140047,4105,Bearish Reversal
2022-06-14,56550,33348,   17262,   -7002,175219,23202,Bullish
2022-06-07,39288,40350,    8768,    2823,167373,-1062,Bullish
2022-05-31,30520,37527,    1521,   -4159,135929,-7007,Bullish Reversal
2022-05-24,28999,41686,   -7070,   -8879,138508,-12687,Bullish Reversal
2022-05-17,36069,50565,   -2610,    6479,151585,-14496,Bearish
2022-05-10,38679,44086,   -5991,    8445,151009,-5407,Bearish Reversal
2022-05-03,44670,35641,   -4117,    7735,152779,9029,Bearish Reversal
2022-04-26,48787,27906,    4724,    5069,155362,20881,Bearish
2022-04-19,44063,22837,    6339,   -2729,153302,21226,Bullish Reversal
2022-04-12,37724,25566,     399,   -4836,155390,12158,Bullish Reversal
2022-04-05,37325,30402,    4896,   -3562,157562,6923,Bullish
2022-03-29,32429,33964,    3115,    -290,147421,-1535,Bullish
2022-03-22,29314,34254,  -18092,    4588,124090,-4940,Bearish Reversal
2022-03-15,47406,29666,   -1086,  -11180,143863,17740,Bullish Reversal
2022-03-08,48492,40846,   -2389,    4105,149425,7646,Bearish
2022-03-01,50881,36741,    3220,   -1667,143507,14140,Bullish
2022-02-22,47661,38408,   -6763,   -3846,140305,9253,Bearish Reversal
2022-02-15,54424,42254,    -338,    2378,144815,12170,Bearish Reversal
2022-02-08,54762,39876,    2376,    5754,145208,14886,Bearish
2022-02-01,52386,34122,    -743,   -6690,145082,18264,Bullish Reversal
2022-01-25,53129,40812,    3337,   -1488,146448,12317,Bullish
2022-01-18,49792,42300,    5508,   -9360,143371,7492,Bullish
2022-01-11,44284,51660,    2379,   -1270,138571,-7376,Bullish
2022-01-04,41905,52930,    -623,      68,135633,-11025,Bearish Reversal
2021-12-28,42528,52862,   -3397,   -2940,138692,-10334,Bearish Reversal
2021-12-21,45925,55802,    7695,    4444,145562,-9877,Bullish Reversal
2021-12-14,38230,51358,   -2865,     905,186638,-13128,Bearish
2021-12-07,41095,50453,    -147,   -4864,155078,-9358,Bullish
2021-11-30,41242,55317,   -3078,    7862,148375,-14075,Bearish Reversal
2021-11-23,44320,47455,     173,   12017,150275,-3135,Bearish
2021-11-16,44147,35438,     186,   -3419,148955,8709,Bullish Reversal
2021-11-09,43961,38857,    1924,     982,154720,5104,Bullish Reversal
2021-11-02,42037,37875,   -3940,   -4782,156194,4162,Bullish Reversal
2021-10-26,45977,42657,    5597,   -8647,159475,3320,Bullish
2021-10-19,40380,51304,   17998,    1062,153912,-10924,Bullish
2021-10-12,22382,50242,    3802,    4796,127827,-27860,Bearish
2021-10-05,18580,45446,   -3293,    3338,120168,-26866,Bearish
2021-09-28,21873,42108,    2919,   -4723,118066,-20235,Bullish Reversal
2021-09-21,18954,46831,  -17723,     871,118528,-27877,Bearish Reversal
2021-09-14,36677,45960,     -27,    3246,175708,-9283,Bearish
2021-09-07,36704,42714,   -3982,    -820,170506,-6010,Bearish
2021-08-31,40686,43534,   -3438,    5287,170439,-2848,Bearish Reversal
2021-08-24,44124,38247,   -2375,   -5592,171487,5877,Bullish Reversal
2021-08-17,46499,43839,    1054,    4859,177460,2660,Bearish
2021-08-10,45445,38980,    -619,     376,171602,6465,Bearish
2021-08-03,46064,38604,    -984,   -3070,170609,7460,Bullish Reversal
2021-07-27,47048,41674,  -12835,   -5294,174701,5374,Bearish Reversal
2021-07-20,59883,46968,   -3224,   10237,189308,12915,Bearish Reversal
2021-07-13,63107,36731,   -6816,    7986,198714,26376,Bearish Reversal
2021-07-06,69923,28745,    1622,    6245,202136,41178,Bearish
2021-06-29,68301,22500,    -773,   -3349,196928,45801,Bullish Reversal
2021-06-22,69074,25849,   -3997,   -2968,202787,43225,Bearish Reversal
2021-06-15,73071,28817,   -7918,   -6891,252936,44254,Bearish
2021-06-08,80989,35708,   -8478,   -4987,220053,45281,Bearish Reversal
2021-06-01,89467,40695,    5284,    1323,228957,48772,Bullish
2021-05-25,84183,39372,    2157,    3458,213176,44811,Bearish
2021-05-18,82026,35914,    2697,   -4786,207963,46112,Bullish
2021-05-11,79329,40700,    5049,   -7633,201955,38629,Bullish
2021-05-04,74280,48333,   17605,    7380,196817,25947,Bullish
2021-04-27,56675,40953,    2851,     375,180771,15722,Bullish
2021-04-20,53824,40578,    5768,   -5072,173145,13246,Bullish
2021-04-13,48056,45650,     550,     834,166186,2406,Bearish
2021-04-06,47506,44816,    -956,    2872,166118,2690,Bearish
2021-03-30,48462,41944,    1676,     261,164199,6518,Bullish
2021-03-23,46786,41683,   -4121,    1039,162170,5103,Bearish Reversal
2021-03-16,50907,40644,     885,    1603,186932,10263,Bearish
2021-03-09,50022,39041,   -1369,    2977,173078,10981,Bearish
2021-03-02,51391,36064,    4492,   -1703,168689,15327,Bullish
2021-02-23,46899,37767,    1878,     910,166868,9132,Bullish
2021-02-16,45021,36857,     747,    2111,159266,8164,Bearish
2021-02-09,44274,34746,   -2371,    4197,158454,9528,Bearish
2021-02-02,46645,30549,   -7035,   -9361,158155,16096,Bullish Reversal
2021-01-26,53680,39910,   10047,    6603,168896,13770,Bullish
2021-01-19,43633,33307,     247,    1994,154231,10326,Bearish Reversal
2021-01-12,43386,31313,    1826,    4277,156675,12073,Bearish
2021-01-05,41560,27036,    -618,     226,156124,14524,Bearish
2020-12-29,42178,26810,   -1020,   -6303,154464,15368,Bullish Reversal
2020-12-21,43198,33113,    3342,  -22459,156597,10085,Bullish Reversal
2020-12-15,39856,55572,    5143,     121,196230,-15716,Bullish
2020-12-08,34713,55451,    6011,    5506,163589,-20738,Bullish
2020-12-01,28702,49945,   -2827,    1570,147803,-21243,Bearish
2020-11-24,31529,48375,    5324,    1811,140823,-16846,Bullish
2020-11-17,26205,46564,     243,    -747,136614,-20359,Bullish
2020-11-10,25962,47311,    4413,    5076,136456,-21349,Bearish
2020-11-03,21549,42235,   -3190,    -573,124892,-20686,Bearish
2020-10-27,24739,42808,      14,    -992,122403,-18069,Bullish Reversal
2020-10-20,24725,43800,      87,    5598,123266,-19075,Bearish
2020-10-13,24638,38202,    3830,    -653,121956,-13564,Bullish
2020-10-06,20808,38855,    -811,   -1712,113818,-18047,Bullish Reversal
2020-09-29,21619,40567,   -1969,   -1903,113862,-18948,Bearish Reversal
2020-09-22,23588,42470,   -5321,   -3382,117564,-18882,Bearish Reversal
2020-09-15,28909,45852,    -717,   -1129,147273,-16943,Bullish
2020-09-08,29626,46981,    3036,   -6615,137618,-17355,Bullish Reversal
2020-09-01,26590,53596,    5000,    2688,140520,-27006,Bullish
2020-08-25,21590,50908,    2093,   -2176,129557,-29318,Bullish Reversal
2020-08-18,19497,53084,    2241,    6281,141600,-33587,Bearish
2020-08-11,17256,46803,   -2651,    3701,136885,-29547,Bearish Reversal
2020-08-04,19907,43102,  -12198,   -1499,137101,-23195,Bearish Reversal
2020-07-28,32105,44601,   -2179,   -6381,139397,-12496,Bullish Reversal
2020-07-21,34284,50982,    6642,    3565,143606,-16698,Bullish Reversal
2020-07-14,27642,47417,   -4018,   -1061,148003,-19775,Bearish
2020-07-07,31660,48478,    3486,    -215,121226,-16818,Bullish
2020-06-30,28174,48693,    5322,    5007,118197,-20519,Bullish
2020-06-23,22852,43686,    3157,   -1495,105412,-20834,Bullish Reversal
2020-06-16,19695,45181,   -2603,   -1946,125654,-25486,Bearish
2020-06-09,22298,47127,    2524,   -5785,120459,-24829,Bullish Reversal
2020-06-02,19774,52912,   -2070,   -2886,128476,-33138,Bullish Reversal
2020-05-26,21844,55798,   -1298,   -2400,129849,-33954,Bullish Reversal
2020-05-19,23142,58198,    6147,    8957,130099,-35056,Bearish
2020-05-12,16995,49241,     -12,     182,120453,-32246,Bearish
2020-05-05,17007,49059,     975,    3983,119300,-32052,Bearish
2020-04-28,16032,45076,   -3772,    1381,117660,-29044,Bearish Reversal
2020-04-21,19804,43695,    1766,    1897,121213,-23891,Bearish
2020-04-14,18038,41798,     986,     313,119798,-23760,Bullish
2020-04-07,17052,41485,   -4465,   -1961,117523,-24433,Bearish Reversal
2020-03-31,21517,43446,     194,   -7122,122891,-21929,Bullish Reversal
2020-03-24,21323,50568,  -21791,   -2169,124226,-29245,Bearish Reversal
2020-03-17,43114,52737,   -4941,    2692,183137,-9623,Bearish
2020-03-10,48055,50045,   -7136,    5433,175226,-1990,Bearish
2020-03-03,55191,44612,   -8467,   -4422,160511,10579,Bearish Reversal
2020-02-25,63658,49034,    2099,   -4708,168819,14624,Bullish
2020-02-18,61559,53742,   -6666,   -4778,164698,7817,Bearish Reversal
2020-02-11,68225,58520,    1032,    9890,166914,9705,Bearish Reversal
2020-02-04,67193,48630,   -9106,    6921,174000,18563,Bearish Reversal
2020-01-28,76299,41709,    1900,    5604,185499,34590,Bearish Reversal
2020-01-21,74399,36105,    3971,   -1471,188596,38294,Bullish Reversal
2020-01-14,70428,37576,    1672,   -4813,190229,32852,Bullish
2020-01-07,68756,42389,    4795,   -9659,189996,26367,Bullish
2019-12-31,63961,52048,   12483,    9067,175666,11913,Bullish
2019-12-24,51478,42981,    3955,    6649,158666,8497,Bearish Reversal
2019-12-17,47523,36332,   -7762,    1788,189458,11191,Bearish
2019-12-10,55285,34544,   -8755,   -8025,169219,20741,Bearish Reversal
2019-12-03,64040,42569,    3110,    1983,184060,21471,Bullish
2019-11-26,60930,40586,   -4110,    4411,167350,20344,Bearish Reversal
2019-11-19,65040,36175,   -8631,    4877,172759,28865,Bearish Reversal
2019-11-12,73671,31298,  -14103,   -2474,182793,42373,Bearish Reversal
2019-11-05,87774,33772,    5792,   -4621,192882,54002,Bullish
2019-10-29,81982,38393,   10572,     376,189971,43589,Bullish
2019-10-22,71410,38017,   13403,   -7029,170305,33393,Bullish
2019-10-15,58007,45046,    8936,    1288,149079,12961,Bullish
2019-10-08,49071,43758,    2768,    3782,136105,5313,Bearish
2019-10-01,46303,39976,    5980,    4245,130937,6327,Bullish
2019-09-24,40323,35731,  -21681,   -6450,123017,4592,Bearish Reversal
2019-09-17,62004,42181,    7033,   -1267,187795,19823,Bullish
2019-09-10,54971,43448,    6765,     591,183058,11523,Bullish
2019-09-03,48206,42857,     -86,    5470,167396,5349,Bearish
2019-08-27,48292,37387,     924,    3056,158921,10905,Bearish
2019-08-20,47368,34331,   -2697,   -1534,155837,13037,Bearish Reversal
2019-08-13,50065,35865,  -13533,   -3567,160861,14200,Bearish Reversal
2019-08-06,63598,39432,   -2707,   -5151,172657,24166,Bullish Reversal
2019-07-30,66305,44583,   -3389,    5639,182478,21722,Bearish Reversal
2019-07-23,69694,38944,    6596,   -3190,187397,30750,Bullish
2019-07-16,63098,42134,   14364,    2626,182946,20964,Bullish
2019-07-09,48734,39508,    3677,     744,164842,9226,Bullish
2019-07-02,45057,38764,   20307,    -776,157998,6293,Bullish
2019-06-25,24750,39540,    4954,  -18327,137543,-14790,Bullish Reversal
2019-06-18,19796,57867,   -5801,    -570,160795,-38071,Bearish
2019-06-11,25597,58437,   10267,    1348,159212,-32840,Bullish
2019-06-04,15330,57089,    -548,    1788,151970,-41759,Bearish
2019-05-28,15878,55301,    -404,   -3217,140449,-39423,Bullish Reversal
2019-05-21,16282,58518,   -2175,   -7527,140682,-42236,Bullish Reversal
2019-05-14,18457,66045,   -1660,    -187,148058,-47588,Bearish Reversal
2019-05-07,20117,66232,     672,      42,151258,-46115,Bullish Reversal
2019-04-30,19445,66190,   -3777,   -4525,154565,-46745,Bullish
2019-04-23,23222,70715,    4966,    3297,152998,-47493,Bullish
2019-04-16,18256,67418,   -6425,    -465,145041,-49162,Bearish Reversal
2019-04-09,24681,67883,      62,   -1059,149544,-43202,Bullish Reversal
2019-04-02,24619,68942,    3425,    8177,151140,-44323,Bearish
2019-03-26,21194,60765,    4927,   -3276,144311,-39571,Bullish Reversal
2019-03-19,16267,64041,   -4009,    2712,167282,-47774,Bearish
2019-03-12,20276,61329,    2066,    2675,159939,-41053,Bearish
2019-03-05,18210,58654,   -3343,   -2076,146552,-40444,Bearish Reversal
2019-02-26,21553,60730,   -1436,    1304,147621,-39177,Bearish
2019-02-19,22989,59426,    1556,     456,142620,-36437,Bullish
2019-02-12,21433,58970,    1625,   -2875,141172,-37537,Bullish Reversal
2019-02-05,19808,61845,    3285,  -11068,141538,-42037,Bullish Reversal
2019-01-29,16523,72913,    -204,      90,151146,-56390,Bearish
2019-01-22,16727,72823,    -279,   -3707,151010,-56096,Bullish Reversal
2019-01-15,17006,76530,   -2281,   -8759,155691,-59524,Bullish Reversal
2019-01-08,19287,85289,  -15043,     310,167005,-66002,Bearish Reversal
2018-12-31,34330,84979,    6443,   12400,170168,-50649,Bearish
2018-12-24,27887,72579,  -23679,   13556,159195,-44692,Bearish Reversal
2018-12-18,51566,59023,    9894,    5682,191476,-7457,Bullish
2018-12-11,41672,53341,    2936,    1669,161530,-11669,Bullish
2018-12-04,38736,51672,   -2691,    1615,156750,-12936,Bearish
2018-11-27,41427,50057,    2368,    4709,145122,-8630,Bearish
2018-11-20,39059,45348,    2286,    5784,140651,-6289,Bearish
2018-11-13,36773,39564,    3020,    3179,121999,-2791,Bearish
2018-11-06,33753,36385,    4317,   -2706,116284,-2632,Bullish Reversal
2018-10-30,29436,39091,   -2595,    -168,118508,-9655,Bearish
2018-10-23,32031,39259,    -171,   -3962,118053,-7228,Bullish
2018-10-16,32202,43221,   -6665,   -7791,115386,-11019,Bullish Reversal
2018-10-09,38867,51012,   -3073,   -9412,121489,-12145,Bullish Reversal
2018-10-02,41940,60424,   10128,    9080,127333,-18484,Bullish
