As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2025-01-07,15722,12963,   -1686,     195,85367,2759,Bearish
2024-12-31,17408,12768,   -1162,     173,83957,4640,Bearish
2024-12-24,18570,12595,   -1919,   -2295,82150,5975,Bullish Reversal
2024-12-17,20489,14890,   -3658,     864,108960,5599,Bearish
2024-12-10,24147,14026,   -2050,   -1670,92474,10121,Bearish
2024-12-03,26196,15696,    1287,    2283,92337,10500,Bearish
2024-11-26,24909,13413,    4893,     949,89349,11496,Bullish
2024-11-19,20016,12464,   -6648,    -534,86770,7552,Bearish Reversal
2024-11-12,26664,12998,    2469,    1734,88312,13666,Bullish
2024-11-05,24195,11264,    1077,   -2229,86343,12931,Bullish Reversal
2024-10-29,23118,13493,   -1642,     969,89974,9625,Bearish Reversal
2024-10-22,24760,12524,     778,    1141,91035,12236,Bearish Reversal
2024-10-15,23983,11383,    3398,    5084,91117,12600,Bearish
2024-10-08,20585,6299,   -4560,   -1796,84731,14286,Bearish Reversal
2024-10-01,25145,8095,    1922,     308,89570,17050,Bullish
2024-09-24,23223,7787,     292,   -2091,87645,15436,Bullish Reversal
2024-09-17,22931,9878,    3295,   -1590,101534,13053,Bullish
2024-09-10,19636,11468,    -136,   -1168,85971,8168,Bullish
2024-09-03,19772,12636,   -2227,   -2439,85167,7136,Bullish Reversal
2024-08-27,21999,15075,    -508,    -704,92406,6924,Bullish
2024-08-20,22507,15779,    4495,    -996,87145,6728,Bullish
2024-08-13,18012,16775,   -3472,    2660,81881,1237,Bearish Reversal
2024-08-06,21484,14115,   -6070,      99,84440,7369,Bearish Reversal
2024-07-30,27554,14016,    1613,    -559,92185,13538,Bullish
2024-07-23,25941,14575,   -4627,    -752,91047,11366,Bearish Reversal
2024-07-16,30568,15327,    8251,     805,99652,15241,Bullish
2024-07-09,22317,14522,    4012,    2945,88307,7795,Bullish
2024-07-02,18305,11577,    2135,   -5107,82128,6728,Bullish Reversal
2024-06-25,16170,16684,   -1020,    1018,84823,-514,Bearish Reversal
2024-06-18,17190,15666,   -2648,   -1796,114233,1524,Bearish
2024-06-11,19838,17462,   -1170,    4740,107902,2376,Bearish
2024-06-04,21008,12722,   -1277,    3581,100634,8286,Bearish
2024-05-28,22285,9141,   -8443,   -1150,97243,13144,Bearish Reversal
2024-05-21,30728,10291,    5989,    1325,103626,20437,Bullish
2024-05-14,24739,8966,    5434,   -1675,99207,15773,Bullish
2024-05-07,19305,10641,    1422,   -2044,92752,8664,Bullish
2024-04-30,17883,12685,   -1383,     271,89960,5198,Bearish Reversal
2024-04-23,19266,12414,   -4439,    2388,90835,6852,Bearish Reversal
2024-04-16,23705,10026,   -5154,   -1872,93614,13679,Bearish
2024-04-09,28859,11898,   -3247,   -3613,92484,16961,Bullish Reversal
2024-04-02,32106,15511,    -130,    3287,93520,16595,Bearish
2024-03-26,32236,12224,   -3452,   -1019,92741,20012,Bearish Reversal
2024-03-19,35688,13243,    4657,    -775,93851,22445,Bullish Reversal
2024-03-12,31031,14018,     346,   -1224,115061,17013,Bullish
2024-03-05,30685,15242,   -2869,    1009,101334,15443,Bearish Reversal
2024-02-27,33554,14233,     542,    -839,106563,19321,Bullish
2024-02-20,33012,15071,    -935,    2669,104742,17941,Bearish Reversal
2024-02-13,33947,12403,     673,     114,105714,21544,Bullish
2024-02-06,33274,12289,   -7338,   -2492,104421,20985,Bearish Reversal
2024-01-30,40612,14781,    6790,      21,110393,25831,Bullish
2024-01-23,33822,14760,     262,    -516,101763,19062,Bullish
2024-01-16,33560,15276,   -3427,    2368,100152,18284,Bearish Reversal
2024-01-09,36987,12908,    2678,   -1859,103318,24079,Bullish Reversal
2024-01-02,34309,14767,    5840,   -2549,103364,19542,Bullish
2023-12-26,28469,17316,   -1414,   -5444,98501,11153,Bullish Reversal
2023-12-19,29883,22760,    3915,     243,100329,7123,Bullish Reversal
2023-12-12,25968,22517,    -285,   -3428,112076,3451,Bullish
2023-12-05,26253,25945,    3718,  -21645,94870,308,Bullish Reversal
2023-11-28,22535,47590,    6134,   -3119,100979,-25055,Bullish
2023-11-21,16401,50709,   -4513,   -6718,94498,-34308,Bullish Reversal
2023-11-14,20914,57427,   -1816,   -2379,101030,-36513,Bullish Reversal
2023-11-07,22730,59806,   -1050,     -85,103306,-37076,Bearish Reversal
2023-10-31,23780,59891,   -1379,   -1228,103936,-36111,Bearish Reversal
2023-10-24,25159,61119,    6998,    7747,104581,-35960,Bearish
2023-10-17,18161,53372,     486,    1045,96554,-35211,Bearish
2023-10-10,17675,52327,   -1805,     400,94607,-34652,Bearish Reversal
2023-10-03,19480,51927,    1243,   12072,100823,-32447,Bearish
2023-09-26,18237,39855,    -779,    3070,92551,-21618,Bearish
2023-09-19,19016,36785,   -3772,    1097,86992,-17769,Bearish Reversal
2023-09-12,22788,35688,     543,    1719,102910,-12900,Bearish
2023-09-05,22245,33969,   -2980,   -1256,93933,-11724,Bearish Reversal
2023-08-29,25225,35225,    2299,   -2419,96960,-10000,Bullish Reversal
2023-08-22,22926,37644,   -9331,    2166,97208,-14718,Bearish Reversal
2023-08-15,32257,35478,    -770,    6482,104216,-3221,Bearish Reversal
2023-08-08,33027,28996,   -3120,   -4646,106566,4031,Bullish Reversal
2023-08-01,36147,33642,      64,     -72,115736,2505,Bullish
2023-07-25,36083,33714,    6374,   -3136,114947,2369,Bullish
2023-07-18,29709,36850,    6504,   -4940,102267,-7141,Bullish
2023-07-11,23205,41790,   -1028,    4475,97782,-18585,Bearish
2023-07-03,24233,37315,    3194,   -2646,95161,-13082,Bullish
2023-06-27,21039,39961,    1704,    4767,92561,-18922,Bearish
2023-06-20,19335,35194,     751,     841,87911,-15859,Bearish Reversal
2023-06-13,18584,34353,    -622,   -8056,106498,-15769,Bullish
2023-06-06,19206,42409,   -1140,     -47,103684,-23203,Bearish
2023-05-30,20345,42456,   -1168,   -2089,98019,-22111,Bullish
2023-05-23,21513,44545,   -2984,   -1784,97077,-23032,Bearish Reversal
2023-05-16,24497,46329,    -389,    1767,99483,-21832,Bearish
2023-05-09,24886,44562,   -1047,   -2362,96996,-19676,Bullish Reversal
2023-05-02,25933,46924,   14519,   22673,97094,-20991,Bearish
2023-04-25,11415,24251,    1967,    2605,49609,-12836,Bearish
2023-04-18,9448,21647,     743,    2119,48031,-12199,Bearish
2023-04-11,8705,19528,    1554,     565,45132,-10823,Bullish
2023-04-04,7151,18964,    1056,    1084,44146,-11813,Bearish
2023-03-28,6095,17880,   -1707,    -997,38175,-11785,Bearish Reversal
2023-03-21,7802,18876,   -2296,   -1262,40874,-11074,Bearish Reversal
2023-03-14,10098,20138,   -3494,     194,52119,-10040,Bearish
2023-03-07,13592,19945,     784,    -866,44709,-6353,Bullish Reversal
2023-02-28,12808,20811,    -864,    -984,44956,-8003,Bullish Reversal
2023-02-21,13672,21795,    -584,    4170,45644,-8123,Bearish
2023-02-14,14256,17625,     689,     916,43725,-3369,Bearish
2023-02-07,13567,16709,    2898,    1325,43150,-3142,Bullish
2023-01-31,10670,15384,     117,    -153,40193,-4714,Bullish
2023-01-24,10553,15536,   -2371,   -2694,38826,-4983,Bullish Reversal
2023-01-17,12924,18230,     -48,     688,41330,-5306,Bearish
2023-01-10,12972,17543,     348,   -1027,38814,-4571,Bullish Reversal
2023-01-03,12624,18570,     888,     811,39866,-5946,Bullish
2022-12-27,11737,17759,    -790,    2012,37475,-6022,Bearish
2022-12-20,12526,15748,     821,   -2229,36303,-3222,Bullish Reversal
2022-12-13,11706,17977,     717,    1186,53227,-6271,Bearish
2022-12-06,10989,16791,     381,    3112,40889,-5802,Bearish
2022-11-29,10608,13679,     274,     149,39542,-3071,Bullish Reversal
2022-11-22,10335,13530,    2833,     723,39633,-3195,Bullish
2022-11-15,7502,12807,   -3124,   -1991,36917,-5305,Bearish Reversal
2022-11-08,10626,14798,     365,     438,38875,-4172,Bearish
2022-11-01,10261,14360,    2182,    -655,37908,-4099,Bullish
2022-10-25,8080,15015,     969,    -521,35360,-6935,Bullish
2022-10-18,7111,15536,    -457,    1093,34618,-8425,Bearish
2022-10-11,7568,14443,     974,    -402,32966,-6875,Bullish Reversal
2022-10-04,6594,14844,    -561,   -1926,33326,-8250,Bullish Reversal
2022-09-27,7155,16770,    -504,    1395,33528,-9615,Bearish
2022-09-20,7658,15375,   -2673,    -799,32745,-7717,Bearish Reversal
2022-09-13,10331,16174,   -1284,    -245,46289,-5843,Bearish
2022-09-06,11615,16419,   -1747,    2347,38363,-4804,Bearish Reversal
2022-08-30,13362,14072,     623,    -964,38715,-710,Bullish Reversal
2022-08-23,12739,15036,    1132,     -54,40390,-2297,Bullish Reversal
2022-08-16,11608,15090,    1604,   -1269,40519,-3482,Bullish
2022-08-09,10004,16359,    1924,    -932,37697,-6355,Bullish
2022-08-02,8081,17291,     103,   -1279,36310,-9210,Bullish Reversal
2022-07-26,7978,18570,    -806,    1868,36644,-10592,Bearish
2022-07-19,8784,16702,    1947,     -57,35639,-7918,Bullish
2022-07-12,6837,16759,    1311,    -310,33627,-9922,Bullish Reversal
2022-07-05,5527,17068,    1021,      26,33719,-11541,Bullish
2022-06-28,4506,17042,    -650,    -850,33380,-12536,Bullish Reversal
2022-06-21,5155,17892,   -2092,    -500,34512,-12737,Bearish Reversal
2022-06-14,7247,18392,    -340,     585,46792,-11145,Bearish
2022-06-07,7587,17807,     487,   -2352,40205,-10220,Bullish Reversal
2022-05-31,7100,20159,    -578,     445,42241,-13059,Bearish
2022-05-24,7678,19714,     402,     694,41510,-12036,Bearish
2022-05-17,7276,19020,     658,     823,40099,-11744,Bearish Reversal
2022-05-10,6618,18197,      88,    2076,41470,-11579,Bearish
2022-05-03,6531,16121,     156,   -1147,39724,-9590,Bullish Reversal
2022-04-26,6375,17268,   -1404,    2097,42232,-10893,Bearish
2022-04-19,7779,15171,    3326,    -739,38811,-7392,Bullish
2022-04-12,4454,15910,    -595,    1998,35593,-11456,Bearish
2022-04-05,5048,13912,    1179,     330,33316,-8864,Bullish
2022-03-29,3870,13582,   -1540,     750,32654,-9712,Bearish
2022-03-22,5410,12832,   -2247,    -878,31512,-7422,Bearish Reversal
2022-03-15,7656,13710,   -1025,    -929,46279,-6054,Bearish
2022-03-08,8681,14639,     -31,   -1808,38780,-5958,Bullish Reversal
2022-03-01,8712,16447,    -497,     581,39034,-7735,Bearish Reversal
2022-02-22,9208,15866,   -1347,     636,39796,-6658,Bearish Reversal
2022-02-15,10555,15230,   -1474,    -230,40696,-4675,Bearish Reversal
2022-02-08,12029,15460,    -200,   -1557,41397,-3431,Bullish Reversal
2022-02-01,12229,17017,    -736,   -1086,43683,-4788,Bullish Reversal
2022-01-25,12965,18103,     653,     619,46318,-5138,Bullish Reversal
2022-01-18,12312,17484,   -3890,    -119,47351,-5172,Bearish
2022-01-11,16202,17603,   -4740,     279,46567,-1401,Bearish Reversal
2022-01-04,20942,17325,    3134,   -1063,50879,3617,Bullish
2021-12-28,17808,18387,    4127,      74,48375,-579,Bullish
2021-12-21,13681,18314,   -1910,    -616,45692,-4633,Bearish Reversal
2021-12-14,15591,18930,   -3273,   -2211,60334,-3339,Bearish
2021-12-07,18864,21141,    1823,     681,51530,-2277,Bullish
2021-11-30,17042,20460,   -2525,    -182,50802,-3418,Bearish Reversal
2021-11-23,19566,20642,    1285,     221,53046,-1076,Bullish
2021-11-16,18282,20421,      -3,    1430,51900,-2139,Bearish
2021-11-09,18284,18991,   -4667,   -1416,51733,-707,Bearish Reversal
2021-11-02,22951,20407,    2176,     500,57066,2544,Bullish
2021-10-26,20776,19907,     723,    1670,54648,869,Bearish
2021-10-19,20053,18237,    3961,       4,53020,1816,Bullish
2021-10-12,16092,18233,    1447,     501,51020,-2141,Bullish
2021-10-05,14645,17733,    -197,    -950,48120,-3088,Bullish Reversal
2021-09-28,14842,18683,    2450,   -2111,49272,-3841,Bullish
2021-09-21,12393,20793,   -3714,   -1264,47942,-8400,Bearish Reversal
2021-09-14,16106,22057,   -1171,    -292,60533,-5951,Bearish
2021-09-07,17277,22348,   -4649,    -849,53390,-5071,Bearish Reversal
2021-08-31,21926,23197,      76,     651,54638,-1271,Bearish
2021-08-24,21850,22546,     725,    -552,53847,-696,Bullish Reversal
2021-08-17,21125,23098,   -2322,    1096,53963,-1973,Bearish Reversal
2021-08-10,23447,22003,    -757,    1090,57378,1444,Bearish
2021-08-03,24204,20913,    3921,     444,55408,3291,Bullish
2021-07-27,20283,20470,    1358,    -416,51277,-187,Bullish Reversal
2021-07-20,18926,20886,   -4414,    2152,51350,-1960,Bearish Reversal
2021-07-13,23339,18734,    3297,    1866,55827,4605,Bullish
2021-07-06,20043,16868,     699,   -2889,52986,3175,Bullish
2021-06-29,19344,19757,    5414,   -1748,52814,-413,Bullish
2021-06-22,13931,21504,   -1397,    1132,51309,-7573,Bearish Reversal
2021-06-15,15328,20372,   -1221,    -586,59702,-5044,Bearish
2021-06-08,16548,20958,    -592,   -1065,53147,-4410,Bullish
2021-06-01,17140,22023,    1436,    -204,51621,-4883,Bullish
2021-05-25,15705,22227,     758,    2766,49408,-6522,Bearish
2021-05-18,14947,19461,    -539,     304,47834,-4514,Bearish Reversal
2021-05-11,15486,19158,    1525,    2549,49322,-3672,Bearish
2021-05-04,13962,16609,    1201,    -180,45992,-2647,Bullish
2021-04-27,12761,16789,     223,    -193,45600,-4028,Bullish Reversal
2021-04-20,12538,16982,    -998,   -2248,45617,-4444,Bullish Reversal
2021-04-13,13536,19230,     216,    -119,46072,-5694,Bullish Reversal
2021-04-06,13321,19348,    2099,     852,47120,-6027,Bullish
2021-03-30,11222,18497,     483,     853,44724,-7275,Bearish Reversal
2021-03-23,10739,17644,    1397,   -1044,45440,-6905,Bullish Reversal
2021-03-16,9342,18687,    1210,   -1596,54432,-9345,Bullish
2021-03-09,8133,20283,   -1792,     -58,46402,-12150,Bearish
2021-03-02,9925,20341,   -4835,    2228,44698,-10416,Bearish Reversal
2021-02-23,14760,18113,     -80,    -477,46040,-3353,Bullish Reversal
2021-02-16,14839,18590,   -2644,    -816,46942,-3751,Bearish Reversal
2021-02-09,17483,19406,     824,    -119,49829,-1923,Bullish Reversal
2021-02-02,16659,19524,    5197,     401,49889,-2865,Bullish
2021-01-26,11463,19124,     330,    1132,44757,-7661,Bearish
2021-01-19,11133,17992,   -1005,    -307,43314,-6859,Bearish
2021-01-12,12138,18299,      99,     -70,42106,-6161,Bullish
2021-01-05,12039,18369,     125,     224,40600,-6330,Bearish Reversal
2020-12-29,11914,18146,     197,     -72,40919,-6232,Bullish
2020-12-21,11718,18217,     945,   -1376,40772,-6499,Bullish Reversal
2020-12-15,10773,19593,   -1772,     722,53587,-8820,Bearish
2020-12-08,12544,18871,    2022,     218,51358,-6327,Bullish
2020-12-01,10522,18653,   -2525,     767,47034,-8131,Bearish Reversal
2020-11-24,13047,17886,   -1875,     578,49293,-4839,Bearish
2020-11-17,14922,17308,   -1691,     207,47984,-2386,Bearish
2020-11-10,16613,17101,    2309,    1032,46842,-488,Bullish
2020-11-03,14304,16069,   -4483,   -1429,44597,-1765,Bearish Reversal
2020-10-27,18786,17498,   -1913,     -37,48635,1288,Bearish
2020-10-20,20699,17535,    3607,     697,47565,3164,Bullish
2020-10-13,17092,16838,     415,    -521,44989,254,Bullish
2020-10-06,16678,17359,    4883,     -11,42881,-681,Bullish
2020-09-29,11795,17370,    3115,      24,37025,-5575,Bullish
2020-09-22,8680,17346,   -1255,    -530,34886,-8666,Bearish Reversal
2020-09-15,9935,17876,     498,     329,44088,-7941,Bullish
2020-09-08,9437,17547,   -2634,    1062,36683,-8110,Bearish Reversal
2020-09-01,12071,16485,    -807,    -845,41003,-4414,Bullish Reversal
2020-08-25,12878,17330,   -3062,    -220,42244,-4452,Bearish Reversal
2020-08-18,15939,17549,    -861,    -849,46229,-1610,Bearish Reversal
2020-08-11,16800,18398,     568,   -1031,47392,-1598,Bullish
2020-08-04,16233,19428,    2319,    2363,45154,-3195,Bearish
2020-07-28,13914,17065,     627,    -595,41117,-3151,Bullish
2020-07-21,13287,17660,    -883,    -202,39745,-4373,Bearish Reversal
2020-07-14,14170,17862,    6566,    -688,40025,-3692,Bullish
2020-07-07,7605,18550,     674,   -1319,35844,-10945,Bullish Reversal
2020-06-30,6931,19869,      89,   -1321,37388,-12938,Bullish
2020-06-23,6842,21190,     444,     416,36461,-14348,Bullish Reversal
2020-06-16,6398,20774,   -1708,    5574,46180,-14376,Bearish
2020-06-09,8106,15200,    1026,    -743,39723,-7094,Bullish
2020-06-02,7080,15943,     855,    2526,39058,-8863,Bearish
2020-05-26,6225,13418,     754,      24,38789,-7193,Bullish
2020-05-19,5471,13394,    -832,   -1191,36842,-7923,Bullish
2020-05-12,6303,14585,     -20,     145,34803,-8282,Bearish
2020-05-05,6323,14440,      65,    1705,33234,-8117,Bearish Reversal
2020-04-28,6258,12735,    -141,     726,33751,-6477,Bearish
2020-04-21,6399,12009,     178,    1813,30798,-5610,Bearish
2020-04-14,6222,10196,     541,    1456,30200,-3974,Bearish
2020-04-07,5681,8740,    1963,     201,26996,-3059,Bullish Reversal
2020-03-31,3718,8540,    -673,    5481,28194,-4822,Bearish
2020-03-24,4390,3059,   -3076,     152,25081,1331,Bearish Reversal
2020-03-17,7466,2907,   -4110,    -698,41341,4559,Bearish Reversal
2020-03-10,11575,3604,    -964,   -1751,42743,7971,Bullish Reversal
2020-03-03,12539,5355,   -5798,     200,44848,7184,Bearish Reversal
2020-02-25,18336,5155,    -303,     135,50734,13181,Bearish Reversal
2020-02-18,18639,5020,    -403,     556,51736,13619,Bearish
2020-02-11,19042,4465,   -5151,    -862,51211,14577,Bearish Reversal
2020-02-04,24193,5327,     442,     698,51291,18866,Bearish Reversal
2020-01-28,23751,4629,     712,   -2380,52420,19122,Bullish
2020-01-21,23040,7009,     316,   -2342,51888,16031,Bullish
2020-01-14,22724,9351,    2434,     595,50993,13373,Bullish
2020-01-07,20290,8756,   -3494,   -1936,49078,11534,Bearish Reversal
2019-12-31,23784,10692,    1510,    1293,53616,13092,Bullish
2019-12-24,22274,9399,     529,   -1390,51518,12875,Bullish Reversal
2019-12-17,21746,10789,     906,     326,60779,10957,Bullish
2019-12-10,20840,10463,    2185,    4503,53903,10377,Bearish
2019-12-03,18655,5960,   -2063,     607,50967,12695,Bearish Reversal
2019-11-26,20718,5353,   -1060,    -860,53659,15365,Bearish Reversal
2019-11-19,21778,6213,   -1971,    1365,55084,15565,Bearish Reversal
2019-11-12,23749,4849,   -1626,    -983,56876,18900,Bearish Reversal
2019-11-05,25375,5831,     168,     804,57565,19544,Bearish
2019-10-29,25207,5028,    1067,     793,57263,20179,Bullish
2019-10-22,24140,4235,     936,     290,53193,19905,Bullish
2019-10-15,23204,3946,    1428,    1082,52347,19258,Bullish
2019-10-08,21776,2864,   -5228,   -1198,49078,18912,Bearish Reversal
2019-10-01,27004,4062,      19,     246,51743,22942,Bearish
2019-09-24,26985,3816,    1755,     490,50109,23169,Bullish Reversal
2019-09-17,25230,3326,    1364,    -580,59753,21904,Bullish
2019-09-10,23866,3905,    2571,    1444,44467,19961,Bullish
2019-09-03,21296,2461,     806,    -456,40519,18835,Bullish
2019-08-27,20490,2917,    -623,     120,40195,17573,Bearish Reversal
2019-08-20,21113,2797,   -3912,    -428,41103,18316,Bearish Reversal
2019-08-13,25025,3224,   -3996,     -86,45609,21801,Bearish Reversal
2019-08-06,29021,3310,    1333,   -1099,49129,25711,Bullish Reversal
2019-07-30,27688,4409,    1317,     259,50564,23279,Bullish
2019-07-23,26371,4150,   -1268,    -959,46842,22221,Bearish Reversal
2019-07-16,27639,5109,    6705,     534,48891,22530,Bullish
2019-07-09,20935,4576,   -1989,     853,40651,16359,Bearish Reversal
2019-07-02,22923,3723,     133,    -836,42532,19200,Bullish
2019-06-25,22791,4559,    8389,   -1574,41325,18232,Bullish Reversal
2019-06-18,14402,6132,    4291,    -852,43795,8270,Bullish
2019-06-11,10111,6984,     139,   -1923,37341,3127,Bullish Reversal
2019-06-04,9972,8907,   -2802,     446,39206,1065,Bearish Reversal
2019-05-28,12774,8461,   -4175,      66,39694,4313,Bearish
2019-05-21,16949,8395,   -3137,    -510,38661,8554,Bearish Reversal
2019-05-14,20085,8905,    -745,    3426,40445,11180,Bearish Reversal
2019-05-07,20830,5480,    3092,    -150,41408,15350,Bullish
2019-04-30,17738,5630,     684,     908,41063,12108,Bearish
2019-04-23,17054,4722,   -1216,     182,40466,12332,Bearish Reversal
2019-04-16,18270,4540,    -376,    -545,40945,13730,Bullish
2019-04-09,18646,5085,    1124,    -170,39565,13561,Bullish Reversal
2019-04-02,17522,5255,    -904,     -68,39880,12267,Bearish
2019-03-26,18426,5323,   -1510,   -5027,39096,13103,Bullish Reversal
2019-03-19,19936,10349,    1375,    3135,39831,9587,Bearish Reversal
2019-03-12,18561,7215,   -1240,   -2354,48613,11346,Bullish
2019-03-05,19801,9569,    1171,    1455,44409,10232,Bearish
2019-02-26,18630,8114,    1850,    -877,42707,10516,Bullish
2019-02-19,16780,8990,     191,   -1553,41069,7790,Bullish Reversal
2019-02-12,16590,10543,     698,   -1947,41834,6047,Bullish Reversal
2019-02-05,15892,12490,     -17,    3474,42870,3402,Bearish
2019-01-29,15908,9017,   -1185,    1306,39174,6891,Bearish
2019-01-22,17093,7711,    -179,    1540,38510,9382,Bearish
2019-01-15,17272,6171,     396,    1828,37610,11101,Bearish
2019-01-08,16876,4343,    -619,     555,37228,12533,Bearish
2018-12-31,17495,3788,   -3826,    -147,36864,13707,Bearish Reversal
2018-12-24,21321,3935,    5129,    -569,41713,17386,Bullish Reversal
2018-12-18,16192,4504,    1691,    1088,47207,11688,Bullish
2018-12-11,14502,3416,    -989,      82,36811,11086,Bearish Reversal
2018-12-04,15490,3335,    1847,    -278,38536,12155,Bullish Reversal
2018-11-27,13643,3613,     430,    -251,39163,10030,Bullish
2018-11-20,13213,3863,   -5546,       7,38900,9350,Bearish Reversal
2018-11-13,18759,3857,     621,   -3264,42482,14902,Bullish
2018-11-06,18138,7121,     174,   -1569,41582,11017,Bullish Reversal
2018-10-30,17965,8690,   -1927,     970,43677,9275,Bearish Reversal
2018-10-23,19892,7720,    -446,     560,44831,12172,Bearish Reversal
2018-10-16,20338,7160,   -8146,    1227,46361,13178,Bearish Reversal
2018-10-09,28484,5933,   -4886,     -52,52344,22551,Bearish Reversal
2018-10-02,33370,5985,    2449,      94,57182,27385,Bullish
2018-09-25,30921,5891,    3831,    -574,53775,25030,Bullish Reversal
2018-09-18,27090,6465,     184,   -1139,64537,20625,Bullish
2018-09-11,26907,7604,     924,    -338,54437,19303,Bullish
2018-09-04,25983,7942,    1034,   -1101,53146,18041,Bullish
2018-08-28,24949,9043,    1944,     124,52653,15906,Bullish
2018-08-21,23006,8919,    1407,     434,51229,14087,Bullish
2018-08-14,21599,8486,   -1365,     410,49010,13113,Bearish Reversal
2018-08-07,22964,8076,    2580,     376,50128,14888,Bullish
