As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2025-05-06,237445,74948,   -2932,   -2111,452414,162497,Bearish
2025-04-29,240377,77059,  -18519,   -6459,451868,163318,Bearish Reversal
2025-04-22,258896,83518,  -12811,   14021,465351,175378,Bearish
2025-04-15,271707,69497,    1874,     379,456628,202210,Bullish
2025-04-08,269833,69118,  -58103,  -20384,445468,200715,Bearish Reversal
2025-04-01,327936,89502,   11364,   22726,498746,238434,Bearish Reversal
2025-03-25,316572,66776,   -5082,    3054,511482,249796,Bearish Reversal
2025-03-18,321654,63722,   25482,    3650,533566,257932,Bullish
2025-03-11,296172,60072,   -6960,     201,511276,236100,Bearish
2025-03-04,303132,59871,  -13816,    4548,489270,243261,Bearish Reversal
2025-02-25,316948,55323,  -17095,  -10046,512179,261625,Bearish Reversal
2025-02-18,334043,65369,   -9723,    6107,522330,268674,Bearish Reversal
2025-02-11,343766,59262,  -12734,    5270,528719,284504,Bearish Reversal
2025-02-04,356500,53992,   18129,   15030,542004,302508,Bullish Reversal
2025-01-28,338371,38962,    1082,    2457,577505,299409,Bearish
2025-01-21,337289,36505,   24721,    3300,571387,300784,Bullish
2025-01-14,312568,33205,   20847,   -3605,526467,279363,Bullish
2025-01-07,291721,36810,    8814,    1182,477043,254911,Bullish
2024-12-31,282907,35628,   -6509,   -6159,458584,247279,Bearish
2024-12-24,289416,41787,  -13562,     850,454646,247629,Bearish Reversal
2024-12-17,302978,40937,  -21354,   -7809,466571,262041,Bearish Reversal
2024-12-10,324332,48746,   16721,     871,483346,275586,Bullish
2024-12-03,307611,47875,    4210,   -5188,462040,259736,Bullish Reversal
2024-11-26,303401,53063,   -5953,  -21924,472660,250338,Bullish Reversal
2024-11-19,309354,74987,   -6871,   -4787,502952,234367,Bearish Reversal
2024-11-12,316225,79774,  -20591,   -1713,535981,236451,Bearish Reversal
2024-11-05,336816,81487,  -29820,   -6496,558034,255329,Bearish Reversal
2024-10-29,366636,87983,   -5177,   12374,579468,278653,Bearish
2024-10-22,371813,75609,   14319,    4549,573760,296204,Bullish
2024-10-15,357494,71060,    8603,     349,541232,286434,Bullish
2024-10-08,348891,70711,  -21160,     591,520316,278180,Bearish Reversal
2024-10-01,370051,70120,  -17521,   -2062,533107,299931,Bearish Reversal
2024-09-24,387572,72182,   17838,   12514,564640,315390,Bullish
2024-09-17,369734,59668,   29728,    2163,537627,310066,Bullish
2024-09-10,340006,57505,     849,    5906,511501,282501,Bearish
2024-09-03,339157,51599,   -4173,    2714,511136,287558,Bearish Reversal
2024-08-27,343330,48885,  -12221,  -15413,521759,294445,Bullish Reversal
2024-08-20,355551,64298,   26782,    2793,532867,291253,Bullish
2024-08-13,328769,61505,   30650,    2135,505872,267264,Bullish
2024-08-06,298119,59370,  -15245,   -7393,480645,238749,Bearish Reversal
2024-07-30,313364,66763,  -28236,   -1763,510914,246601,Bearish Reversal
2024-07-23,341600,68526,   -8227,    3723,572306,273074,Bearish Reversal
2024-07-16,349827,64803,   46784,   16535,579862,285024,Bullish
2024-07-09,303043,48268,   22926,    9694,516324,254775,Bullish
2024-07-02,280117,38574,   -4768,     -82,454730,241543,Bearish
2024-06-25,284885,38656,   -2262,   -5407,452190,246229,Bullish
2024-06-18,287147,44063,   10378,    1220,444345,243084,Bullish
2024-06-11,276769,42843,   -7797,   -4421,436857,233926,Bearish Reversal
2024-06-04,284566,47264,   -2171,   -2888,447488,237302,Bullish Reversal
2024-05-28,286737,50152,  -13992,  -20771,485430,236585,Bullish Reversal
2024-05-21,300729,70923,   23087,   -2223,530591,229806,Bullish
2024-05-14,277642,73146,    5498,     569,522952,204496,Bullish Reversal
2024-05-07,272144,72577,   -6706,   -2063,529835,199567,Bearish
2024-04-30,278850,74640,    -685,   -2004,519791,204210,Bullish
2024-04-23,279535,76644,     758,    -210,516249,202891,Bullish Reversal
2024-04-16,278777,76854,   -1022,    -526,517193,201923,Bearish
2024-04-09,279799,77380,   -1600,    3231,505214,202419,Bearish
2024-04-02,281399,74149,   15752,    7796,500045,207250,Bullish Reversal
2024-03-26,265647,66353,  -13085,  -10777,503642,199294,Bearish Reversal
2024-03-19,278732,77130,   -4330,   -4330,535047,201602,No signal
2024-03-12,283062,81460,   18914,    8605,516057,201602,Bullish
2024-03-05,264148,72855,   49200,    -457,471616,191293,Bullish
2024-02-27,214948,73312,    3914,    2540,411195,141636,Bullish
2024-02-20,211034,70772,   -6471,  -15565,407063,140262,Bullish Reversal
2024-02-13,217505,86337,  -11118,   19452,420812,131168,Bearish
2024-02-06,228623,66885,    9401,   -4546,419121,161738,Bullish Reversal
2024-01-30,219222,71431,  -21878,    -195,430328,147791,Bearish Reversal
2024-01-23,241100,71626,  -21260,  -10841,465872,169474,Bearish Reversal
2024-01-16,262360,82467,   -9305,    -584,489334,179893,Bearish Reversal
2024-01-09,271665,83051,  -19041,      -6,489849,188614,Bearish Reversal
2024-01-02,290706,83057,     863,     932,500364,207649,Bearish
2023-12-26,289843,82125,    8871,    2492,491343,207718,Bullish
2023-12-19,280972,79633,    7436,   -5670,481203,201339,Bullish
2023-12-12,273536,85303,  -15304,       7,469939,188233,Bearish Reversal
2023-12-05,288840,85296,   -1005,   -4465,487469,203544,Bullish Reversal
2023-11-28,289845,89761,   20144,   -8235,505658,200084,Bullish Reversal
2023-11-21,269701,97996,   15349,    -980,508429,171705,Bullish
2023-11-14,254352,98976,   -7301,    3539,486634,155376,Bearish
2023-11-07,261653,95437,     600,   -2191,484347,166216,Bullish
2023-10-31,261053,97628,    9584,   -4456,475808,163425,Bullish
2023-10-24,251469,102084,   20057,  -16590,463476,149385,Bullish
2023-10-17,231412,118674,   11080,  -30225,439581,112738,Bullish
2023-10-10,220332,148899,   -8074,   11719,436499,71433,Bearish
2023-10-03,228406,137180,   -7154,   17435,431226,91226,Bearish Reversal
2023-09-26,235560,119745,   -2156,   17192,435620,115815,Bearish Reversal
2023-09-19,237716,102553,    2012,   -9287,438078,135163,Bullish Reversal
2023-09-12,235704,111840,     -98,   14044,441221,123864,Bearish
2023-09-05,235802,97796,    -252,  -14986,438672,138006,Bullish Reversal
2023-08-29,236054,112782,    9714,  -11612,442806,123272,Bullish
2023-08-22,226340,124394,   -6738,   12452,430239,101946,Bearish Reversal
2023-08-15,233078,111942,    4232,   26081,433611,121136,Bearish
2023-08-08,228846,85861,  -10139,   11800,427759,142985,Bearish Reversal
2023-08-01,238985,74061,   -9244,    -529,439383,164924,Bearish Reversal
2023-07-25,248229,74590,  -15511,    4198,476176,173639,Bearish Reversal
2023-07-18,263740,70392,   23194,   -4400,482104,193348,Bullish Reversal
2023-07-11,240546,74792,    5465,    2808,483170,165754,Bullish
2023-07-03,235081,71984,   14200,    3013,448063,163097,Bullish
2023-06-27,220881,68971,   -8427,    2638,431861,151910,Bearish Reversal
2023-06-20,229308,66333,    1991,    -775,438037,162975,Bullish
2023-06-13,227317,67108,  -10150,    5282,432898,160209,Bearish Reversal
2023-06-06,237467,61826,     161,   -6164,436301,175641,Bullish Reversal
2023-05-30,237306,67990,    1157,   -7427,449515,169316,Bullish Reversal
2023-05-23,236149,75417,  -19101,     -19,479080,160732,Bearish Reversal
2023-05-16,255250,75436,  -11222,    4778,521832,179814,Bearish
2023-05-09,266472,70658,    4059,    3812,518951,195814,Bullish
2023-05-02,262413,66846,    9227,   -1076,493804,195567,Bullish
2023-04-25,253186,67922,   -6875,   -2246,473209,185264,Bearish Reversal
2023-04-18,260061,70168,    -104,    2748,482254,189893,Bearish
2023-04-11,260165,67420,   -5999,   -3528,476567,192745,Bearish Reversal
2023-04-04,266164,70948,   21029,    7443,476592,195216,Bullish Reversal
2023-03-28,245135,63505,    7244,  -15781,478611,181630,Bullish
2023-03-21,237891,79286,    7068,  -11206,469874,158605,Bullish
2023-03-14,230823,90492,   15249,  -26608,459064,140331,Bullish
2023-03-07,215574,117100,    7155,   17274,458474,98474,Bearish
2023-02-28,208419,99826,   -1766,   -3258,426890,108593,Bullish
2023-02-21,210185,103084,    -189,   -1761,422648,107101,Bullish Reversal
2023-02-14,210374,104845,  -12924,   10362,426116,105529,Bearish Reversal
2023-02-07,223298,94483,  -33119,   -1653,439755,128815,Bearish Reversal
2023-01-31,256417,96136,    3106,     498,471642,160281,Bullish Reversal
2023-01-24,253311,95638,    6437,    2004,499927,157673,Bullish
2023-01-17,246874,93634,    3308,     603,491818,153240,Bullish
2023-01-10,243566,93031,   12765,    3896,481519,150535,Bullish
2023-01-03,230801,89135,    1276,   -3510,449393,141666,Bullish
2022-12-27,229525,92645,    3389,   -4643,440040,136880,Bullish
2022-12-20,226136,97288,    1727,   -1472,436653,128848,Bullish Reversal
2022-12-13,224409,98760,   12937,    2413,437040,125649,Bullish
2022-12-06,211472,96347,    2311,   -2811,422100,115125,Bullish Reversal
2022-11-29,209161,99158,   -5123,     987,433661,110003,Bearish Reversal
2022-11-22,214284,98171,  -12998,   -2842,449542,116113,Bearish Reversal
2022-11-15,227282,101013,    4147,  -39784,495171,126269,Bullish
2022-11-08,223135,140797,    6794,  -10921,488471,82338,Bullish
2022-11-01,216341,151718,    3488,    6897,467276,64623,Bearish
2022-10-25,212853,144821,    1963,   10887,456072,68032,Bearish
2022-10-18,210890,133934,   -1671,   15793,434701,76956,Bearish
2022-10-11,212561,118141,   -3403,   -9438,431395,94420,Bullish Reversal
2022-10-04,215964,127579,    8810,  -27494,437065,88385,Bullish Reversal
2022-09-27,207154,155073,   -7403,    6238,457061,52081,Bearish Reversal
2022-09-20,214557,148835,  -11375,   20247,469395,65722,Bearish
2022-09-13,225932,128588,   -5595,     918,463674,97344,Bearish Reversal
2022-09-06,231527,127670,   -3787,   10090,465908,103857,Bearish
2022-08-30,235314,117580,   -2113,    6000,459165,117734,Bearish
2022-08-23,237427,111580,    -769,   14548,457762,125847,Bearish
2022-08-16,238196,97032,   -4710,   -3023,453960,141164,Bearish
2022-08-09,242906,100055,     778,  -17747,453540,142851,Bullish Reversal
2022-08-02,242128,117802,     467,  -31169,459649,124326,Bullish Reversal
2022-07-26,241661,148971,     657,    2922,487515,92690,Bearish Reversal
2022-07-19,241004,146049,  -10122,   13044,524786,94955,Bearish Reversal
2022-07-12,251126,133005,  -16680,   10859,542493,118121,Bearish
2022-07-05,267806,122146,    -906,   11127,498210,145660,Bearish
2022-06-28,268712,111019,     593,    6187,497005,157693,Bearish Reversal
2022-06-21,268119,104832,    1523,   -7166,500276,163287,Bullish
2022-06-14,266596,111998,   -3760,   16910,497456,154598,Bearish
2022-06-07,270356,95088,     897,   -1782,494130,175268,Bullish Reversal
2022-05-31,269459,96870,  -12743,   -1519,513722,172589,Bearish Reversal
2022-05-24,282202,98389,    -809,   -9262,530098,183813,Bullish Reversal
2022-05-17,283011,107651,   -5936,   12019,555756,175360,Bearish Reversal
2022-05-10,288947,95632,   -4492,    1361,571447,193315,Bearish
2022-05-03,293439,94271,  -17072,    1784,560441,199168,Bearish
2022-04-26,310511,92487,  -20234,    1499,557785,218024,Bearish Reversal
2022-04-19,330745,90988,   -7419,    7111,575202,239757,Bearish Reversal
2022-04-12,338164,83877,   13594,    4848,577639,254287,Bullish
2022-04-05,324570,79029,   -3062,    8993,560666,245541,Bearish Reversal
2022-03-29,327632,70036,   -1028,  -10592,574521,257596,Bullish Reversal
2022-03-22,328660,80628,  -18071,   -4315,605191,248032,Bearish Reversal
2022-03-15,346731,84943,  -17887,   -5287,617605,261788,Bearish Reversal
2022-03-08,364618,90230,   10441,   -6325,638502,274388,Bullish
2022-03-01,354177,96555,    4081,  -10393,615600,257622,Bullish
2022-02-22,350096,106948,   36827,    7292,611488,243148,Bullish
2022-02-15,313269,99656,   33710,    6803,558645,213613,Bullish
2022-02-08,279559,92853,    3565,  -10999,512842,186706,Bullish Reversal
2022-02-01,275994,103852,  -37421,   10588,515331,172142,Bearish Reversal
2022-01-25,313415,93264,   22887,   -3057,572078,220151,Bullish
2022-01-18,290528,96321,     426,    5956,539204,194207,Bearish Reversal
2022-01-11,290102,90365,   -6481,    5137,546516,199737,Bearish
2022-01-04,296583,85228,   -7296,   -5495,502717,211355,Bearish Reversal
2021-12-28,303879,90723,    7251,     -94,508912,213156,Bullish
2021-12-21,296628,90817,   -1514,   -4924,500846,205811,Bullish Reversal
2021-12-14,298142,95741,   -2376,   12408,503709,202401,Bearish
2021-12-07,300518,83333,   -9735,   -1060,499307,217185,Bearish Reversal
2021-11-30,310253,84393,  -16156,   -7605,531868,225860,Bearish Reversal
2021-11-23,326409,91998,  -34120,   -8751,559823,234411,Bearish Reversal
2021-11-16,360529,100749,   19418,    9819,612612,259780,Bullish
2021-11-09,341111,90930,   30020,   -5032,571025,250181,Bullish
2021-11-02,311091,95962,   -2555,   -3124,507616,215129,Bullish Reversal
2021-10-26,313646,99086,   13764,   -7447,509794,214560,Bullish
2021-10-19,299882,106533,    1379,   -6431,485974,193349,Bullish
2021-10-12,298503,112964,    2564,    -393,484382,185539,Bullish
2021-10-05,295939,113357,    2125,  -12058,483789,182582,Bullish Reversal
2021-09-28,293814,125415,   -2856,   16392,490858,168399,Bearish Reversal
2021-09-21,296670,109023,  -10318,    9795,492765,187647,Bearish Reversal
2021-09-14,306988,99228,     971,    -750,506356,207760,Bullish Reversal
2021-09-07,306017,99978,   -4987,    5524,506772,206039,Bearish Reversal
2021-08-31,311004,94454,   11920,    6023,507113,216550,Bullish
2021-08-24,299084,88431,   14647,   -4464,504735,210653,Bullish
2021-08-17,284437,92895,    7177,  -15959,485485,191542,Bullish
2021-08-10,277260,108854,    4117,   32046,477232,168406,Bearish Reversal
2021-08-03,273143,76808,    -545,    2508,485663,196335,Bearish Reversal
2021-07-27,273688,74300,   -3624,   -7040,500187,199388,Bullish
2021-07-20,277312,81340,    1769,   -3367,490520,195972,Bullish Reversal
2021-07-13,275543,84707,    4998,   -3017,495798,190836,Bullish
2021-07-06,270545,87724,   16339,   -4256,465811,182821,Bullish
2021-06-29,254206,91980,    1053,    5041,453360,162226,Bearish Reversal
2021-06-22,253153,86939,  -20794,    5028,453940,166214,Bearish Reversal
2021-06-15,273947,81911,  -14834,    2517,480127,192036,Bearish Reversal
2021-06-08,288781,79394,     -45,    4269,491858,209387,Bearish
2021-06-01,288826,75125,     560,    1501,489198,213701,Bearish Reversal
2021-05-25,288266,73624,   -2001,  -17754,510164,214642,Bullish Reversal
2021-05-18,290267,91378,    8106,    1472,520410,198889,Bullish
2021-05-11,282161,89906,   11967,   -9547,498693,192255,Bullish
2021-05-04,270194,99453,    -523,    -645,470341,170741,Bullish Reversal
2021-04-27,270717,100098,   -5268,    5611,473305,170619,Bearish
2021-04-20,275985,94487,    6472,    5848,471738,181498,Bullish
2021-04-13,269513,88639,   -6190,    2445,460733,180874,Bearish Reversal
2021-04-06,275703,86194,   12250,   -9731,463353,189509,Bullish Reversal
2021-03-30,263453,95925,     679,    7218,467321,167528,Bearish Reversal
2021-03-23,262774,88707,    6537,   12666,485457,174067,Bearish
2021-03-16,256237,76041,    1398,   -3635,476467,180196,Bullish
2021-03-09,254839,79676,  -10694,    3781,473871,175163,Bearish
2021-03-02,265533,75895,  -18548,    7547,467008,189638,Bearish Reversal
2021-02-23,284081,68348,  -19502,    -266,481125,215733,Bearish Reversal
2021-02-16,303583,68614,   -5743,   10695,503016,234969,Bearish Reversal
2021-02-09,309326,57919,   -5026,     693,506741,251407,Bearish Reversal
2021-02-02,314352,57226,     820,    1240,520011,257126,Bearish Reversal
2021-01-26,313532,55986,    6025,   -4883,534574,257546,Bullish Reversal
2021-01-19,307507,60869,   -5710,   -6121,541330,246638,Bullish Reversal
2021-01-12,313217,66990,  -36729,   -3638,555538,246227,Bearish Reversal
2021-01-05,349946,70628,    8134,   -2312,568888,279318,Bullish
2020-12-29,341812,72940,   -8058,    1266,556414,268872,Bearish Reversal
2020-12-21,349870,71674,    9260,    2648,560769,278196,Bullish
2020-12-15,340610,69026,    2339,     -25,550366,271584,Bullish
2020-12-08,338271,69051,   13927,    5021,549520,269220,Bullish
2020-12-01,324344,64030,    4020,  -12392,538042,260314,Bullish Reversal
2020-11-24,320324,76422,   -9374,   -2006,555253,243902,Bearish Reversal
2020-11-17,329698,78428,   11182,    -352,557533,251270,Bullish
2020-11-10,318516,78780,   -3282,    -109,547449,239736,Bearish
2020-11-03,321798,78889,   -4265,    1460,544774,242909,Bearish Reversal
2020-10-27,326063,77429,  -14143,  -13173,560900,248634,Bearish Reversal
2020-10-20,340206,90602,   13220,    4287,562993,249604,Bullish
2020-10-13,326986,86315,    6064,   13980,553197,240671,Bearish Reversal
2020-10-06,320922,72335,    4816,    -112,555555,248587,Bullish Reversal
2020-09-29,316106,72447,    7091,  -17508,562396,243659,Bullish Reversal
2020-09-22,309015,89955,  -15497,    6420,575877,219060,Bearish Reversal
2020-09-15,324512,83535,   11339,    6835,578925,240977,Bullish
2020-09-08,313173,76700,    7055,    1378,557457,236473,Bullish
2020-09-01,306118,75322,    4559,   -5199,547704,230796,Bullish Reversal
2020-08-25,301559,80521,    -810,    1670,549282,221038,Bearish
2020-08-18,302369,78851,   -4498,   -3963,544010,223518,Bearish Reversal
2020-08-11,306867,82814,  -14980,    -287,553345,224053,Bearish Reversal
2020-08-04,321847,83101,    9259,    7314,561837,238746,Bullish Reversal
2020-07-28,312588,75787,  -21649,    7986,598629,236801,Bearish Reversal
2020-07-21,334237,67801,    4032,      24,603138,266436,Bullish
2020-07-14,330205,67777,   -6825,   -1895,580175,262428,Bearish
2020-07-07,337030,69672,    8088,    7400,572776,267358,Bullish
2020-06-30,328942,62272,   20483,    5770,561628,266670,Bullish
2020-06-23,308459,56502,   31064,    3455,532101,251957,Bullish
2020-06-16,277395,53047,   13423,   -2312,489563,224348,Bullish
2020-06-09,263972,55359,   -8224,    2197,475661,208613,Bearish Reversal
2020-06-02,272196,53162,  -15952,    2928,475745,219034,Bearish Reversal
2020-05-26,288148,50234,   -7246,    6628,519374,237914,Bearish Reversal
2020-05-19,295394,43606,   17623,    8663,528205,251788,Bullish
2020-05-12,277771,34943,    2200,    9376,496739,242828,Bearish
2020-05-05,275571,25567,  -11811,     914,490343,250004,Bearish Reversal
2020-04-28,287382,24653,    5119,   -8039,500816,262729,Bullish
2020-04-21,282263,32692,   -4354,   -1424,493158,249571,Bearish
2020-04-14,286617,34116,    6737,    3178,489965,252501,Bullish
2020-04-07,279880,30938,   -7649,    2258,480050,248942,Bearish Reversal
2020-03-31,287529,28680,  -30399,    -882,495652,258849,Bearish Reversal
2020-03-24,317928,29562,     523,   -5927,547334,288366,Bullish Reversal
2020-03-17,317405,35489,  -18885,   -1270,573925,281916,Bearish Reversal
2020-03-10,336290,36759,  -29883,   -9681,633470,299531,Bearish Reversal
2020-03-03,366173,46440,  -23166,   -7034,691985,319733,Bearish Reversal
2020-02-25,389339,53474,  -19010,   -1226,732917,335865,Bearish
2020-02-18,408349,54700,   51814,    6139,715317,353649,Bullish
2020-02-11,356535,48561,     626,   -7542,658024,307974,Bullish
2020-02-04,355909,56103,  -20492,    9794,654572,299806,Bearish Reversal
2020-01-28,376401,46309,    1608,  -10789,715539,330092,Bullish Reversal
2020-01-21,374793,57098,   -2016,    -476,793829,317695,Bearish Reversal
2020-01-14,376809,57574,   -6671,   -3615,796883,319235,Bearish
2020-01-07,383480,61189,    1860,    7494,785857,322291,Bearish Reversal
2019-12-31,381620,53695,   17310,   -4963,786166,327925,Bullish
2019-12-24,364310,58658,   19817,     440,748737,305652,Bullish
2019-12-17,344493,58218,   15324,     -31,716987,286275,Bullish
2019-12-10,329169,58249,  -17356,    2429,690003,270920,Bearish Reversal
2019-12-03,346525,55820,   21239,    2168,701016,290705,Bullish
2019-11-26,325286,53652,  -12010,    2215,669268,271634,Bearish Reversal
2019-11-19,337296,51437,   14107,   -4686,719211,285859,Bullish
2019-11-12,323189,56123,  -21402,   -8640,708463,267066,Bearish
2019-11-05,344591,64763,    9168,    5855,690181,279828,Bullish
2019-10-29,335423,58908,   12506,   -4877,643442,276515,Bullish
2019-10-22,322917,63785,    3547,   -2558,625528,259132,Bullish
2019-10-15,319370,66343,  -15013,    7523,607387,253027,Bearish Reversal
2019-10-08,334383,58820,   11583,    5013,616957,275563,Bullish
2019-10-01,322800,53807,  -47593,   -4142,604885,268993,Bearish Reversal
2019-09-24,370393,57949,   28882,    -963,658944,312444,Bullish
2019-09-17,341511,58912,    7397,   -5477,630990,282599,Bullish
2019-09-10,334114,64389,  -31271,    -449,614753,269725,Bearish Reversal
2019-09-03,365385,64838,    2776,    -933,634358,300547,Bullish Reversal
2019-08-27,362609,65771,   10315,   13470,636183,296838,Bearish
2019-08-20,352294,52301,    6071,   -3832,594807,299993,Bullish
2019-08-13,346223,56133,   -4335,   -1880,593962,290090,Bearish Reversal
2019-08-06,350558,58013,   38344,     187,600317,292545,Bullish
2019-07-30,312214,57826,     333,   -2805,563298,254388,Bullish Reversal
2019-07-23,311881,60631,    2346,   -3403,616859,251250,Bullish
2019-07-16,309535,64034,    3430,    2692,601900,245501,Bullish
2019-07-09,306105,61342,   -6597,    7586,598977,244763,Bearish Reversal
2019-07-02,312702,53756,   14594,   -7798,605949,258946,Bullish
2019-06-25,298108,61554,   23475,   -8756,577605,236554,Bullish
2019-06-18,274633,70310,   24519,    4434,525636,204323,Bullish
2019-06-11,250114,65876,    9637,  -18486,496663,184238,Bullish
2019-06-04,240477,84362,   46014,  -23413,481495,156115,Bullish Reversal
2019-05-28,194463,107775,   -9165,   -7048,505126,86688,Bearish Reversal
2019-05-21,203628,114823,  -22733,   12998,508643,88805,Bearish Reversal
2019-05-14,226361,101825,   40560,   -8565,517995,124536,Bullish
2019-05-07,185801,110390,    8526,    -666,450039,75411,Bullish
2019-04-30,177275,111056,     584,  -28240,430011,66219,Bullish Reversal
2019-04-23,176691,139296,   -6522,   12356,440048,37395,Bearish Reversal
2019-04-16,183213,126940,  -16294,   32797,440581,56273,Bearish Reversal
2019-04-09,199507,94143,    5723,   -5085,447539,105364,Bullish
2019-04-02,193784,99228,  -21113,    4269,440170,94556,Bearish Reversal
2019-03-26,214897,94959,   10572,  -20970,509575,119938,Bullish Reversal
2019-03-19,204325,115929,    -925,  -10502,514163,88396,Bullish Reversal
2019-03-12,205250,126431,    2622,   11821,530030,78819,Bearish
2019-03-05,202628,114610,  -34207,   13471,471311,88018,Bearish Reversal
2019-02-26,236835,101139,  -17251,   -7300,501268,135696,Bearish Reversal
2019-02-19,254086,108439,   39916,    -857,504639,145647,Bullish
2019-02-12,214170,109296,   -4030,     191,476083,104874,Bearish Reversal
2019-02-05,218200,109105,    5882,   -3620,479736,109095,Bullish Reversal
2019-01-29,212318,112725,   25808,     719,483390,99593,Bullish Reversal
2019-01-22,186510,112006,  -15286,   -1877,513509,74504,Bearish
2019-01-15,201796,113883,    2236,   13539,501605,87913,Bearish
2019-01-08,199560,100344,  -10581,   13975,455232,99216,Bearish
2018-12-31,210141,86369,    1519,  -11268,451360,123772,Bullish
2018-12-24,208622,97637,   26454,   -8571,442727,110985,Bullish
2018-12-18,182168,106208,   12568,   -2893,412485,75960,Bullish
2018-12-11,169600,109101,   -3419,  -14917,402250,60499,Bullish
2018-12-04,173019,124018,   16240,  -30890,399919,49001,Bullish Reversal
2018-11-27,156779,154908,   -8727,   -1702,442801,1871,Bearish Reversal
2018-11-20,165506,156610,   -2910,  -21053,525940,8896,Bullish Reversal
2018-11-13,168416,177663,    -725,   27548,539520,-9247,Bearish
2018-11-06,169141,150115,     387,   -5445,494911,19026,Bullish
2018-10-30,168754,155560,  -23824,   -7630,474941,13194,Bearish Reversal
2018-10-23,192578,163190,    3378,   -8343,477832,29388,Bullish
2018-10-16,189200,171533,    9454,  -46388,474418,17667,Bullish
2018-10-09,179746,217921,  -12744,    3609,465253,-38175,Bearish
2018-10-02,192490,214312,    -450,    3724,459776,-21822,Bearish Reversal
2018-09-25,192940,210588,   -4857,    1947,460279,-17648,Bearish Reversal
2018-09-18,197797,208641,    -570,    2684,469436,-10844,Bearish Reversal
2018-09-11,198367,205957,   -1395,   -7302,469450,-7590,Bullish Reversal
