As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2025-07-15,16262,19927,      54,    -267,35177,-3665,Bullish
2025-07-08,16208,20194,    -665,    -961,35076,-3986,Bullish Reversal
2025-07-01,16873,21155,    3590,    1838,36286,-4282,Bullish
2025-06-24,13283,19317,      68,    3134,31225,-6034,Bearish
2025-06-17,13215,16183,   -3812,     558,30721,-2968,Bearish
2025-06-10,17027,15625,    1279,     494,30659,1402,Bullish
2025-06-03,15748,15131,   -2658,   -3361,28007,617,Bullish Reversal
2025-05-27,18406,18492,     823,     363,30979,-86,Bullish
2025-05-20,17583,18129,    2044,    1975,30189,-546,Bullish
2025-05-13,15539,16154,   -5712,   -6205,27982,-615,Bullish Reversal
2025-05-06,21251,22359,    2158,    2817,35412,-1108,Bearish
2025-04-29,19093,19542,     397,    -128,32830,-449,Bullish Reversal
2025-04-22,18696,19670,    2974,    5776,32880,-974,Bearish
2025-04-15,15722,13894,     235,    1320,27224,1828,Bearish
2025-04-08,15487,12574,   -8153,   -4025,22770,2913,Bearish Reversal
2025-04-01,23640,16599,     941,    1368,29279,7041,Bearish
2025-03-25,22699,15231,    -958,   -1238,29219,7468,Bullish Reversal
2025-03-18,23657,16469,   -4312,    5335,29600,7188,Bearish Reversal
2025-03-11,27969,11134,     184,   -1913,39865,16835,Bullish
2025-03-04,27785,13047,    1879,    2873,39075,14738,Bearish
2025-02-25,25906,10174,    -823,     213,38062,15732,Bearish Reversal
2025-02-18,26729,9961,     468,   -1004,38459,16768,Bullish Reversal
2025-02-11,26261,10965,    1058,     301,39291,15296,Bullish Reversal
2025-02-04,25203,10664,    -169,    -508,39705,14539,Bullish Reversal
2025-01-28,25372,11172,   -3439,   -2767,40991,14200,Bearish Reversal
2025-01-21,28811,13939,    -701,   -2844,45714,14872,Bullish Reversal
2025-01-14,29512,16783,    1554,   -2530,45758,12729,Bullish
2025-01-07,27958,19313,    1360,    -408,44874,8645,Bullish
2024-12-31,26598,19721,   -1941,   -2326,42976,6877,Bullish Reversal
2024-12-24,28539,22047,    3394,    2543,44472,6492,Bullish
2024-12-17,25145,19504,    2262,   -6603,41281,5641,Bullish
2024-12-10,22883,26107,     980,    1150,40825,-3224,Bearish
2024-12-03,21903,24957,   -1057,    -802,37510,-3054,Bearish Reversal
2024-11-26,22960,25759,     347,     433,37797,-2799,Bearish
2024-11-19,22613,25326,    -345,      56,37320,-2713,Bearish
2024-11-12,22958,25270,    2626,    5033,36875,-2312,Bearish
2024-11-05,20332,20237,   -1493,      96,30825,95,Bearish Reversal
2024-10-29,21825,20141,    1707,     934,32536,1684,Bullish
2024-10-22,20118,19207,    4766,    1755,29942,911,Bullish
2024-10-15,15352,17452,     336,     547,24171,-2100,Bearish Reversal
2024-10-08,15016,16905,    1187,    3230,25635,-1889,Bearish Reversal
2024-10-01,13829,13675,   -2695,   -1890,26321,154,Bearish Reversal
2024-09-24,16524,15565,     627,    1466,27029,959,Bearish
2024-09-17,15897,14099,  -16219,    2193,24759,1798,Bearish Reversal
2024-09-10,32116,11906,   -2609,   -3390,48653,20210,Bullish
2024-09-03,34725,15296,   -2652,   -3168,48563,19429,Bullish Reversal
2024-08-27,37377,18464,    1925,     603,51056,18913,Bullish
2024-08-20,35452,17861,    1766,    2711,48713,17591,Bearish
2024-08-13,33686,15150,    2690,     290,45236,18536,Bullish
2024-08-06,30996,14860,    1023,    1845,42026,16136,Bearish
2024-07-30,29973,13015,    -223,    1039,39266,16958,Bearish
2024-07-23,30196,11976,    -131,     199,38818,18220,Bearish
2024-07-16,30327,11777,    -260,   -2602,38651,18550,Bullish Reversal
2024-07-09,30587,14379,   -2189,   -1815,43263,16208,Bearish Reversal
2024-07-02,32776,16194,     829,    1769,45627,16582,Bearish
2024-06-25,31947,14425,    1742,    1815,43147,17522,Bearish
2024-06-18,30205,12610,    3747,   -8835,40237,17595,Bullish
2024-06-11,26458,21445,    -345,    -471,38327,5013,Bullish Reversal
2024-06-04,26803,21916,   -1522,   -2235,38645,4887,Bullish Reversal
2024-05-28,28325,24151,      33,    -623,40108,4174,Bullish
2024-05-21,28292,24774,   -1390,   -2473,39920,3518,Bullish Reversal
2024-05-14,29682,27247,     801,     219,42817,2435,Bullish Reversal
2024-05-07,28881,27028,   -4712,   -6600,42962,1853,Bullish Reversal
2024-04-30,33593,33628,    2246,    2068,48784,-35,Bullish
2024-04-23,31347,31560,    1436,     720,45725,-213,Bullish
2024-04-16,29911,30840,    3178,    2965,44069,-929,Bullish
2024-04-09,26733,27875,    3052,    2298,40448,-1142,Bullish
2024-04-02,23681,25577,    4467,    5734,38130,-1896,Bearish
2024-03-26,19214,19843,    3641,    4949,31997,-629,Bearish
2024-03-19,15573,14894,   -1974,    3533,23819,679,Bearish Reversal
2024-03-12,17547,11361,    -219,   -3306,26365,6186,Bullish Reversal
2024-03-05,17766,14667,   -1061,   -2077,28450,3099,Bullish Reversal
2024-02-27,18827,16744,      95,    -442,29549,2083,Bullish Reversal
2024-02-20,18732,17186,   -2364,   -1908,29958,1546,Bearish Reversal
2024-02-13,21096,19094,    2622,    2159,32227,2002,Bullish
2024-02-06,18474,16935,    1236,      69,29202,1539,Bullish
2024-01-30,17238,16866,     712,    1987,25739,372,Bearish
2024-01-23,16526,14879,    1449,    1102,24663,1647,Bullish
2024-01-16,15077,13777,    -964,     646,23501,1300,Bearish Reversal
2024-01-09,16041,13131,     100,    -387,23878,2910,Bullish Reversal
2024-01-02,15941,13518,     894,    1608,23916,2423,Bearish
2023-12-26,15047,11910,    -805,       0,22039,3137,Bearish
2023-12-19,15852,11910,  -12248,    1411,21734,3942,Bearish Reversal
2023-12-12,28100,10499,     -99,    2244,41345,17601,Bearish
2023-12-05,28199,8255,    -599,   -1456,40451,19944,Bullish
2023-11-28,28798,9711,     255,    1865,39359,19087,Bearish
2023-11-21,28543,7846,    1272,     309,37894,20697,Bullish Reversal
2023-11-14,27271,7537,    -595,    -858,38842,19734,Bullish Reversal
2023-11-07,27866,8395,     295,    -191,41224,19471,Bullish Reversal
2023-10-31,27571,8586,    -559,     127,42803,18985,Bearish
2023-10-24,28130,8459,    -404,    -908,42670,19671,Bullish Reversal
2023-10-17,28534,9367,     960,    1270,43051,19167,Bearish
2023-10-10,27574,8097,    -483,   -1145,41288,19477,Bullish Reversal
2023-10-03,28057,9242,    1451,    -606,42340,18815,Bullish Reversal
2023-09-26,26606,9848,    2024,     900,42373,16758,Bullish
2023-09-19,24582,8948,    -563,  -10126,39249,15634,Bullish Reversal
2023-09-12,25145,19074,    2264,    -448,40982,6071,Bullish
2023-09-05,22881,19522,      -1,    -537,36579,3359,Bullish Reversal
2023-08-29,22882,20059,    -446,    1320,36732,2823,Bearish
2023-08-22,23328,18739,    3711,    4113,33938,4589,Bearish
2023-08-15,19617,14626,    2370,       3,26954,4991,Bullish Reversal
2023-08-08,17247,14623,   -1247,    -756,28930,2624,Bearish Reversal
2023-08-01,18494,15379,   -2764,     175,31435,3115,Bearish Reversal
2023-07-25,21258,15204,   -6152,   -1139,34514,6054,Bearish Reversal
2023-07-18,27410,16343,    6669,    7613,41045,11067,Bearish
2023-07-11,20741,8730,     474,    2780,28925,12011,Bearish
2023-07-03,20267,5950,    -998,    -347,26619,14317,Bearish Reversal
2023-06-27,21265,6297,     293,     186,27691,14968,Bullish
2023-06-20,20972,6111,   -1444,   -2307,27306,14861,Bullish Reversal
2023-06-13,22416,8418,   -2375,   -4154,32050,13998,Bullish Reversal
2023-06-06,24791,12572,     864,    1413,33930,12219,Bearish
2023-05-30,23927,11159,    1733,     205,32373,12768,Bullish
2023-05-23,22194,10954,    1525,    -201,30203,11240,Bullish Reversal
2023-05-16,20669,11155,    -987,     655,30880,9514,Bearish Reversal
2023-05-09,21656,10500,   -1332,   -1138,32175,11156,Bearish Reversal
2023-05-02,22988,11638,   -1161,   -1772,32774,11350,Bullish Reversal
2023-04-25,24149,13410,   -1043,   -1269,34441,10739,Bullish Reversal
2023-04-18,25192,14679,    -898,    1853,34865,10513,Bearish
2023-04-11,26090,12826,     516,    1358,33076,13264,Bearish
2023-04-04,25574,11468,    1022,    -365,32076,14106,Bullish
2023-03-28,24552,11833,   -1706,    -281,31128,12719,Bearish Reversal
2023-03-21,26258,12114,    -188,    -575,33819,14144,Bullish Reversal
2023-03-14,26446,12689,    -219,   -1420,35180,13757,Bullish Reversal
2023-03-07,26665,14109,    -495,   -1175,36943,12556,Bullish Reversal
2023-02-28,27160,15284,     691,    1013,37290,11876,Bearish
2023-02-21,26469,14271,    2485,    2261,36022,12198,Bullish
2023-02-14,23984,12010,     -45,     250,32966,11974,Bearish Reversal
2023-02-07,24029,11760,   -5192,    -924,33546,12269,Bearish Reversal
2023-01-31,29221,12684,   -4070,   -5444,38140,16537,Bullish Reversal
2023-01-24,33291,18128,    1597,    -208,41233,15163,Bullish
2023-01-17,31694,18336,   -2234,     948,39388,13358,Bearish Reversal
2023-01-10,33928,17388,     757,    1978,42307,16540,Bearish
2023-01-03,33171,15410,      29,    -791,41850,17761,Bullish
2022-12-27,33142,16201,     415,     231,41653,16941,Bullish
2022-12-20,32727,15970,   -6039,    2982,41389,16757,Bearish Reversal
2022-12-13,38766,12988,    2609,    1717,48069,25778,Bullish
2022-12-06,36157,11271,   -1122,   -1116,45115,24886,Bearish Reversal
2022-11-29,37279,12387,   -1031,   -1858,46836,24892,Bullish Reversal
2022-11-22,38310,14245,    -655,    2134,47718,24065,Bearish Reversal
2022-11-15,38965,12111,   -3922,    -583,48382,26854,Bearish Reversal
2022-11-08,42887,12694,     583,     178,56340,30193,Bullish
2022-11-01,42304,12516,   -2694,   -2384,55942,29788,Bearish Reversal
2022-10-25,44998,14900,      42,    2634,59053,30098,Bearish
2022-10-18,44956,12266,    -123,     -27,55234,32690,Bearish
2022-10-11,45079,12293,     630,    -459,54615,32786,Bullish Reversal
2022-10-04,44449,12752,   -2975,   -4110,54638,31697,Bullish Reversal
2022-09-27,47424,16862,    1720,    -911,56046,30562,Bullish
2022-09-20,45704,17773,   -3280,    4458,54292,27931,Bearish Reversal
2022-09-13,48984,13315,   -3623,   -3185,62077,35669,Bearish
2022-09-06,52607,16500,     935,     343,61662,36107,Bullish
2022-08-30,51672,16157,    2361,    1945,60184,35515,Bullish
2022-08-23,49311,14212,   -1471,    1391,57608,35099,Bearish Reversal
2022-08-16,50782,12821,      44,     720,58909,37961,Bearish Reversal
2022-08-09,50738,12101,    2820,    3530,59639,38637,Bearish
2022-08-02,47918,8571,   -3419,   -2231,57054,39347,Bearish Reversal
2022-07-26,51337,10802,    1103,    -363,60456,40535,Bullish
2022-07-19,50234,11165,    -875,   -1590,59214,39069,Bullish Reversal
2022-07-12,51109,12755,   -1818,    -921,59565,38354,Bearish Reversal
2022-07-05,52927,13676,   -1719,    2259,60857,39251,Bearish Reversal
2022-06-28,54646,11417,    3040,    4821,63143,43229,Bearish
2022-06-21,51606,6596,   -1527,   -2061,58543,45010,Bullish Reversal
2022-06-14,53133,8657,   -2327,   -8865,61144,44476,Bullish Reversal
2022-06-07,55460,17522,     601,     201,65163,37938,Bullish
2022-05-31,54859,17321,    1184,    1685,63863,37538,Bearish
2022-05-24,53675,15636,     156,   -1670,61857,38039,Bullish Reversal
2022-05-17,53519,17306,    3655,    2218,61899,36213,Bullish
2022-05-10,49864,15088,    3600,    1895,57556,34776,Bullish
2022-05-03,46264,13193,   -3409,   -2601,54092,33071,Bearish Reversal
2022-04-26,49673,15794,    2988,    1689,56712,33879,Bullish
2022-04-19,46685,14105,    2382,    -561,54524,32580,Bullish Reversal
2022-04-12,44303,14666,    3265,    5480,54836,29637,Bearish
2022-04-05,41038,9186,   -3932,   -4843,49049,31852,Bullish Reversal
2022-03-29,44970,14029,    1409,     103,53967,30941,Bullish
2022-03-22,43561,13926,    3794,    2539,51952,29635,Bullish
2022-03-15,39767,11387,   -6264,    -600,47574,28380,Bearish Reversal
2022-03-08,46031,11987,    2270,    3000,62447,34044,Bearish
2022-03-01,43761,8987,      35,    1345,56651,34774,Bearish
2022-02-22,43726,7642,    1377,     679,54922,36084,Bullish
2022-02-15,42349,6963,    1979,     358,54283,35386,Bullish
2022-02-08,40370,6605,   -3527,   -2721,53603,33765,Bearish Reversal
2022-02-01,43897,9326,    2125,    4415,56477,34571,Bearish
2022-01-25,41772,4911,    -597,   -1024,52328,36861,Bullish Reversal
2022-01-18,42369,5935,   -3503,   -2045,53283,36434,Bearish Reversal
2022-01-11,45872,7980,   -1878,    -692,57218,37892,Bearish Reversal
2022-01-04,47750,8672,     581,   -1708,58089,39078,Bullish
2021-12-28,47169,10380,     947,    -727,57892,36789,Bullish
2021-12-21,46222,11107,    3959,      85,56162,35115,Bullish
2021-12-14,42263,11022,    -795,    2829,52098,31241,Bearish Reversal
2021-12-07,43058,8193,    1048,    2062,59994,34865,Bearish
2021-11-30,42010,6131,   -5106,   -5210,52172,35879,Bullish Reversal
2021-11-23,47116,11341,    -843,   -1710,57694,35775,Bullish Reversal
2021-11-16,47959,13051,    1438,    1978,59387,34908,Bearish
2021-11-09,46521,11073,    1126,     660,57713,35448,Bullish Reversal
2021-11-02,45395,10413,     206,    -319,57947,34982,Bullish Reversal
2021-10-26,45189,10732,   -2379,    -902,58993,34457,Bearish Reversal
2021-10-19,47568,11634,   -1826,   -2698,60731,35934,Bullish Reversal
2021-10-12,49394,14332,    4679,    1643,62836,35062,Bullish
2021-10-05,44715,12689,    -339,   -5904,57194,32026,Bullish
2021-09-28,45054,18593,    8171,    6810,55330,26461,Bullish
2021-09-21,36883,11783,    2078,    1251,45934,25100,Bullish
2021-09-14,34805,10532,    1706,   -1102,44386,24273,Bullish Reversal
2021-09-07,33099,11634,   -2803,   -3578,46368,21465,Bullish Reversal
2021-08-31,35902,15212,    -709,   -1037,48837,20690,Bullish
2021-08-24,36611,16249,    1151,       0,48509,20362,Bullish
2021-08-17,35460,16249,    -515,    -400,46576,19211,Bearish
2021-08-10,35975,16649,    2514,    2069,45126,19326,Bullish
2021-08-03,33461,14580,    1703,    -637,43131,18881,Bullish
2021-07-27,31758,15217,    2976,   -1377,43059,16541,Bullish
2021-07-20,28782,16594,    1280,     349,38918,12188,Bullish
2021-07-13,27502,16245,      60,   -3628,37890,11257,Bullish
2021-07-06,27442,19873,    2309,   -5708,37205,7569,Bullish
2021-06-29,25133,25581,     629,     567,34924,-448,Bullish
2021-06-22,24504,25014,   -1114,   -2907,34629,-510,Bullish Reversal
2021-06-15,25618,27921,   -6273,   -2219,37453,-2303,Bearish Reversal
2021-06-08,31891,30140,    1679,    2891,49573,1751,Bearish
2021-06-01,30212,27249,    2724,    2541,48045,2963,Bullish
2021-05-25,27488,24708,     350,     254,43043,2780,Bullish
2021-05-18,27138,24454,      27,    -234,42995,2684,Bullish
2021-05-11,27111,24688,    5095,    4727,41836,2423,Bullish
2021-05-04,22016,19961,   -1836,   -1145,34179,2055,Bearish Reversal
2021-04-27,23852,21106,    -855,     -83,36598,2746,Bearish Reversal
2021-04-20,24707,21189,   -1972,     463,36777,3518,Bearish Reversal
2021-04-13,26679,20726,   -1027,   -2531,39165,5953,Bullish
2021-04-06,27706,23257,   -2807,   -1530,39111,4449,Bearish Reversal
2021-03-30,30513,24787,    2667,    2324,40306,5726,Bullish
2021-03-23,27846,22463,    1271,    1725,36732,5383,Bearish
2021-03-16,26575,20738,    2816,  -11908,35368,5837,Bullish Reversal
2021-03-09,23759,32646,    2992,    1776,41300,-8887,Bullish
2021-03-02,20767,30870,    3175,    -573,37546,-10103,Bullish Reversal
2021-02-23,17592,31443,    1750,    1314,41377,-13851,Bullish
2021-02-16,15842,30129,     -97,     315,35968,-14287,Bearish Reversal
2021-02-09,15939,29814,     -41,    -996,36189,-13875,Bullish Reversal
2021-02-02,15980,30810,     611,     722,36894,-14830,Bearish Reversal
2021-01-26,15369,30088,     -71,     371,37137,-14719,Bearish
2021-01-19,15440,29717,    1492,    1862,36065,-14277,Bearish
2021-01-12,13948,27855,    -941,   -1986,34855,-13907,Bullish Reversal
2021-01-05,14889,29841,     279,     674,37569,-14952,Bearish
2020-12-29,14610,29167,    1106,     788,35978,-14557,Bullish
2020-12-21,13504,28379,   -1205,    -386,34751,-14875,Bearish Reversal
2020-12-15,14709,28765,   -8499,    -929,35894,-14056,Bearish Reversal
2020-12-08,23208,29694,    -500,    2911,48516,-6486,Bearish
2020-12-01,23708,26783,    4061,    4382,37196,-3075,Bearish
2020-11-24,19647,22401,     107,    1887,31913,-2754,Bearish
2020-11-17,19540,20514,     937,     783,29413,-974,Bullish
2020-11-10,18603,19731,    1177,    3046,29066,-1128,Bearish
2020-11-03,17426,16685,   -1329,   -3324,26661,741,Bullish Reversal
2020-10-27,18755,20009,     687,     275,29623,-1254,Bullish
2020-10-20,18068,19734,   -2042,      61,29349,-1666,Bearish
2020-10-13,20110,19673,    1601,   -1870,29233,437,Bullish Reversal
2020-10-06,18509,21543,    3669,    1148,31448,-3034,Bullish
2020-09-29,14840,20395,    2908,    -683,28616,-5555,Bullish Reversal
2020-09-22,11932,21078,   -1424,    -518,28767,-9146,Bearish
2020-09-15,13356,21596,     -97,    2385,28493,-8240,Bearish Reversal
2020-09-08,13453,19211,    -895,   -1883,29776,-5758,Bullish Reversal
2020-09-01,14348,21094,     766,    -261,30358,-6746,Bullish Reversal
2020-08-25,13582,21355,   -5005,   -4747,30716,-7773,Bearish Reversal
2020-08-18,18587,26102,     337,    -330,34896,-7515,Bullish
2020-08-11,18250,26432,   -2152,    -445,34460,-8182,Bearish Reversal
2020-08-04,20402,26877,   -2433,   -2685,35497,-6475,Bullish Reversal
2020-07-28,22835,29562,    3856,    4790,37312,-6727,Bearish
2020-07-21,18979,24772,    6856,    7610,31404,-5793,Bearish
2020-07-14,12123,17162,     -13,      87,23499,-5039,Bearish
2020-07-07,12136,17075,    2324,    2288,22869,-4939,Bullish
2020-06-30,9812,14787,   -1841,   -2180,19441,-4975,Bullish Reversal
2020-06-23,11653,16967,     857,     827,21601,-5314,Bullish
2020-06-16,10796,16140,  -10080,     -47,19869,-5344,Bearish Reversal
2020-06-09,20876,16187,    2999,    6568,33934,4689,Bearish
2020-06-02,17877,9619,   -3162,    3379,26006,8258,Bearish Reversal
2020-05-26,21039,6240,   -3476,    -978,28298,14799,Bearish Reversal
2020-05-19,24515,7218,     559,    -288,31477,17297,Bullish
2020-05-12,23956,7506,    -757,    -782,31123,16450,Bullish Reversal
2020-05-05,24713,8288,   -1556,   -1893,31555,16425,Bullish Reversal
2020-04-28,26269,10181,    1425,     953,32622,16088,Bullish
2020-04-21,24844,9228,     982,     723,31390,15616,Bullish
2020-04-14,23862,8505,    1044,     711,29664,15357,Bullish
2020-04-07,22818,7794,    -134,   -1093,28696,15024,Bullish Reversal
2020-03-31,22952,8887,     496,   -1049,28972,14065,Bullish
2020-03-24,22456,9936,    2914,   -2454,28338,12520,Bullish
2020-03-17,19542,12390,   -6060,    -800,25322,7152,Bearish Reversal
2020-03-10,25602,13190,   -6280,    3796,44951,12412,Bearish
2020-03-03,31882,9394,   -7880,   -5291,39782,22488,Bearish Reversal
2020-02-25,39762,14685,    -638,   -1487,47885,25077,Bullish Reversal
2020-02-18,40400,16172,   -1314,   -6056,48471,24228,Bullish Reversal
2020-02-11,41714,22228,   11750,    9397,49634,19486,Bullish
2020-02-04,29964,12831,    1648,     948,36874,17133,Bullish
2020-01-28,28316,11883,    2982,    -511,36000,16433,Bullish
2020-01-21,25334,12394,    -256,      67,35878,12940,Bearish Reversal
2020-01-14,25590,12327,    1765,     970,36189,13263,Bullish
2020-01-07,23825,11357,   -1120,   -1534,35179,12468,Bullish Reversal
2019-12-31,24945,12891,     907,    2084,35967,12054,Bearish
2019-12-24,24038,10807,     990,    -545,32976,13231,Bullish
2019-12-17,23048,11352,   -7706,    2859,32897,11696,Bearish Reversal
2019-12-10,30754,8493,    -428,    1188,47127,22261,Bearish
2019-12-03,31182,7305,    1949,    2210,44997,23877,Bearish
2019-11-26,29233,5095,   -2276,   -1789,42191,24138,Bearish Reversal
2019-11-19,31509,6884,   -2408,     751,45288,24625,Bearish Reversal
2019-11-12,33917,6133,   -1066,    -471,46188,27784,Bearish Reversal
2019-11-05,34983,6604,   -2200,   -1070,47015,28379,Bearish Reversal
2019-10-29,37183,7674,   -3650,   -1949,49700,29509,Bearish Reversal
2019-10-22,40833,9623,   -3455,    2771,53860,31210,Bearish Reversal
2019-10-15,44288,6852,   -4689,   -2266,54820,37436,Bearish Reversal
2019-10-08,48977,9118,   -3591,    -422,58016,39859,Bearish Reversal
2019-10-01,52568,9540,    2255,    1166,59045,43028,Bullish
2019-09-24,50313,8374,     687,     522,57183,41939,Bullish
2019-09-17,49626,7852,     143,   -9599,55837,41774,Bullish Reversal
2019-09-10,49483,17451,   -4927,   -5223,64908,32032,Bullish
2019-09-03,54410,22674,    6308,    4469,62314,31736,Bullish
2019-08-27,48102,18205,    -961,   -1359,55277,29897,Bullish Reversal
2019-08-20,49063,19564,    1189,    1532,56089,29499,Bearish
2019-08-13,47874,18032,   -1457,      30,55000,29842,Bearish Reversal
2019-08-06,49331,18002,      26,   -1020,55694,31329,Bullish Reversal
2019-07-30,49305,19022,    7087,    5932,55829,30283,Bullish
2019-07-23,42218,13090,    5766,    3970,48047,29128,Bullish
2019-07-16,36452,9120,     -27,    -303,42480,27332,Bullish
2019-07-09,36479,9423,    2982,   -1657,41935,27056,Bullish Reversal
2019-07-02,33497,11080,    -830,    -881,42805,22417,Bullish Reversal
2019-06-25,34327,11961,   -5992,     191,45093,22366,Bearish Reversal
2019-06-18,40319,11770,    3434,   -1126,47012,28549,Bullish Reversal
2019-06-11,36885,12896,   -2463,    -218,49167,23989,Bearish
2019-06-04,39348,13114,   -2571,   -1707,46897,26234,Bearish Reversal
2019-05-28,41919,14821,   -1481,   -1867,50088,27098,Bullish Reversal
2019-05-21,43400,16688,    3189,    3154,51830,26712,Bullish
2019-05-14,40211,13534,   -6691,   -5135,48083,26677,Bearish Reversal
2019-05-07,46902,18669,   -4310,   -3594,54810,28233,Bearish Reversal
2019-04-30,51212,22263,    2040,    1846,58985,28949,Bullish
2019-04-23,49172,20417,    6046,    6229,56644,28755,Bearish
2019-04-16,43126,14188,   -1443,    -935,49887,28938,Bearish Reversal
2019-04-09,44569,15123,    -205,    -803,50845,29446,Bullish
2019-04-02,44774,15926,    7831,    4268,50702,28848,Bullish
2019-03-26,36943,11658,   -1664,   -1014,42802,25285,Bearish Reversal
2019-03-19,38607,12672,   -6423,    2716,44215,25935,Bearish Reversal
2019-03-12,45030,9956,    3358,    1998,60235,35074,Bullish
2019-03-05,41672,7958,   -6925,   -8726,54897,33714,Bullish Reversal
2019-02-26,48597,16684,      53,     979,64599,31913,Bearish
2019-02-19,48544,15705,    1898,    2344,59109,32839,Bearish
2019-02-12,46646,13361,    1006,   -1501,56543,33285,Bullish Reversal
2019-02-05,45640,14862,   -2685,   -2449,57842,30778,Bearish Reversal
2019-01-29,48325,17311,    -588,    1954,60968,31014,Bearish
2019-01-22,48913,15357,   -1659,    -674,59999,33556,Bearish Reversal
2019-01-15,50572,16031,    1500,     160,61790,34541,Bullish
2019-01-08,49072,15871,    7343,    6525,60955,33201,Bullish
2018-12-31,41729,9346,    1376,    1978,52699,32383,Bearish
2018-12-24,40353,7368,   -2945,     119,50245,32985,Bearish Reversal
2018-12-18,43298,7249,   -3362,   -1289,50790,36049,Bearish Reversal
2018-12-11,46660,8538,    1307,    1634,64006,38122,Bearish
2018-12-04,45353,6904,    -996,    -138,56729,38449,Bearish Reversal
2018-11-27,46349,7042,     611,     644,57063,39307,Bearish Reversal
2018-11-20,45738,6398,   -2710,   -1537,57264,39340,Bearish Reversal
2018-11-13,48448,7935,     153,     -78,58329,40513,Bullish
2018-11-06,48295,8013,   -1564,   -2323,57888,40282,Bullish Reversal
2018-10-30,49859,10336,    1040,    -455,60318,39523,Bullish
2018-10-23,48819,10791,    2989,    2837,59274,38028,Bullish
2018-10-16,45830,7954,   -2635,   -2802,54917,37876,Bullish Reversal
2018-10-09,48465,10756,    4913,    4240,58150,37709,Bullish
2018-10-02,43552,6516,     103,      76,53364,37036,Bullish
2018-09-25,43449,6440,   -3831,   -3384,52751,37009,Bearish Reversal
2018-09-18,47280,9824,    3057,      96,56908,37456,Bullish Reversal
2018-09-11,44223,9728,     236,    -773,58932,34495,Bullish
2018-09-04,43987,10501,    2328,    3413,55783,33486,Bearish
2018-08-28,41659,7088,   -3383,   -3832,52802,34571,Bullish Reversal
2018-08-21,45042,10920,    -618,   -2707,55935,34122,Bullish Reversal
2018-08-14,45660,13627,    3861,    1930,57088,32033,Bullish
2018-08-07,41799,11697,    1039,    -607,53915,30102,Bullish
2018-07-31,40760,12304,    -372,   -3557,53060,28456,Bullish
