As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2023-01-10,74753,64526,   17562,    2660,186383,10227,Bullish
2023-01-03,57191,61866,   -1279,    4120,164594,-4675,Bearish
2022-12-27,58470,57746,    2530,    2581,160334,724,Bearish
2022-12-20,55940,55165,   -2117,    -336,156204,775,Bearish Reversal
2022-12-13,58057,55501,    2561,    1684,162191,2556,Bullish
2022-12-06,55496,53817,    4063,    4368,158762,1679,Bearish
2022-11-29,51433,49449,   -1268,    -148,146760,1984,Bearish Reversal
2022-11-22,52701,49597,   -8029,   -1312,155127,3104,Bearish Reversal
2022-11-15,60730,50909,    5702,   -1206,168962,9821,Bullish Reversal
2022-11-08,55028,52115,    4290,   -6107,169929,2913,Bullish Reversal
2022-11-01,50738,58222,     738,   -8697,179801,-7484,Bullish
2022-10-25,50000,66919,     665,   -2718,179344,-16919,Bullish
2022-10-18,49335,69637,   -1686,    2717,178730,-20302,Bearish
2022-10-11,51021,66920,     551,   -1801,167449,-15899,Bullish
2022-10-04,50470,68721,    -256,   -9761,166161,-18251,Bullish Reversal
2022-09-27,50726,78482,    3953,   11423,173661,-27756,Bearish
2022-09-20,46773,67059,    2199,    3499,163058,-20286,Bearish
2022-09-13,44574,63560,   -2007,   -7011,157900,-18986,Bullish Reversal
2022-09-06,46581,70571,     476,    1211,160251,-23990,Bearish
2022-08-30,46105,69360,   -4105,     160,158390,-23255,Bearish Reversal
2022-08-23,50210,69200,    3413,   -5817,173145,-18990,Bullish Reversal
2022-08-16,46797,75017,   -2680,   -2937,183500,-28220,Bullish Reversal
2022-08-09,49477,77954,    -840,     231,187988,-28477,Bearish
2022-08-02,50317,77723,   -2060,   -1216,184441,-27406,Bearish
2022-07-26,52377,78939,     377,    3103,183958,-26562,Bearish
2022-07-19,52000,75836,    -623,   -3082,174592,-23836,Bullish
2022-07-12,52623,78918,   -1450,   -6951,172037,-26295,Bullish Reversal
2022-07-05,54073,85869,    6291,    7391,183331,-31796,Bearish
2022-06-28,47782,78478,   -2448,    7310,182352,-30696,Bearish Reversal
2022-06-21,50230,71168,    -847,    6294,187170,-20938,Bearish Reversal
2022-06-14,51077,64874,   -7155,    2928,187247,-13797,Bearish Reversal
2022-06-07,58232,61946,    4828,   -9483,194187,-3714,Bullish
2022-05-31,53404,71429,    -726,   -2334,189923,-18025,Bullish
2022-05-24,54130,73763,     971,   -3804,186433,-19633,Bullish Reversal
2022-05-17,53159,77567,   -4351,   -2569,189483,-24408,Bearish
2022-05-10,57510,80136,   -8080,   -1077,184502,-22626,Bearish Reversal
2022-05-03,65590,81213,   -5069,    6769,185255,-15623,Bearish Reversal
2022-04-26,70659,74444,  -12602,   10023,193763,-3785,Bearish Reversal
2022-04-19,83261,64421,    1321,    5831,203896,18840,Bearish Reversal
2022-04-12,81940,58590,   -8839,    3953,204825,23350,Bearish Reversal
2022-04-05,90779,54637,    4226,   -1335,216157,36142,Bullish
2022-03-29,86553,55972,    5030,    1261,203692,30581,Bullish
2022-03-22,81523,54711,    8185,     403,197244,26812,Bullish
2022-03-15,73338,54308,  -14406,   -1617,183170,19030,Bearish Reversal
2022-03-08,87744,55925,   12218,    2492,198844,31819,Bullish
2022-03-01,75526,53433,   -5414,   -1932,195398,22093,Bearish Reversal
2022-02-22,80940,55365,   -3475,    1642,204123,25575,Bearish Reversal
2022-02-15,84415,53723,   10113,   -1724,210089,30692,Bullish
2022-02-08,74302,55447,    5318,    2618,201860,18855,Bullish
2022-02-01,68984,52829,   -9632,     694,198437,16155,Bearish Reversal
2022-01-25,78616,52135,     943,   -3228,205771,26481,Bullish
2022-01-18,77673,55363,    3865,   -1739,203198,22310,Bullish
2022-01-11,73808,57102,   -1399,    1654,189678,16706,Bearish
2022-01-04,75207,55448,    4227,   -1149,185905,19759,Bullish
2021-12-28,70980,56597,    9997,      51,180736,14383,Bullish
2021-12-21,60983,56546,   -2007,     253,170353,4437,Bearish Reversal
2021-12-14,62990,56293,    -413,      94,171976,6697,Bearish Reversal
2021-12-07,63403,56199,   -4907,   -2920,173954,7204,Bearish Reversal
2021-11-30,68310,59119,   -3389,    1142,184214,9191,Bearish Reversal
2021-11-23,71699,57977,   -9900,   -3285,190681,13722,Bearish Reversal
2021-11-16,81599,61262,   -1182,    1270,208066,20337,Bearish Reversal
2021-11-09,82781,59992,   -5851,    3695,213365,22789,Bearish Reversal
2021-11-02,88632,56297,   -9600,   -4656,217216,32335,Bearish Reversal
2021-10-26,98232,60953,   -5264,   -1959,222927,37279,Bearish Reversal
2021-10-19,103496,62912,   19680,    1577,225225,40584,Bullish
2021-10-12,83816,61335,    7379,    -685,194817,22481,Bullish
2021-10-05,76437,62020,   -1854,    2306,185655,14417,Bearish
2021-09-28,78291,59714,    -640,      53,184988,18577,Bearish Reversal
2021-09-21,78931,59661,   -2292,    7217,190659,19270,Bearish Reversal
2021-09-14,81223,52444,    2897,   -2290,192156,28779,Bullish
2021-09-07,78326,54734,     149,   -1536,190379,23592,Bullish
2021-08-31,78177,56270,    4287,   -8996,190030,21907,Bullish Reversal
2021-08-24,73890,65266,  -12063,    -607,192968,8624,Bearish Reversal
2021-08-17,85953,65873,   -3007,    5944,208878,20080,Bearish
2021-08-10,88960,59929,   -3013,    3016,199899,29031,Bearish Reversal
2021-08-03,91973,56913,    -511,    1780,211071,35060,Bearish
2021-07-27,92484,55133,   10675,   -6403,208816,37351,Bullish
2021-07-20,81809,61536,   -1162,   -4456,197428,20273,Bullish Reversal
2021-07-13,82971,65992,   -1353,   -2559,199936,16979,Bullish Reversal
2021-07-06,84324,68551,     851,   -3561,202781,15773,Bullish
2021-06-29,83473,72112,     933,   -2742,197783,11361,Bullish Reversal
2021-06-22,82540,74854,   -7669,   -4584,206167,7686,Bearish Reversal
2021-06-15,90209,79438,    -947,    2917,229832,10771,Bearish Reversal
2021-06-08,91156,76521,   -1082,    2806,234207,14635,Bearish
2021-06-01,92238,73715,   -1968,    3222,232824,18523,Bearish
2021-05-25,94206,70493,  -14697,     568,230730,23713,Bearish Reversal
2021-05-18,108903,69925,   -9753,   -2900,241354,38978,Bearish Reversal
2021-05-11,118656,72825,   -9915,   -1976,258498,45831,Bearish Reversal
2021-05-04,128571,74801,    8436,    3927,259609,53770,Bullish
2021-04-27,120135,70874,   10223,    3825,254183,49261,Bullish
2021-04-20,109912,67049,    5783,   -1085,248509,42863,Bullish
2021-04-13,104129,68134,   -5856,    1159,236602,35995,Bearish Reversal
2021-04-06,109985,66975,    5485,    6342,243342,43010,Bearish
2021-03-30,104500,60633,   -5433,   -3892,229202,43867,Bearish Reversal
2021-03-23,109933,64525,     815,    1786,238358,45408,Bearish Reversal
2021-03-16,109118,62739,   -4949,      51,239811,46379,Bearish
2021-03-09,114067,62688,  -18077,   -3439,239307,51379,Bearish Reversal
2021-03-02,132144,66127,   -8386,    1002,251989,66017,Bearish Reversal
2021-02-23,140530,65125,   -6233,   -7729,268170,75405,Bullish Reversal
2021-02-16,146763,72854,    5836,    3222,272276,73909,Bullish
2021-02-09,140927,69632,    9320,    4371,264096,71295,Bullish
2021-02-02,131607,65261,     187,    4109,257036,66346,Bearish
2021-01-26,131420,61152,    -817,   -2979,256365,70268,Bullish
2021-01-19,132237,64131,     838,    -626,254998,68106,Bullish
2021-01-12,131399,64757,   -3689,   -1093,251140,66642,Bearish Reversal
2021-01-05,135088,65850,    2693,    4736,256942,69238,Bearish
2020-12-29,132395,61114,   -1045,    -888,247232,71281,Bearish Reversal
2020-12-21,133440,62002,    -532,     150,248003,71438,Bearish
2020-12-15,133972,61852,   -2906,    5013,244491,72120,Bearish
2020-12-08,136878,56839,    2408,    2225,242850,80039,Bullish
2020-12-01,134470,54614,    4177,   -1908,240738,79856,Bullish
2020-11-24,130293,56522,    6592,     -17,236644,73771,Bullish
2020-11-17,123701,56539,    3303,    1210,228338,67162,Bullish
2020-11-10,120398,55329,    4801,     870,228128,65069,Bullish Reversal
2020-11-03,115597,54459,  -11125,   -5347,233351,61138,Bearish Reversal
2020-10-27,126722,59806,   -4271,   -3922,241268,66916,Bearish Reversal
2020-10-20,130993,63728,   11859,    3810,249001,67265,Bullish
2020-10-13,119134,59918,   12028,    6390,237283,59216,Bullish
2020-10-06,107106,53528,   -6897,   -6413,228717,53578,Bearish Reversal
2020-09-29,114003,59941,   -9582,    4197,236095,54062,Bearish Reversal
2020-09-22,123585,55744,   13256,    4022,252360,67841,Bullish
2020-09-15,110329,51722,    4844,    1987,244071,58607,Bullish
2020-09-08,105485,49735,    1394,   -1240,236149,55750,Bullish
2020-09-01,104091,50975,    5330,      78,233226,53116,Bullish
2020-08-25,98761,50897,   -1214,   -5560,227062,47864,Bullish Reversal
2020-08-18,99975,56457,   10474,     589,232581,43518,Bullish
2020-08-11,89501,55868,   -7610,   -2393,227430,33633,Bearish Reversal
2020-08-04,97111,58261,   -2174,    1466,232022,38850,Bearish Reversal
2020-07-28,99285,56795,    3397,    -459,234724,42490,Bullish
2020-07-21,95888,57254,    6647,    1421,227565,38634,Bullish
2020-07-14,89241,55833,   11864,    2268,221410,33408,Bullish
2020-07-07,77377,53565,    9000,    5765,206843,23812,Bullish
2020-06-30,68377,47800,    4628,     749,193194,20577,Bullish
2020-06-23,63749,47051,    6603,    -493,190457,16698,Bullish
2020-06-16,57146,47544,   -3664,    -955,180741,9602,Bearish Reversal
2020-06-09,60810,48499,    4808,   -8449,181310,12311,Bullish Reversal
2020-06-02,56002,56948,    5655,   -3038,182043,-946,Bullish
2020-05-26,50347,59986,    -907,   -4684,175499,-9639,Bullish
2020-05-19,51254,64670,    3150,    1037,171040,-13416,Bullish
2020-05-12,48104,63633,    2030,   -1598,168470,-15529,Bullish
2020-05-05,46074,65231,    -884,    1490,162899,-19157,Bearish Reversal
2020-04-28,46958,63741,     620,   -3519,167291,-16783,Bullish Reversal
2020-04-21,46338,67260,    4108,     300,181947,-20922,Bullish Reversal
2020-04-14,42230,66960,     599,    -247,194265,-24730,Bullish
2020-04-07,41631,67207,    -647,      96,185408,-25576,Bearish
2020-03-31,42278,67111,   -4221,   -5835,182253,-24833,Bullish Reversal
2020-03-24,46499,72946,   -8129,  -19737,183715,-26447,Bullish Reversal
2020-03-17,54628,92683,   -5580,   -6591,215842,-38055,Bullish Reversal
2020-03-10,60208,99274,   -6528,   -6342,227198,-39066,Bearish Reversal
2020-03-03,66736,105616,   -3253,   -8592,242931,-38880,Bullish Reversal
2020-02-25,69989,114208,    -408,    1798,260777,-44219,Bearish Reversal
2020-02-18,70397,112410,    2841,    -805,275462,-42013,Bullish
2020-02-11,67556,113215,   -2082,    9258,269208,-45659,Bearish
2020-02-04,69638,103957,   -7575,   12354,264032,-34319,Bearish
2020-01-28,77213,91603,  -26514,   -6335,248958,-14390,Bearish Reversal
2020-01-21,103727,97938,     190,   -2132,282358,5789,Bullish
2020-01-14,103537,100070,   10827,    4220,281166,3467,Bullish
2020-01-07,92710,95850,   -5873,    2411,270889,-3140,Bearish
2019-12-31,98583,93439,     590,   -1087,266891,5144,Bullish
2019-12-24,97993,94526,    2189,   -1109,263899,3467,Bullish
2019-12-17,95804,95635,   16573,    -744,259207,169,Bullish
2019-12-10,79231,96379,   15006,   -5553,226987,-17148,Bullish
2019-12-03,64225,101932,    3059,    2204,215424,-37707,Bullish
2019-11-26,61166,99728,   -2581,     875,212577,-38562,Bearish Reversal
2019-11-19,63747,98853,   -9556,    -737,228961,-35106,Bearish Reversal
2019-11-12,73303,99590,   -8349,   -5373,239830,-26287,Bearish
2019-11-05,81652,104963,    4838,    2924,239147,-23311,Bullish Reversal
2019-10-29,76814,102039,    8070,   -8278,246252,-25225,Bullish Reversal
2019-10-22,68744,110317,    1361,   -4321,251164,-41573,Bullish Reversal
2019-10-15,67383,114638,   -2501,   -3339,257178,-47255,Bullish
2019-10-08,69884,117977,   -1387,     -67,256724,-48093,Bearish
2019-10-01,71271,118044,      66,    6100,242951,-46773,Bearish
2019-09-24,71205,111944,   -3878,     -89,230727,-40739,Bearish Reversal
2019-09-17,75083,112033,   -2102,   -6338,234574,-36950,Bullish Reversal
2019-09-10,77185,118371,    1086,  -16569,241910,-41186,Bullish Reversal
2019-09-03,76099,134940,    3304,    3665,260040,-58841,Bearish Reversal
2019-08-27,72795,131275,   -2694,    6841,262762,-58480,Bearish Reversal
2019-08-20,75489,124434,    -718,   -5373,281852,-48945,Bullish Reversal
2019-08-13,76207,129807,   -2926,   -7775,295608,-53600,Bullish Reversal
2019-08-06,79133,137582,    1799,   31493,303764,-58449,Bearish
2019-07-30,77334,106089,     870,    5576,268804,-28755,Bearish
2019-07-23,76464,100513,    2742,   -5152,264229,-24049,Bullish Reversal
2019-07-16,73722,105665,   -2874,  -10918,266882,-31943,Bullish
2019-07-09,76596,116583,     118,   10889,265419,-39987,Bearish
2019-07-02,76478,105694,    3181,    5858,254342,-29216,Bearish
2019-06-25,73297,99836,   -8958,   -6371,244461,-26539,Bearish Reversal
2019-06-18,82255,106207,    2856,   -3713,280643,-23952,Bullish Reversal
2019-06-11,79399,109920,    3182,    6957,284848,-30521,Bearish
2019-06-04,76217,102963,    2433,    5346,281813,-26746,Bearish
2019-05-28,73784,97617,    1294,    3408,272194,-23833,Bearish
2019-05-21,72490,94209,    -889,    1464,261724,-21719,Bearish
2019-05-14,73379,92745,    -243,    6245,256800,-19366,Bearish
2019-05-07,73622,86500,   -5977,    6768,245088,-12878,Bearish Reversal
2019-04-30,79599,79732,   -3484,   -1225,249602,-133,Bearish Reversal
2019-04-23,83083,80957,   -1162,    2024,256267,2126,Bearish Reversal
2019-04-16,84245,78933,    2742,     444,257913,5312,Bullish
2019-04-09,81503,78489,    -442,    1100,246628,3014,Bearish Reversal
2019-04-02,81945,77389,    6111,    3497,250309,4556,Bullish Reversal
2019-03-26,75834,73892,   -6931,    7482,251953,1942,Bearish Reversal
2019-03-19,82765,66410,   -6807,    2405,253741,16355,Bearish Reversal
2019-03-12,89572,64005,   -4659,    1030,258881,25567,Bearish
2019-03-05,94231,62975,   -2751,  -11623,255162,31256,Bullish Reversal
2019-02-26,96982,74598,   12258,   -9248,256269,22384,Bullish
2019-02-19,84724,83846,    1798,    2123,253256,878,Bearish
2019-02-12,82926,81723,    3590,   -3695,245475,1203,Bullish Reversal
2019-02-05,79336,85418,    3212,  -12619,245629,-6082,Bullish Reversal
2019-01-29,76124,98037,      44,   -2568,265588,-21913,Bullish Reversal
2019-01-22,76080,100605,     414,   -2653,271968,-24525,Bullish
2019-01-15,75666,103258,    3322,   11462,271303,-27592,Bearish
2019-01-08,72344,91796,   -2197,    6907,242731,-19452,Bearish
2018-12-31,74541,84889,     906,    1402,224760,-10348,Bearish
2018-12-24,73635,83487,   -3172,    4002,218191,-9852,Bearish
2018-12-18,76807,79485,    4500,   14425,214050,-2678,Bearish
2018-12-11,72307,65060,   -3041,     395,208742,7247,Bearish Reversal
2018-12-04,75348,64665,   -1394,   -1385,216791,10683,Bearish Reversal
2018-11-27,76742,66050,   -3956,   -2046,220177,10692,Bearish Reversal
2018-11-20,80698,68096,    7229,   -1958,229249,12602,Bullish Reversal
2018-11-13,73469,70054,      22,    2993,241052,3415,Bearish Reversal
2018-11-06,73447,67061,    1827,   -3892,247313,6386,Bullish Reversal
2018-10-30,71620,70953,     650,    9330,256266,667,Bearish
2018-10-23,70970,61623,    -702,   -1131,246254,9347,Bullish
2018-10-16,71672,62754,   -1422,   -2093,237336,8918,Bullish
2018-10-09,73094,64847,   -4266,    -538,235478,8247,Bearish
2018-10-02,77360,65385,    -627,   -1498,234368,11975,Bullish Reversal
2018-09-25,77987,66883,    3410,   -7885,237120,11104,Bullish
2018-09-18,74577,74768,    2393,   -6310,235543,-191,Bullish
