As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2025-09-23,41994,101584,    1718,   10148,160854,-59590,Bearish
2025-09-16,40276,91436,    8076,  -19995,154790,-51160,Bullish Reversal
2025-09-09,32200,111431,    2523,    -929,208092,-79231,Bullish
2025-09-02,29677,112360,     977,  -16930,185048,-82683,Bullish Reversal
2025-08-26,28700,129290,   -2968,    2735,191207,-100590,Bearish
2025-08-19,31668,126555,    6037,   13019,185901,-94887,Bearish
2025-08-12,25631,113536,    1643,    5988,171294,-87905,Bearish
2025-08-05,23988,107548,   -2518,    2948,163900,-83560,Bearish
2025-07-29,26506,104600,    1440,   -1721,159680,-78094,Bullish Reversal
2025-07-22,25066,106321,    3833,   10169,161394,-81255,Bearish
2025-07-15,21233,96152,   -2039,   -1434,150487,-74919,Bearish Reversal
2025-07-08,23272,97586,   -2267,    1957,153390,-74314,Bearish
2025-07-01,25539,95629,    2290,    -182,151338,-70090,Bullish
2025-06-24,23249,95811,    2055,    5227,151032,-72562,Bearish
2025-06-17,21194,90584,   -2803,   -3357,147471,-69390,Bullish Reversal
2025-06-10,23997,93941,      28,    6817,224272,-69944,Bearish
2025-06-03,23969,87124,    2397,    4372,202595,-63155,Bearish
2025-05-27,21572,82752,     575,    2678,179292,-61180,Bearish
2025-05-20,20997,80074,   -4510,    5221,177853,-59077,Bearish Reversal
2025-05-13,25507,74853,    -736,     238,180460,-49346,Bearish Reversal
2025-05-06,26243,74615,    -359,   -1930,183057,-48372,Bullish Reversal
2025-04-29,26602,76545,    -573,   -5212,184804,-49943,Bullish Reversal
2025-04-22,27175,81757,    7435,    3169,190798,-54582,Bullish
2025-04-15,19740,78588,   -8753,  -13205,178747,-58848,Bullish Reversal
2025-04-08,28493,91793,    2282,  -10281,194476,-63300,Bullish
2025-04-01,26211,102074,   -1913,   -3496,182766,-75863,Bullish
2025-03-25,28124,105570,     496,    7493,180087,-77446,Bearish Reversal
2025-03-18,27628,98077,  -24543,   -2320,180546,-70449,Bearish Reversal
2025-03-11,52171,100397,   -2980,   -2987,258738,-48226,Bullish
2025-03-04,55151,103384,    4278,    6931,202272,-48233,Bearish
2025-02-25,50873,96453,    3955,   -7188,185971,-45580,Bullish Reversal
2025-02-18,46918,103641,    6550,   -2312,189686,-56723,Bullish Reversal
2025-02-11,40368,105953,    5038,   -4686,196295,-65585,Bullish Reversal
2025-02-04,35330,110639,    3134,    6612,204869,-75309,Bearish
2025-01-28,32196,104027,    1017,    1552,192011,-71831,Bearish
2025-01-21,31179,102475,    5044,   -1291,190211,-71296,Bullish Reversal
2025-01-14,26135,103766,   -6981,   -2783,192020,-77631,Bearish Reversal
2025-01-07,33116,106549,   -2132,    -110,197764,-73433,Bearish
2024-12-31,35248,106659,    3834,    7075,182872,-71411,Bearish
2024-12-24,31414,99584,   -1515,    5124,177789,-68170,Bearish
2024-12-17,32929,94460,  -55822,   14194,172661,-61531,Bearish Reversal
2024-12-10,88751,80266,    2052,   14968,239026,8485,Bearish
2024-12-03,86699,65298,   -1995,    8380,190247,21401,Bearish
2024-11-26,88694,56918,    1991,    1813,185533,31776,Bullish
2024-11-19,86703,55105,    3148,    1345,181688,31598,Bullish
2024-11-12,83555,53760,   -7933,   -6752,171880,29795,Bearish Reversal
2024-11-05,91488,60512,   -2189,   -5649,177416,30976,Bullish Reversal
2024-10-29,93677,66161,   -8832,   -8669,183977,27516,Bearish Reversal
2024-10-22,102509,74830,    3458,   -4952,186950,27679,Bullish Reversal
2024-10-15,99051,79782,  -12510,    1643,193289,19269,Bearish Reversal
2024-10-08,111561,78139,   10099,   -8795,205706,33422,Bullish
2024-10-01,101462,86934,   19538,   -6238,201032,14528,Bullish
2024-09-24,81924,93172,   27983,    -891,176442,-11248,Bullish
2024-09-17,53941,94063,  -20318,    5762,169684,-40122,Bearish Reversal
2024-09-10,74259,88301,  -12859,   -6681,230013,-14042,Bearish
2024-09-03,87118,94982,    5632,   -5663,213538,-7864,Bullish
2024-08-27,81486,100645,   10932,   -8794,204850,-19159,Bullish
2024-08-20,70554,109439,    5526,    1795,187360,-38885,Bullish Reversal
2024-08-13,65028,107644,   -3165,    -748,188298,-42616,Bearish Reversal
2024-08-06,68193,108392,  -11043,   -2214,192634,-40199,Bearish Reversal
2024-07-30,79236,110606,  -17737,    4819,205852,-31370,Bearish Reversal
2024-07-23,96973,105787,   -9339,   10588,226258,-8814,Bearish Reversal
2024-07-16,106312,95199,    7315,   -1385,229593,11113,Bullish
2024-07-09,98997,96584,   21046,    2797,225017,2413,Bullish
2024-07-02,77951,93787,   13331,    5491,197799,-15836,Bullish
2024-06-25,64620,88296,    8921,   -9059,181071,-23676,Bullish
2024-06-18,55699,97355,   10159,  -12970,174695,-41656,Bullish Reversal
2024-06-11,45540,110325,   -6121,    7361,212796,-64785,Bearish
2024-06-04,51661,102964,   -2231,    -844,199796,-51303,Bearish
2024-05-28,53892,103808,    3356,   -2961,193678,-49916,Bullish Reversal
2024-05-21,50536,106769,   10477,  -10461,196609,-56233,Bullish Reversal
2024-05-14,40059,117230,   -9421,    3234,201798,-77171,Bearish Reversal
2024-05-07,49480,113996,    8187,  -10532,209670,-64516,Bullish Reversal
2024-04-30,41293,124528,   -2136,  -15140,224573,-83235,Bullish Reversal
2024-04-23,43429,139668,    1064,   -3780,239278,-96239,Bullish
2024-04-16,42365,143448,   11809,   20551,234919,-101083,Bearish
2024-04-09,30556,122897,   -4001,  -14345,208938,-92341,Bullish Reversal
2024-04-02,34557,137242,     119,   -2648,224894,-102685,Bullish
2024-03-26,34438,139890,   -3769,   -5855,218982,-105452,Bullish Reversal
2024-03-19,38207,145745,   -3384,   13314,220921,-107538,Bearish Reversal
2024-03-12,41591,132431,  -12375,   -6278,229723,-90840,Bearish Reversal
2024-03-05,53966,138709,    4326,    9893,234196,-84743,Bearish
2024-02-27,49640,128816,     540,   -2159,204992,-79176,Bullish Reversal
2024-02-20,49100,130975,    1695,    4594,205656,-81875,Bearish
2024-02-13,47405,126381,    8163,   15326,199485,-78976,Bearish
2024-02-06,39242,111055,    2286,   15804,180793,-71813,Bearish
2024-01-30,36956,95251,   -5897,   -1722,165531,-58295,Bearish
2024-01-23,42853,96973,   -2959,    3304,161999,-54120,Bearish Reversal
2024-01-16,45812,93669,   -1514,   14069,163442,-47857,Bearish
2024-01-09,47326,79600,    2884,   -7735,156375,-32274,Bullish Reversal
2024-01-02,44442,87335,    5431,   -2979,157003,-42893,Bullish
2023-12-26,39011,90314,    3734,    4360,152735,-51303,Bearish
2023-12-19,35277,85954,    4310,    2647,147665,-50677,Bullish Reversal
2023-12-12,30967,83307,   -1919,   -7260,208927,-52340,Bullish
2023-12-05,32886,90567,    3683,   -9855,195569,-57681,Bullish Reversal
2023-11-28,29203,100422,    -362,   -7113,197053,-71219,Bullish
2023-11-21,29565,107535,   -3163,    3851,196598,-77970,Bearish Reversal
2023-11-14,32728,103684,   -1321,    4072,197469,-70956,Bearish
2023-11-07,34049,99612,    1244,   -8303,192496,-65563,Bullish Reversal
2023-10-31,32805,107915,    4787,   -3184,196866,-75110,Bullish
2023-10-24,28018,111099,   -3547,   -1205,194666,-83081,Bearish Reversal
2023-10-17,31565,112304,    -262,    3900,196044,-80739,Bearish
2023-10-10,31827,108404,   -7638,  -13048,190133,-76577,Bullish Reversal
2023-10-03,39465,121452,    3361,   -1467,207782,-81987,Bullish Reversal
2023-09-26,36104,122919,    -676,  -10807,211882,-86815,Bullish Reversal
2023-09-19,36780,133726,  -10529,    6884,221229,-96946,Bearish Reversal
2023-09-12,47309,126842,   -6723,  -10727,256219,-79533,Bullish
2023-09-05,54032,137569,   -7344,    6008,241201,-83537,Bearish
2023-08-29,61376,131561,  -10658,   -4259,223489,-70185,Bearish Reversal
2023-08-22,72034,135820,    3411,   13800,226955,-63786,Bearish
2023-08-15,68623,122020,    7532,   17737,204458,-53397,Bearish
2023-08-08,61091,104283,   14479,    5879,182842,-43192,Bullish
2023-08-01,46612,98404,    7504,    8095,161298,-51792,Bearish
2023-07-25,39108,90309,     856,    1656,146423,-51201,Bearish Reversal
2023-07-18,38252,88653,   -5409,     -92,148592,-50401,Bearish Reversal
2023-07-11,43661,88745,   -6509,   -6007,152495,-45084,Bearish Reversal
2023-07-03,50170,94752,    4945,   10103,153744,-44582,Bearish
2023-06-27,45225,84649,    -518,  -10710,136335,-39424,Bullish Reversal
2023-06-20,45743,95359,    6985,   -5144,149898,-49616,Bullish Reversal
2023-06-13,38758,100503,  -15743,  -10466,182562,-61745,Bearish Reversal
2023-06-06,54501,110969,  -14468,   -2126,209680,-56468,Bearish
2023-05-30,68969,113095,   15550,   10595,204963,-44126,Bullish
2023-05-23,53419,102500,    9516,    5003,180138,-49081,Bullish
2023-05-16,43903,97497,    2678,    7079,167020,-53594,Bearish
2023-05-09,41225,90418,  -11115,   -6932,165532,-49193,Bearish Reversal
2023-05-02,52340,97350,   -1901,    3647,181229,-45010,Bearish
2023-04-25,54241,93703,    9631,    6737,178757,-39462,Bullish
2023-04-18,44610,86966,    -871,    3548,159708,-42356,Bearish
2023-04-11,45481,83418,   -1206,    9498,159441,-37937,Bearish
2023-04-04,46687,73920,    2874,   -5246,151242,-27233,Bullish
2023-03-28,43813,79166,    2630,    -476,151238,-35353,Bullish Reversal
2023-03-21,41183,79642,    -502,   -2134,151836,-38459,Bullish
2023-03-14,41685,81776,  -12622,    2645,150058,-40091,Bearish Reversal
2023-03-07,54307,79131,   13236,   13895,157990,-24824,Bearish
2023-02-28,41071,65236,    2579,    1956,126681,-24165,Bullish
2023-02-21,38492,63280,    7740,    3621,123456,-24788,Bullish Reversal
2023-02-14,30752,59659,     708,    1510,126033,-28907,Bearish
2023-02-07,30044,58149,   -6293,   -8780,124006,-28105,Bullish Reversal
2023-01-31,36337,66929,    6871,    4292,136304,-30592,Bullish
2023-01-24,29466,62637,     873,     424,129490,-33171,Bullish
2023-01-17,28593,62213,   -1617,   -1687,128213,-33620,Bullish
2023-01-10,30210,63900,   -4998,   -7575,126028,-33690,Bullish Reversal
2023-01-03,35208,71475,    2253,    1729,132960,-36267,Bullish
2022-12-27,32955,69746,    1176,    3852,129195,-36791,Bearish Reversal
2022-12-20,31779,65894,   -4046,   -7768,129256,-34115,Bullish Reversal
2022-12-13,35825,73662,    -509,   -3235,172269,-37837,Bullish
2022-12-06,36334,76897,    1289,   -2778,158755,-40563,Bullish Reversal
2022-11-29,35045,79675,    2220,    4064,159378,-44630,Bearish
2022-11-22,32825,75611,    -389,   -2352,156807,-42786,Bullish Reversal
2022-11-15,33214,77963,     -74,   -2008,162440,-44749,Bullish Reversal
2022-11-08,33288,79971,    -860,   -4709,162523,-46683,Bullish Reversal
2022-11-01,34148,84680,    1989,    1075,165411,-50532,Bullish Reversal
2022-10-25,32159,83605,    -887,   15200,166961,-51446,Bearish
2022-10-18,33046,68405,    3721,    7809,150496,-35359,Bearish
2022-10-11,29325,60596,   -6923,   -3416,138320,-31271,Bearish Reversal
2022-10-04,36248,64012,   -2758,   -9647,139490,-27764,Bullish Reversal
2022-09-27,39006,73659,     209,   -5694,152301,-34653,Bullish
2022-09-20,38797,79353,    9579,   -7715,150544,-40556,Bullish Reversal
2022-09-13,29218,87068,   -4087,   -2737,182287,-57850,Bearish
2022-09-06,33305,89805,    2001,    1108,178232,-56500,Bullish
2022-08-30,31304,88697,   -1038,   -3673,169267,-57393,Bullish
2022-08-23,32342,92370,    3507,    4287,169212,-60028,Bearish
2022-08-16,28835,88083,    3191,    4851,160045,-59248,Bearish
2022-08-09,25644,83232,   -5191,   -3553,158100,-57588,Bearish Reversal
2022-08-02,30835,86785,     811,    9376,167931,-55950,Bearish
2022-07-26,30024,77409,    -554,    3683,156473,-47385,Bearish
2022-07-19,30578,73726,      51,    1599,155246,-43148,Bearish Reversal
2022-07-12,30527,72127,    2905,   -3116,158263,-41600,Bullish
2022-07-05,27622,75243,   -1265,    3376,146950,-47621,Bearish
2022-06-28,28887,71867,   -2858,    -484,139891,-42980,Bearish
2022-06-21,31745,72351,      85,   -2563,137017,-40606,Bullish Reversal
2022-06-14,31660,74914,     -60,   -4702,142857,-43254,Bullish Reversal
2022-06-07,31720,79616,   -1177,   -1963,166422,-47896,Bullish
2022-05-31,32897,81579,   -3682,    -446,153661,-48682,Bearish Reversal
2022-05-24,36579,82025,   -4894,   -4090,158615,-45446,Bearish Reversal
2022-05-17,41473,86115,    4604,    7532,163809,-44642,Bearish
2022-05-10,36869,78583,  -10126,    3072,153209,-41714,Bearish
2022-05-03,46995,75511,    -110,     755,152257,-28516,Bearish
2022-04-26,47105,74756,    7904,    6718,147090,-27651,Bullish Reversal
2022-04-19,39201,68038,    -569,    -447,147309,-28837,Bearish Reversal
2022-04-12,39770,68485,    4899,   -3899,150939,-28715,Bullish
2022-04-05,34871,72384,     911,  -11182,148898,-37513,Bullish
2022-03-29,33960,83566,   10213,    8630,143007,-49606,Bullish
2022-03-22,23747,74936,    -534,    5799,127767,-51189,Bearish
2022-03-15,24281,69137,    4760,  -28579,124521,-44856,Bullish Reversal
2022-03-08,19521,97716,    6801,    6660,197094,-78195,Bullish
2022-03-01,12720,91056,    1167,   -4577,189667,-78336,Bullish Reversal
2022-02-22,11553,95633,    -139,   -2753,192579,-84080,Bullish
2022-02-15,11692,98386,   -5631,   -4678,192578,-86694,Bearish Reversal
2022-02-08,17323,103064,   -1512,    4400,196403,-85741,Bearish Reversal
2022-02-01,18835,98664,    3714,     270,196913,-79829,Bullish
2022-01-25,15121,98394,    6070,     889,190020,-83273,Bullish
2022-01-18,9051,97505,   -3332,   -6364,181136,-88454,Bullish Reversal
2022-01-11,12383,103869,    -249,    1871,185453,-91486,Bearish
2022-01-04,12632,101998,   -4253,    3372,180107,-89366,Bearish Reversal
2021-12-28,16885,98626,   -6073,   -4686,183152,-81741,Bearish Reversal
2021-12-21,22958,103312,   -6296,   -4845,191309,-80354,Bearish Reversal
2021-12-14,29254,108157,   -4126,   -7015,197405,-78903,Bullish Reversal
2021-12-07,33380,115172,     163,    1770,212150,-81792,Bearish
2021-11-30,33217,113402,   -7306,    9614,201981,-80185,Bearish
2021-11-23,40523,103788,    9763,   11875,188033,-63265,Bearish
2021-11-16,30760,91913,    6916,    4645,166688,-61153,Bullish
2021-11-09,23844,87268,    4657,   -7415,157269,-63424,Bullish Reversal
2021-11-02,19187,94683,    1739,    1989,162888,-75496,Bearish
2021-10-26,17448,92694,    5816,    5004,160011,-75246,Bullish
2021-10-19,11632,87690,     439,  -11111,158531,-76058,Bullish Reversal
2021-10-12,11193,98801,   -6278,   -8649,177932,-87608,Bullish Reversal
2021-10-05,17471,107450,    -936,    2660,188691,-89979,Bearish
2021-09-28,18407,104790,   -6339,   -5540,180869,-86383,Bearish Reversal
2021-09-21,24746,110330,   11630,   13831,185492,-85584,Bearish
2021-09-14,13116,96499,  -19380,   -6485,164727,-83383,Bearish Reversal
2021-09-07,32496,102984,  -14888,   -4478,173484,-70488,Bearish Reversal
2021-08-31,47384,107462,  -13580,  -10102,182084,-60078,Bearish Reversal
2021-08-24,60964,117564,   -3205,    3028,197636,-56600,Bearish
2021-08-17,64169,114536,    6846,    7900,186948,-50367,Bearish
2021-08-10,57323,106636,    -419,    7611,171742,-49313,Bearish
2021-08-03,57742,99025,     327,    2263,169889,-41283,Bearish
2021-07-27,57415,96762,     343,    4000,167840,-39347,Bearish
2021-07-20,57072,92762,     351,    7253,163574,-35690,Bearish
2021-07-13,56721,85509,    3369,    7287,155995,-28788,Bearish
2021-07-06,53352,78222,    4528,   11598,147352,-24870,Bearish
2021-06-29,48824,66624,   -7309,   -7084,140482,-17800,Bearish Reversal
2021-06-22,56133,73708,   15994,   15689,147814,-17575,Bullish
2021-06-15,40139,58019,   -8011,     432,124137,-17880,Bearish Reversal
2021-06-08,48150,57587,   -7235,     277,148640,-9437,Bearish
2021-06-01,55385,57310,     287,    1403,135182,-1925,Bearish
2021-05-25,55098,55907,   -2764,    1047,134790,-809,Bearish Reversal
2021-05-18,57862,54860,   -1296,   -1882,137436,3002,Bullish Reversal
2021-05-11,59158,56742,     773,    -167,140907,2416,Bullish
2021-05-04,58385,56909,   -1350,   -4236,137649,1476,Bullish Reversal
2021-04-27,59735,61145,    3012,    2616,140736,-1410,Bullish
2021-04-20,56723,58529,   -7308,   -1743,136167,-1806,Bearish Reversal
2021-04-13,64031,60272,    1040,    1347,139633,3759,Bearish
2021-04-06,62991,58925,   -3616,    4581,137218,4066,Bearish Reversal
2021-03-30,66607,54344,    7575,    1254,137335,12263,Bullish
2021-03-23,59032,53090,    1192,    2870,133276,5942,Bearish
2021-03-16,57840,50220,   -4008,   -3553,129421,7620,Bearish Reversal
2021-03-09,61848,53773,     801,   -1233,150330,8075,Bullish
2021-03-02,61047,55006,    5383,   -2294,149904,6041,Bullish
2021-02-23,55664,57300,     989,    -196,145261,-1636,Bullish
2021-02-16,54675,57496,   -1256,    1349,140954,-2821,Bearish
2021-02-09,55931,56147,     163,   -1088,140497,-216,Bullish Reversal
2021-02-02,55768,57235,    -604,    1634,142644,-1467,Bearish Reversal
2021-01-26,56372,55601,   -3555,     534,143073,771,Bearish Reversal
2021-01-19,59927,55067,    -523,      73,144283,4860,Bearish Reversal
2021-01-12,60450,54994,     712,   -8651,144614,5456,Bullish Reversal
2021-01-05,59738,63645,    5911,    3312,146093,-3907,Bullish
2020-12-29,53827,60333,     504,    2591,138309,-6506,Bearish
2020-12-21,53323,57742,    7537,    2631,136013,-4419,Bullish
2020-12-15,45786,55111,   -4864,   -5646,127016,-9325,Bullish Reversal
2020-12-08,50650,60757,    5197,    4504,160280,-10107,Bullish
2020-12-01,45453,56253,   -6226,    -703,130727,-10800,Bearish Reversal
2020-11-24,51679,56956,    2848,    2002,131531,-5277,Bullish
2020-11-17,48831,54954,    -540,   -3137,129737,-6123,Bullish Reversal
2020-11-10,49371,58091,   -7158,     248,130615,-8720,Bearish Reversal
2020-11-03,56529,57843,   -3167,    7037,134352,-1314,Bearish
2020-10-27,59696,50806,   -1451,   -3586,130361,8890,Bullish Reversal
2020-10-20,61147,54392,   -2716,   -5617,134220,6755,Bullish Reversal
2020-10-13,63863,60009,    2484,    9477,137281,3854,Bearish
2020-10-06,61379,50532,    7563,    5653,132119,10847,Bullish
2020-09-29,53816,44879,   -6897,     505,128448,8937,Bearish Reversal
2020-09-22,60713,44374,    1026,     906,133214,16339,Bullish
2020-09-15,59687,43468,    2590,  -15673,131814,16219,Bullish Reversal
2020-09-08,57097,59141,   -1093,     786,144091,-2044,Bearish
2020-09-01,58190,58355,    7059,    3325,137131,-165,Bullish
2020-08-25,51131,55030,    2642,    3241,127505,-3899,Bearish
2020-08-18,48489,51789,    1168,     980,124931,-3300,Bullish
2020-08-11,47321,50809,    1856,    4296,122210,-3488,Bearish
2020-08-04,45465,46513,    3063,    -901,120274,-1048,Bullish
2020-07-28,42402,47414,     624,    5431,113682,-5012,Bearish
2020-07-21,41778,41983,   -3765,     690,108952,-205,Bearish
2020-07-14,45543,41293,     803,   -4141,107237,4250,Bullish
2020-07-07,44740,45434,    4715,    2501,105115,-694,Bullish
2020-06-30,40025,42933,    4051,    2149,100658,-2908,Bullish
2020-06-23,35974,40784,    4289,    2567,93782,-4810,Bullish
2020-06-16,31685,38217,    1773,  -28270,90803,-6532,Bullish Reversal
2020-06-09,29912,66487,    3341,    -875,138936,-36575,Bullish
2020-06-02,26571,67362,    1041,    1294,135378,-40791,Bearish Reversal
2020-05-26,25530,66068,     229,    1209,136920,-40538,Bearish
2020-05-19,25301,64859,    1582,    5715,132797,-39558,Bearish
2020-05-12,23719,59144,     178,    2148,129264,-35425,Bearish Reversal
2020-05-05,23541,56996,    1805,   -2481,129293,-33455,Bullish
2020-04-28,21736,59477,     284,    3205,129162,-37741,Bearish
2020-04-21,21452,56272,    -585,   -1319,126180,-34820,Bullish Reversal
2020-04-14,22037,57591,   -4446,   -4290,128258,-35554,Bearish Reversal
2020-04-07,26483,61881,    -832,    2902,130056,-35398,Bearish Reversal
2020-03-31,27315,58979,   -3709,    2748,130982,-31664,Bearish Reversal
2020-03-24,31024,56231,   -8222,  -11748,135097,-25207,Bullish Reversal
2020-03-17,39246,67979,  -10511,  -35791,149878,-28733,Bullish Reversal
2020-03-10,49757,103770,  -15089,  -13029,211243,-54013,Bearish Reversal
2020-03-03,64846,116799,    8162,   16263,223084,-51953,Bearish
2020-02-25,56684,100536,    8695,   15070,213324,-43852,Bearish
2020-02-18,47989,85466,    -199,    4610,187455,-37477,Bearish
2020-02-11,48188,80856,    -180,  -10809,177528,-32668,Bullish Reversal
2020-02-04,48368,91665,    3706,   19483,180856,-43297,Bearish
2020-01-28,44662,72182,    2303,   10522,156721,-27520,Bearish
2020-01-21,42359,61660,   -1410,   -2658,139478,-19301,Bullish Reversal
2020-01-14,43769,64318,   -8294,  -14994,144568,-20549,Bullish Reversal
2020-01-07,52063,79312,    2633,   -8457,157739,-27249,Bullish Reversal
2019-12-31,49430,87769,    9904,    2079,164305,-38339,Bullish
2019-12-24,39526,85690,    6232,    5818,155810,-46164,Bullish
2019-12-17,33294,79872,  -13320,   -3550,153504,-46578,Bearish Reversal
2019-12-10,46614,83422,  -10936,  -10561,181496,-36808,Bearish Reversal
2019-12-03,57550,93983,    4911,   -4011,185828,-36433,Bullish
2019-11-26,52639,97994,    8768,    6883,184471,-45355,Bullish
2019-11-19,43871,91111,    2610,    9041,172425,-47240,Bearish
2019-11-12,41261,82070,   -8571,    5444,160129,-40809,Bearish Reversal
2019-11-05,49832,76626,   13001,    -492,161411,-26794,Bullish
2019-10-29,36831,77118,   -1339,   -5038,153444,-40287,Bullish Reversal
2019-10-22,38170,82156,   -3992,   -7611,157200,-43986,Bullish Reversal
2019-10-15,42162,89767,   -1166,    -505,163884,-47605,Bearish Reversal
2019-10-08,43328,90272,   -3581,   -8939,168839,-46944,Bullish Reversal
2019-10-01,46909,99211,     665,    5812,171940,-52302,Bearish
2019-09-24,46244,93399,   11678,   18751,160872,-47155,Bearish
2019-09-17,34566,74648,   -2428,  -15360,138052,-40082,Bullish Reversal
2019-09-10,36994,90008,    2905,   -3399,182355,-53014,Bullish
2019-09-03,34089,93407,    2239,     525,174021,-59318,Bullish
2019-08-27,31850,92882,    -508,   -2257,165752,-61032,Bullish Reversal
2019-08-20,32358,95139,   -3946,   -4077,169175,-62781,Bullish Reversal
2019-08-13,36304,99216,   -6010,    1391,175597,-62912,Bearish Reversal
2019-08-06,42314,97825,    6864,    8933,178023,-55511,Bearish
2019-07-30,35450,88892,    5950,   11412,162988,-53442,Bearish
2019-07-23,29500,77480,   -2343,   -6939,150525,-47980,Bullish Reversal
2019-07-16,31843,84419,      -7,   -1438,157734,-52576,Bullish Reversal
2019-07-09,31850,85857,   -2990,   -7718,158794,-54007,Bullish Reversal
2019-07-02,34840,93575,    4314,   -3271,162186,-58735,Bullish Reversal
2019-06-25,30526,96846,  -12826,  -11369,164741,-66320,Bearish Reversal
2019-06-18,43352,108215,   10905,   12542,178401,-64863,Bearish Reversal
2019-06-11,32447,95673,   -3857,   -3922,198112,-63226,Bullish
2019-06-04,36304,99595,   -2349,   -5451,170251,-63291,Bullish Reversal
2019-05-28,38653,105046,   -1104,    -822,179990,-66393,Bearish Reversal
2019-05-21,39757,105868,   10627,   12692,183247,-66111,Bearish
2019-05-14,29130,93176,   -3161,    3836,165582,-64046,Bearish
2019-05-07,32291,89340,    1771,    -185,162579,-57049,Bullish
2019-04-30,30520,89525,    1766,   10322,159857,-59005,Bearish
2019-04-23,28754,79203,   -1037,    2532,142394,-50449,Bearish
2019-04-16,29791,76671,    1310,   -6226,140674,-46880,Bullish Reversal
2019-04-09,28481,82897,    1930,     603,146576,-54416,Bullish Reversal
2019-04-02,26551,82294,    3672,    5745,149828,-55743,Bearish
2019-03-26,22879,76549,    2366,    4134,141322,-53670,Bearish Reversal
2019-03-19,20513,72415,   -4927,    3276,142382,-51902,Bearish Reversal
2019-03-12,25440,69139,    2843,    5801,163073,-43699,Bearish
2019-03-05,22597,63338,    3795,    8793,141773,-40741,Bearish
2019-02-26,18802,54545,    1176,    -149,130502,-35743,Bullish
2019-02-19,17626,54694,   -1051,    1522,129223,-37068,Bearish
2019-02-12,18677,53172,    -320,   -1442,127343,-34495,Bullish
2019-02-05,18997,54614,   -2115,    1390,120590,-35617,Bearish Reversal
2019-01-29,21112,53224,    3532,    -419,121855,-32112,Bullish
2019-01-22,17580,53643,   -3449,   -5355,120516,-36063,Bullish Reversal
2019-01-15,21029,58998,   -1316,   -1122,125344,-37969,Bearish Reversal
2019-01-08,22345,60120,   -5574,    5910,127476,-37775,Bearish
2018-12-31,27919,54210,    5266,     296,122428,-26291,Bullish
2018-12-24,22653,53914,    4683,     875,117693,-31261,Bullish
2018-12-18,17970,53039,    3450,   -7012,112262,-35069,Bullish Reversal
2018-12-11,14520,60051,   -2223,   -7447,148414,-45531,Bullish Reversal
2018-12-04,16743,67498,    4575,    1427,148755,-50755,Bullish
2018-11-27,12168,66071,   -3800,   -9077,136796,-53903,Bullish Reversal
2018-11-20,15968,75148,   -2832,   -3432,141872,-59180,Bullish Reversal
2018-11-13,18800,78580,   -2025,   -8690,146295,-59780,Bullish Reversal
2018-11-06,20825,87270,   -1554,   -5521,150565,-66445,Bullish Reversal
2018-10-30,22379,92791,    2172,    2216,164840,-70412,Bearish
2018-10-23,20207,90575,     358,    -765,157539,-70368,Bullish
