As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2024-02-20,14407,16392,     159,      52,20586,-1985,Bullish
2024-02-13,14248,16340,    3472,    3223,19838,-2092,Bullish
2024-02-06,10776,13117,    3179,    3190,16080,-2341,Bearish
2024-01-30,7597,9927,   -8967,   -9914,12009,-2330,Bullish Reversal
2024-01-23,16564,19841,    3875,    3300,24261,-3277,Bullish
2024-01-16,12689,16541,    4734,    5191,20647,-3852,Bearish
2024-01-09,7955,11350,    2037,    2971,14146,-3395,Bearish
2024-01-02,5918,8379,   -3633,   -4281,10404,-2461,Bullish Reversal
2023-12-26,9551,12660,     264,     688,14634,-3109,Bearish
2023-12-19,9287,11972,    1553,    1671,13858,-2685,Bearish
2023-12-12,7734,10301,     641,     899,11848,-2567,Bearish
2023-12-05,7093,9402,    1288,    1088,11235,-2309,Bullish
2023-11-28,5805,8314,   -3246,   -3535,9584,-2509,Bullish Reversal
2023-11-21,9051,11849,    -421,    -339,14267,-2798,Bearish
2023-11-14,9472,12188,    2685,    2918,13372,-2716,Bearish
2023-11-07,6787,9270,    2296,    2542,10661,-2483,Bearish
2023-10-31,4491,6728,   -1634,   -1509,7862,-2237,Bearish Reversal
2023-10-24,6125,8237,    1761,    1663,10260,-2112,Bullish
2023-10-17,4364,6574,     420,     894,8511,-2210,Bearish
2023-10-10,3944,5680,     620,     918,7239,-1736,Bearish
2023-10-03,3324,4762,   -1032,    -682,6193,-1438,Bearish Reversal
2023-09-26,4356,5444,     176,    -221,8690,-1088,Bullish
2023-09-19,4180,5665,    -238,    -125,8102,-1485,Bearish Reversal
2023-09-12,4418,5790,      88,      48,8760,-1372,Bullish Reversal
2023-09-05,4330,5742,     129,    -147,8998,-1412,Bullish
2023-08-29,4201,5889,   -1968,   -2037,8778,-1688,Bullish Reversal
2023-08-22,6169,7926,     525,    -178,10738,-1757,Bullish
2023-08-15,5644,8104,     -51,     -44,9199,-2460,Bearish Reversal
2023-08-08,5695,8148,    -567,    -207,9344,-2453,Bearish
2023-08-01,6262,8355,   -5806,   -6141,9297,-2093,Bullish Reversal
2023-07-25,12068,14496,    2064,    1747,16416,-2428,Bullish
2023-07-18,10004,12749,    3099,    3244,13887,-2745,Bearish
2023-07-11,6905,9505,    1341,    1479,11107,-2600,Bearish
2023-07-03,5564,8026,    -499,    -993,9138,-2462,Bullish Reversal
2023-06-27,6063,9019,     528,    1464,10700,-2956,Bearish
2023-06-20,5535,7555,     850,    1395,9173,-2020,Bearish
2023-06-13,4685,6160,     178,      95,7915,-1475,Bullish
2023-06-06,4507,6065,     704,     522,7600,-1558,Bullish
2023-05-30,3803,5543,   -2596,   -2412,6569,-1740,Bearish Reversal
2023-05-23,6399,7955,      76,     155,10042,-1556,Bearish Reversal
2023-05-16,6323,7800,     408,     -65,10506,-1477,Bullish
2023-05-09,5915,7865,    1604,    1896,9449,-1950,Bearish
2023-05-02,4311,5969,   -2958,   -2718,7502,-1658,Bearish Reversal
2023-04-25,7269,8687,    1471,     869,10656,-1418,Bullish
2023-04-18,5798,7818,     892,     978,9761,-2020,Bearish
2023-04-11,4906,6840,     823,    1106,8928,-1934,Bearish
2023-04-04,4083,5734,   -6725,   -6227,7572,-1651,Bearish Reversal
2023-03-28,10808,11961,     945,     770,15181,-1153,Bullish
2023-03-21,9863,11191,    1620,    2350,13339,-1328,Bearish
2023-03-14,8243,8841,    1468,    1139,11001,-598,Bullish
2023-03-07,6775,7702,    1545,    1727,9440,-927,Bearish
2023-02-28,5230,5975,   -4569,   -4818,7822,-745,Bullish Reversal
2023-02-21,9799,10793,     630,     673,13505,-994,Bearish
2023-02-14,9169,10120,     889,     397,12060,-951,Bullish
2023-02-07,8280,9723,    5268,    5308,11301,-1443,Bearish
2023-01-31,3012,4415,   -2377,   -2424,5776,-1403,Bullish Reversal
2023-01-24,5389,6839,     895,    1046,8788,-1450,Bearish
2023-01-17,4494,5793,     417,     331,7930,-1299,Bullish
2023-01-10,4077,5462,     577,    1046,7262,-1385,Bearish
2023-01-03,3500,4416,   -4530,   -3592,6429,-916,Bearish Reversal
2022-12-27,8030,8008,    -449,     443,11146,22,Bearish Reversal
2022-12-20,8479,7565,     990,    1096,12145,914,Bearish
2022-12-13,7489,6469,   -1392,    -503,11142,1020,Bearish Reversal
2022-12-06,8881,6972,    -715,      56,12461,1909,Bearish Reversal
2022-11-29,9596,6916,  -13462,   -7618,13112,2680,Bearish Reversal
2022-11-22,23058,14534,     572,    1269,27552,8524,Bearish
2022-11-15,22486,13265,    5517,    5190,27287,9221,Bullish
2022-11-08,16969,8075,    2247,    2191,20870,8894,Bullish
2022-11-01,14722,5884,   -2208,   -2462,19130,8838,Bullish Reversal
2022-10-25,16930,8346,    -968,    -139,23882,8584,Bearish
2022-10-18,17898,8485,    1582,    1342,22416,9413,Bullish
2022-10-11,16316,7143,   -1068,   -1646,20173,9173,Bullish Reversal
2022-10-04,17384,8789,   -1624,    -989,20839,8595,Bearish Reversal
2022-09-27,19008,9778,     941,     -32,22790,9230,Bullish
2022-09-20,18067,9810,    3046,    1559,22595,8257,Bullish
2022-09-13,15021,8251,    1793,    1422,19504,6770,Bullish
2022-09-06,13228,6829,    1680,    -424,17904,6399,Bullish
2022-08-30,11548,7253,   -6992,   -7963,16342,4295,Bullish Reversal
2022-08-23,18540,15216,    5570,    4451,24932,3324,Bullish
2022-08-16,12970,10765,    -418,    -497,19379,2205,Bullish Reversal
2022-08-09,13388,11262,    1282,    1437,19394,2126,Bearish
2022-08-02,12106,9825,    -759,    -473,18206,2281,Bearish Reversal
2022-07-26,12865,10298,   -1475,   -2529,22196,2567,Bullish
2022-07-19,14340,12827,    -187,    1033,21484,1513,Bearish
2022-07-12,14527,11794,    4517,    5091,20634,2733,Bearish
2022-07-05,10010,6703,     444,    -346,15400,3307,Bullish
2022-06-28,9566,7049,   -6906,   -7706,15123,2517,Bullish Reversal
2022-06-21,16472,14755,     775,    1675,21850,1717,Bearish
2022-06-14,15697,13080,    4538,    4537,20756,2617,Bullish
2022-06-07,11159,8543,    2663,    2733,15437,2616,Bearish
2022-05-31,8496,5810,   -8882,   -7712,12161,2686,Bearish Reversal
2022-05-24,17378,13522,    2339,    1084,25340,3856,Bullish
2022-05-17,15039,12438,    2739,    2461,19877,2601,Bullish
2022-05-10,12300,9977,    5989,    5154,17355,2323,Bullish
2022-05-03,6311,4823,  -10614,  -11947,10914,1488,Bullish Reversal
2022-04-26,16925,16770,     157,    -855,20840,155,Bullish Reversal
2022-04-19,16768,17625,    -881,    -305,20968,-857,Bearish Reversal
2022-04-12,17649,17930,    6553,    5995,21609,-281,Bullish
2022-04-05,11096,11935,     218,      37,15386,-839,Bullish
2022-03-29,10878,11898,   -4426,   -4278,15095,-1020,Bearish Reversal
2022-03-22,15304,16176,    5374,    6448,25583,-872,Bearish
2022-03-15,9930,9728,    3383,    3553,15578,202,Bearish
2022-03-08,6547,6175,   -1210,   -2222,12031,372,Bullish Reversal
2022-03-01,7757,8397,   -1695,   -1174,12364,-640,Bearish Reversal
2022-02-22,9452,9571,    -401,   -1440,16623,-119,Bullish Reversal
2022-02-15,9853,11011,    3021,    3401,16663,-1158,Bearish
2022-02-08,6832,7610,    -796,      71,12929,-778,Bearish
2022-02-01,7628,7539,  -17337,  -18213,12153,89,Bullish Reversal
2022-01-25,24965,25752,     614,     509,31706,-787,Bullish
2022-01-18,24351,25243,     827,    -389,30778,-892,Bullish
2022-01-11,23524,25632,   14816,   14948,30142,-2108,Bearish
2022-01-04,8708,10684,  -19886,  -21074,16821,-1976,Bullish Reversal
2021-12-28,28594,31758,      68,     875,41281,-3164,Bearish Reversal
2021-12-21,28526,30883,    4795,    3820,42418,-2357,Bullish
2021-12-14,23731,27063,    3306,    1896,41265,-3332,Bullish
2021-12-07,20425,25167,   13907,   14089,36875,-4742,Bearish
2021-11-30,6518,11078,  -19091,  -19985,16817,-4560,Bullish Reversal
2021-11-23,25609,31063,    4866,    5532,39611,-5454,Bearish
2021-11-16,20743,25531,    4836,    4824,28752,-4788,Bullish
2021-11-09,15907,20707,    2162,    2861,24109,-4800,Bearish
2021-11-02,13745,17846,  -40645,  -39831,21425,-4101,Bearish Reversal
2021-10-26,54390,57677,    4122,    5777,65656,-3287,Bearish
2021-10-19,50268,51900,    9973,   10277,61604,-1632,Bearish
2021-10-12,40295,41623,   14186,   13789,50937,-1328,Bullish
2021-10-05,26109,27834,    5271,    5116,36142,-1725,Bullish
2021-09-28,20838,22718,    3089,    2239,26423,-1880,Bullish
2021-09-21,17749,20479,    1317,     868,25615,-2730,Bullish
2021-09-14,16432,19611,    1517,     380,25482,-3179,Bullish
2021-09-07,14915,19231,    7482,    8667,22540,-4316,Bearish
2021-08-31,7433,10564,   -4595,   -4595,14637,-3131,No signal
2021-08-24,12028,15159,    -578,    -405,22285,-3131,Bearish Reversal
2021-08-17,12606,15564,     901,     581,24067,-2958,Bullish
2021-08-10,11705,14983,    3404,    3069,19439,-3278,Bullish
2021-08-03,8301,11914,   -2995,   -3666,14072,-3613,Bullish Reversal
2021-07-27,11296,15580,   -1937,   -1646,19506,-4284,Bearish Reversal
2021-07-20,13233,17226,    1458,    1279,19719,-3993,Bullish
2021-07-13,11775,15947,    2110,    1303,17959,-4172,Bullish
2021-07-06,9665,14644,     626,     942,16228,-4979,Bearish
2021-06-29,9039,13702,   -2171,   -3446,15481,-4663,Bullish Reversal
2021-06-22,11210,17148,    6834,    8991,28720,-5938,Bearish
2021-06-15,4376,8157,   -3862,   -4788,18230,-3781,Bullish Reversal
2021-06-08,8238,12945,    2624,    3106,21144,-4707,Bearish
2021-06-01,5614,9839,  -25826,  -23682,13050,-4225,Bearish Reversal
2021-05-25,31440,33521,    2241,    3702,37049,-2081,Bearish
2021-05-18,29199,29819,   26585,   26232,32865,-620,Bullish
2021-05-11,2614,3587,     267,    1337,5203,-973,Bearish
2021-05-04,2347,2250,.,.,2965,97,No signal
