As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Net Positions,Interpretation
2022-06-14,25085,22871,   -1919,    1800,66613,2214,Bearish
2022-06-07,27004,21071,    -222,   -3792,65295,5933,Bullish Reversal
2022-05-31,27226,24863,    1174,     296,67964,2363,Bullish
2022-05-24,26052,24567,   -2201,   -1483,65824,1485,Bearish Reversal
2022-05-17,28253,26050,    -521,   -1361,65926,2203,Bullish Reversal
2022-05-10,28774,27411,    -742,   -3646,66064,1363,Bullish Reversal
2022-05-03,29516,31057,    1395,     579,66545,-1541,Bullish Reversal
2022-04-26,28121,30478,    -172,    9722,67591,-2357,Bearish
2022-04-19,28293,20756,    -251,   -1373,61603,7537,Bullish Reversal
2022-04-12,28544,22129,    -283,    4592,63363,6415,Bearish
2022-04-05,28827,17537,    -758,    1953,60983,11290,Bearish Reversal
2022-03-29,29585,15584,   -2599,    3215,61807,14001,Bearish Reversal
2022-03-22,32184,12369,   -1649,   -3532,64000,19815,Bullish Reversal
2022-03-15,33833,15901,   -7925,     -24,67727,17932,Bearish Reversal
2022-03-08,41758,15925,    7856,   -1087,72496,25833,Bullish
2022-03-01,33902,17012,    1440,    2090,65383,16890,Bearish
2022-02-22,32462,14922,    4245,   -3163,62274,17540,Bullish
2022-02-15,28217,18085,      83,    1710,59897,10132,Bearish
2022-02-08,28134,16375,     -37,    2785,58766,11759,Bearish
2022-02-01,28171,13590,     742,     -47,53898,14581,Bullish
2022-01-25,27429,13637,     125,   -6438,53390,13792,Bullish Reversal
2022-01-18,27304,20075,    -447,   -2387,57321,7229,Bullish Reversal
2022-01-11,27751,22462,      71,    1544,59061,5289,Bearish
2022-01-04,27680,20918,     547,   -1746,58275,6762,Bullish Reversal
2021-12-28,27133,22664,   -1169,   -4370,60353,4469,Bullish Reversal
2021-12-21,28302,27034,     449,    2912,64732,1268,Bearish Reversal
2021-12-14,27853,24122,     797,    3128,66300,3731,Bearish
2021-12-07,27056,20994,   -1352,    1534,65134,6062,Bearish
2021-11-30,28408,19460,   -2046,    2141,62385,8948,Bearish
2021-11-23,30454,17319,   -2812,    5066,61553,13135,Bearish Reversal
2021-11-16,33266,12253,    3006,    -377,62284,21013,Bullish
2021-11-09,30260,12630,    1390,    -876,57866,17630,Bullish
2021-11-02,28870,13506,    -575,   -1037,56508,15364,Bullish Reversal
2021-10-26,29445,14543,   -1472,   -1530,58161,14902,Bullish Reversal
2021-10-19,30917,16073,    -794,   -4719,58570,14844,Bullish Reversal
2021-10-12,31711,20792,    -703,   -6107,59344,10919,Bullish Reversal
2021-10-05,32414,26899,     506,     644,62109,5515,Bearish Reversal
2021-09-28,31908,26255,   -1322,   -5757,62551,5653,Bullish Reversal
2021-09-21,33230,32012,    -419,   -2704,73415,1218,Bullish Reversal
2021-09-14,33649,34716,    1466,    8882,75870,-1067,Bearish
2021-09-07,32183,25834,   -1230,     478,69024,6349,Bearish
2021-08-31,33413,25356,     371,    1457,67072,8057,Bearish
2021-08-24,33042,23899,     918,     133,63828,9143,Bullish
2021-08-17,32124,23766,     557,   -1982,62569,8358,Bullish Reversal
2021-08-10,31567,25748,     832,    3817,64271,5819,Bearish
2021-08-03,30735,21931,     216,    3207,61085,8804,Bearish
2021-07-27,30519,18724,    1990,    2308,59378,11795,Bearish
2021-07-20,28529,16416,    -465,    2783,57661,12113,Bearish
2021-07-13,28994,13633,     604,   -1181,56142,15361,Bullish
2021-07-06,28390,14814,   -1751,    -583,55441,13576,Bearish Reversal
2021-06-29,30141,15397,   -1689,   -3493,58265,14744,Bullish Reversal
2021-06-22,31830,18890,   -4915,    2202,63276,12940,Bearish Reversal
2021-06-15,36745,16688,    -972,    -865,64994,20057,Bearish Reversal
2021-06-08,37717,17553,   -1346,    2535,66649,20164,Bearish Reversal
2021-06-01,39063,15018,     875,    -183,67551,24045,Bullish
2021-05-25,38188,15201,    -686,    2141,67247,22987,Bearish
2021-05-18,38874,13060,    -864,     589,66761,25814,Bearish
2021-05-11,39738,12471,    -156,     808,66115,27267,Bearish
2021-05-04,39894,11663,    -602,     463,64855,28231,Bearish Reversal
2021-04-27,40496,11200,    3281,    -330,65211,29296,Bullish
2021-04-20,37215,11530,    -675,   -1728,63613,25685,Bullish Reversal
2021-04-13,37890,13258,   -5731,    2385,65661,24632,Bearish Reversal
2021-04-06,43621,10873,    2604,     462,68108,32748,Bullish
2021-03-30,41017,10411,     103,    -277,67480,30606,Bullish Reversal
2021-03-23,40914,10688,   -1771,    -554,73324,30226,Bearish Reversal
2021-03-16,42685,11242,    1889,   -1517,74810,31443,Bullish
2021-03-09,40796,12759,   -1964,     532,71411,28037,Bearish Reversal
2021-03-02,42760,12227,   -4143,     291,72681,30533,Bearish Reversal
2021-02-23,46903,11936,   -1334,     276,73964,34967,Bearish Reversal
2021-02-16,48237,11660,     707,     330,74780,36577,Bullish
2021-02-09,47530,11330,    7278,    1288,72051,36200,Bullish
2021-02-02,40252,10042,    2065,    1393,64701,30210,Bullish
2021-01-26,38187,8649,    2352,     700,62530,29538,Bullish
2021-01-19,35835,7949,    -883,   -1310,59812,27886,Bullish Reversal
2021-01-12,36718,9259,    -594,    -431,59893,27459,Bearish Reversal
2021-01-05,37312,9690,    2084,     291,61185,27622,Bullish
2020-12-29,35228,9399,    -563,   -1687,59399,25829,Bullish Reversal
2020-12-21,35791,11086,   -1133,    -762,65012,24705,Bearish Reversal
2020-12-15,36924,11848,     625,      51,65881,25076,Bullish
2020-12-08,36299,11797,    3246,     770,63572,24502,Bullish
2020-12-01,33053,11027,    3017,    -244,57970,22026,Bullish
2020-11-24,30036,11271,     541,   -2052,54647,18765,Bullish
2020-11-17,29495,13323,    2517,   -2056,54077,16172,Bullish
2020-11-10,26978,15379,     513,   -1323,51624,11599,Bullish
2020-11-03,26465,16702,   -1182,    -894,51034,9763,Bearish Reversal
2020-10-27,27647,17596,    1052,   -1174,52138,10051,Bullish Reversal
2020-10-20,26595,18770,     476,    1562,52199,7825,Bearish
2020-10-13,26119,17208,   -1006,   -1322,51258,8911,Bullish Reversal
2020-10-06,27125,18530,      71,    1300,51995,8595,Bearish Reversal
2020-09-29,27054,17230,   -3364,   -2928,55680,9824,Bearish Reversal
2020-09-22,30418,20158,   -4749,    4428,60004,10260,Bearish Reversal
2020-09-15,35167,15730,    2607,   -1559,61778,19437,Bullish
2020-09-08,32560,17289,   -2500,    1684,59711,15271,Bearish Reversal
2020-09-01,35060,15605,     266,     724,60538,19455,Bearish
2020-08-25,34794,14881,    -864,    1035,57831,19913,Bearish Reversal
2020-08-18,35658,13846,     847,    1307,58525,21812,Bearish
2020-08-11,34811,12539,    1407,   -1359,56900,22272,Bullish
2020-08-04,33404,13898,      62,    2968,55647,19506,Bearish
2020-07-28,33342,10930,    2088,      88,54525,22412,Bullish
2020-07-21,31254,10842,    4143,      35,52071,20412,Bullish
2020-07-14,27111,10807,    -569,     442,48016,16304,Bearish Reversal
2020-07-07,27680,10365,     955,    -512,49143,17315,Bullish
2020-06-30,26725,10877,     951,    2866,47837,15848,Bearish
2020-06-23,25774,8011,    -594,     754,47275,17763,Bearish Reversal
2020-06-16,26368,7257,   -1002,    -398,49916,19111,Bearish Reversal
2020-06-09,27370,7655,   -1275,     602,50811,19715,Bearish Reversal
2020-06-02,28645,7053,   -1279,     152,52788,21592,Bearish
2020-05-26,29924,6901,    -747,   -1757,51559,23023,Bullish Reversal
2020-05-19,30671,8658,    2418,   -1440,51652,22013,Bullish
2020-05-12,28253,10098,    -386,    -295,49942,18155,Bearish Reversal
2020-05-05,28639,10393,     -28,    -940,50327,18246,Bullish Reversal
2020-04-28,28667,11333,    2192,     145,50982,17334,Bullish
2020-04-21,26475,11188,   -2651,    -142,49300,15287,Bearish Reversal
2020-04-14,29126,11330,   -1433,    -208,53142,17796,Bearish Reversal
2020-04-07,30559,11538,    -492,     335,54044,19021,Bearish Reversal
2020-03-31,31051,11203,   -2156,     292,54148,19848,Bearish Reversal
2020-03-24,33207,10911,   -4611,     740,63571,22296,Bearish Reversal
2020-03-17,37818,10171,   -8450,   -2850,66275,27647,Bearish Reversal
2020-03-10,46268,13021,   -3663,   -2873,76017,33247,Bearish Reversal
2020-03-03,49931,15894,  -14042,    2122,82051,34037,Bearish Reversal
2020-02-25,63973,13772,   -8086,    3328,97626,50201,Bearish Reversal
2020-02-18,72059,10444,     321,     546,102384,61615,Bearish
2020-02-11,71738,9898,   -1242,    -302,100624,61840,Bearish Reversal
2020-02-04,72980,10200,   -4460,     356,101276,62780,Bearish Reversal
2020-01-28,77440,9844,    -512,    -717,105456,67596,Bullish Reversal
2020-01-21,77952,10561,    1485,   -1381,105936,67391,Bullish
2020-01-14,76467,11942,    2883,     639,104943,64525,Bullish
2020-01-07,73584,11303,    2009,    1891,102495,62281,Bullish
2019-12-31,71575,9412,    4527,   -1144,99045,62163,Bullish
2019-12-24,67048,10556,    1875,    -341,98176,56492,Bullish Reversal
2019-12-17,65173,10897,    4927,     228,98962,54276,Bullish
2019-12-10,60246,10669,    3499,    -549,94869,49577,Bullish
2019-12-03,56747,11218,     904,     444,90939,45529,Bullish
2019-11-26,55843,10774,     510,   -2474,90498,45069,Bullish
2019-11-19,55333,13248,   -1044,   -4670,88395,42085,Bullish Reversal
2019-11-12,56377,17918,   -3827,    3409,90681,38459,Bearish Reversal
2019-11-05,60204,14509,    3479,      81,91799,45695,Bullish
2019-10-29,56725,14428,    1383,   -5198,88022,42297,Bullish
2019-10-22,55342,19626,    1399,    -716,86338,35716,Bullish
2019-10-15,53943,20342,    1726,   -5061,85759,33601,Bullish
2019-10-08,52217,25403,   -1150,   -1366,84222,26814,Bullish Reversal
2019-10-01,53367,26769,   -5986,    2395,85115,26598,Bearish Reversal
2019-09-24,59353,24374,     813,    -518,91821,34979,Bullish Reversal
2019-09-17,58540,24892,      -5,    1266,98283,33648,Bearish
2019-09-10,58545,23626,     668,   -1092,94478,34919,Bullish
2019-09-03,57877,24718,   10894,     722,88697,33159,Bullish
2019-08-27,46983,23996,    1329,   -2043,78397,22987,Bullish
2019-08-20,45654,26039,    -451,    1610,77468,19615,Bearish
2019-08-13,46105,24429,    1894,    2162,77101,21676,Bearish
2019-08-06,44211,22267,   -2373,    1451,75607,21944,Bearish Reversal
2019-07-30,46584,20816,   -1095,   -5973,76346,25768,Bullish Reversal
2019-07-23,47679,26789,    2306,   -2992,77025,20890,Bullish
2019-07-16,45373,29781,     207,   -8692,76824,15592,Bullish Reversal
2019-07-09,45166,38473,   -2675,     -71,78771,6693,Bearish Reversal
2019-07-02,47841,38544,    -790,   -8101,80391,9297,Bullish Reversal
2019-06-25,48631,46645,    1834,    1818,88101,1986,Bullish Reversal
2019-06-18,46797,44827,    -539,    4443,90782,1970,Bearish
2019-06-11,47336,40384,    -781,    -664,86371,6952,Bearish
2019-06-04,48117,41048,     516,    1338,83492,7069,Bearish
2019-05-28,47601,39710,    1427,    9026,83398,7891,Bearish
2019-05-21,46174,30684,    1437,   11697,78838,15490,Bearish
2019-05-14,44737,18987,   -1120,    1823,75331,25750,Bearish
2019-05-07,45857,17164,   -2331,    2298,74901,28693,Bearish Reversal
2019-04-30,48188,14866,    1045,   -1197,75798,33322,Bullish
2019-04-23,47143,16063,     803,     834,75277,31080,Bearish
2019-04-16,46340,15229,    -808,     -75,73727,31111,Bearish Reversal
2019-04-09,47148,15304,    5684,   -2805,74605,31844,Bullish
2019-04-02,41464,18109,   -1887,   -1035,68064,23355,Bearish Reversal
2019-03-26,43351,19144,     147,   -6479,72073,24207,Bullish Reversal
2019-03-19,43204,25623,     649,    -584,75915,17581,Bullish Reversal
2019-03-12,42555,26207,   -1224,    3891,77461,16348,Bearish Reversal
2019-03-05,43779,22316,   -3866,   -9584,77483,21463,Bullish Reversal
2019-02-26,47645,31900,    -243,  -14441,79606,15745,Bullish Reversal
2019-02-19,47888,46341,    2474,    -679,83413,1547,Bullish Reversal
2019-02-12,45414,47020,     494,    8094,85394,-1606,Bearish
2019-02-05,44920,38926,   -1396,   -2773,80894,5994,Bullish Reversal
2019-01-29,46316,41699,   -1535,   -3717,82259,4617,Bullish Reversal
2019-01-22,47851,45416,    -315,    4979,85889,2435,Bearish
2019-01-15,48166,40437,   -3831,     426,83822,7729,Bearish Reversal
2019-01-08,51997,40011,    1728,    2199,86645,11986,Bearish
2018-12-31,50269,37812,    2934,    2147,82828,12457,Bullish
2018-12-24,47335,35665,     354,      71,81640,11670,Bullish Reversal
2018-12-18,46981,35594,   -1278,   -1674,82939,11387,Bullish
2018-12-11,48259,37268,    2249,    5884,82550,10991,Bearish
2018-12-04,46010,31384,    1041,    9230,76828,14626,Bearish
2018-11-27,44969,22154,    1975,     945,72373,22815,Bullish
2018-11-20,42994,21209,    -238,     -32,69800,21785,Bearish Reversal
2018-11-13,43232,21241,   -2805,    -872,70152,21991,Bearish Reversal
2018-11-06,46037,22113,    2528,   -6673,74364,23924,Bullish Reversal
2018-10-30,43509,28786,    2011,   -1050,75001,14723,Bullish
2018-10-23,41498,29836,   -1632,    -214,74436,11662,Bearish Reversal
2018-10-16,43130,30050,    2192,   -2662,75547,13080,Bullish
2018-10-09,40938,32712,      69,   -1108,74067,8226,Bullish
2018-10-02,40869,33820,    1842,   -2517,73139,7049,Bullish Reversal
2018-09-25,39027,36337,   -2920,   -7820,75991,2690,Bullish Reversal
2018-09-18,41947,44157,     795,   -4563,88533,-2210,Bullish Reversal
2018-09-11,41152,48720,    1706,   -2642,93273,-7568,Bullish
2018-09-04,39446,51362,    1197,    2137,89546,-11916,Bearish
2018-08-28,38249,49225,    -538,    -554,85221,-10976,Bullish
2018-08-21,38787,49779,   -2060,   -1250,84057,-10992,Bearish
2018-08-14,40847,51029,    2091,    4130,83991,-10182,Bearish
2018-08-07,38756,46899,   -2660,   -2700,79082,-8143,Bullish Reversal
