,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
36,SILVER - COMMODITY EXCHANGE INC.,2024-04-23,86178,26838,    3763,   -2218,175740,     -44,59340,5981.0
37,SILVER - COMMODITY EXCHANGE INC.,2024-04-16,82415,29056,   -2411,   -2558,175784,    1387,53359,147.0
38,SILVER - COMMODITY EXCHANGE INC.,2024-04-09,84826,31614,    1261,    1196,174397,    7574,53212,65.0
39,SILVER - COMMODITY EXCHANGE INC.,2024-04-02,83565,30418,    2844,     533,166823,    6496,53147,2311.0
40,SILVER - COMMODITY EXCHANGE INC.,2024-03-26,80721,29885,    3089,    4688,160327,    7173,50836,-1599.0
41,SILVER - COMMODITY EXCHANGE INC.,2024-03-19,77632,25197,   10538,    -919,153154,    8620,52435,11457.0
42,SILVER - COMMODITY EXCHANGE INC.,2024-03-12,67094,26116,    8209,   -4454,144534,    3508,40978,12663.0
43,SILVER - COMMODITY EXCHANGE INC.,2024-03-05,58885,30570,    4339,   -9477,141026,   -3356,28315,13816.0
44,SILVER - COMMODITY EXCHANGE INC.,2024-02-27,54546,40047,   -3036,    4842,144382,   -2202,14499,-7878.0
45,SILVER - COMMODITY EXCHANGE INC.,2024-02-20,57582,35205,     797,   -9155,146584,   -5960,22377,9952.0
46,SILVER - COMMODITY EXCHANGE INC.,2024-02-13,56785,44360,    1450,    5905,152544,    5211,12425,-4455.0
47,SILVER - COMMODITY EXCHANGE INC.,2024-02-06,55335,38455,    2557,    7103,147333,   10789,16880,-4546.0
48,SILVER - COMMODITY EXCHANGE INC.,2024-01-30,52778,31352,    -343,   -4032,136544,   -2073,21426,3689.0
49,SILVER - COMMODITY EXCHANGE INC.,2024-01-23,53121,35384,    -880,    6976,138617,    6661,17737,-7856.0
50,SILVER - COMMODITY EXCHANGE INC.,2024-01-16,54001,28408,    1115,    1884,131956,     -36,25593,-769.0
51,SILVER - COMMODITY EXCHANGE INC.,2024-01-09,52886,26524,   -4748,    1460,131992,   -2733,26362,-6208.0
52,SILVER - COMMODITY EXCHANGE INC.,2024-01-02,57634,25064,    3075,    2368,134725,    3317,32570,707.0
53,SILVER - COMMODITY EXCHANGE INC.,2023-12-26,54559,22696,    1928,    -184,131408,    3859,31863,2112.0
54,SILVER - COMMODITY EXCHANGE INC.,2023-12-19,52631,22880,   -3053,   -4346,127549,   -6732,29751,1293.0
55,SILVER - COMMODITY EXCHANGE INC.,2023-12-12,55684,27226,   -7557,     288,134281,   -5472,28458,-7845.0
56,SILVER - COMMODITY EXCHANGE INC.,2023-12-05,63241,26938,     361,   -1662,139753,     609,36303,2023.0
57,SILVER - COMMODITY EXCHANGE INC.,2023-11-28,62880,28600,    9508,    2680,139144,    4811,34280,6828.0
58,SILVER - COMMODITY EXCHANGE INC.,2023-11-21,53372,25920,    3081,   -1973,134333,    -493,27452,5054.0
59,SILVER - COMMODITY EXCHANGE INC.,2023-11-14,50291,27893,    3095,   -1050,134826,    3753,22398,4145.0
60,SILVER - COMMODITY EXCHANGE INC.,2023-11-07,47196,28943,    -829,    1129,131073,    4524,18253,-1958.0
61,SILVER - COMMODITY EXCHANGE INC.,2023-10-31,48025,27814,   -3835,     286,126549,    2569,20211,-4121.0
62,SILVER - COMMODITY EXCHANGE INC.,2023-10-24,51860,27528,    1111,   -3475,123980,     340,24332,4586.0
63,SILVER - COMMODITY EXCHANGE INC.,2023-10-17,50749,31003,     412,   -7035,123640,   -3331,19746,7447.0
64,SILVER - COMMODITY EXCHANGE INC.,2023-10-10,50337,38038,   -1068,    1977,126971,    1124,12299,-3045.0
65,SILVER - COMMODITY EXCHANGE INC.,2023-10-03,51405,36061,    -134,    4627,125847,    -359,15344,-4761.0
66,SILVER - COMMODITY EXCHANGE INC.,2023-09-26,51539,31434,     840,   -4034,126206,     457,20105,4874.0
67,SILVER - COMMODITY EXCHANGE INC.,2023-09-19,50699,35468,   -2264,     538,125749,     457,15231,-2802.0
68,SILVER - COMMODITY EXCHANGE INC.,2023-09-12,52963,34930,   -4595,    4176,125292,   -2987,18033,-8771.0
69,SILVER - COMMODITY EXCHANGE INC.,2023-09-05,57558,30754,   -4186,   -3857,128279,   -6714,26804,-329.0
70,SILVER - COMMODITY EXCHANGE INC.,2023-08-29,61744,34611,    8777,   -5479,134993,   -1687,27133,14256.0
71,SILVER - COMMODITY EXCHANGE INC.,2023-08-22,52967,40090,    2275,   -2741,136680,   -1535,12877,5016.0
72,SILVER - COMMODITY EXCHANGE INC.,2023-08-15,50692,42831,   -3089,    2374,138215,     584,7861,-5463.0
73,SILVER - COMMODITY EXCHANGE INC.,2023-08-08,53781,40457,  -14682,    2825,137631,   -6507,13324,-17507.0
74,SILVER - COMMODITY EXCHANGE INC.,2023-08-01,68463,37632,   -4323,    1771,144138,   -2760,30831,-6094.0
75,SILVER - COMMODITY EXCHANGE INC.,2023-07-25,72786,35861,   -3634,    3303,146898,      35,36925,-6937.0
76,SILVER - COMMODITY EXCHANGE INC.,2023-07-18,76420,32558,   25115,    1545,146863,   26581,43862,23570.0
77,SILVER - COMMODITY EXCHANGE INC.,2023-07-11,51305,31013,    4872,    2570,120282,    5861,20292,2302.0
78,SILVER - COMMODITY EXCHANGE INC.,2023-07-03,46433,28443,     450,    1512,114421,   -9070,17990,-1062.0
79,SILVER - COMMODITY EXCHANGE INC.,2023-06-27,45983,26931,   -6564,   -5558,123491,  -29142,19052,-1006.0
80,SILVER - COMMODITY EXCHANGE INC.,2023-06-20,52547,32489,   -2507,    1171,152633,   -1220,20058,-3678.0
81,SILVER - COMMODITY EXCHANGE INC.,2023-06-13,55054,31318,    1905,    -356,153853,   15982,23736,2261.0
82,SILVER - COMMODITY EXCHANGE INC.,2023-06-06,53149,31674,   -1688,   -2039,137871,    4252,21475,351.0
83,SILVER - COMMODITY EXCHANGE INC.,2023-05-30,54837,33713,   -1849,   -1015,133619,   -2121,21124,-834.0
84,SILVER - COMMODITY EXCHANGE INC.,2023-05-23,56686,34728,   -3754,   -1897,135740,   -4399,21958,-1857.0
85,SILVER - COMMODITY EXCHANGE INC.,2023-05-16,60440,36625,   -8726,    -181,140139,   -5306,23815,-8545.0
86,SILVER - COMMODITY EXCHANGE INC.,2023-05-09,69166,36806,     947,     539,145445,    2907,32360,408.0
87,SILVER - COMMODITY EXCHANGE INC.,2023-05-02,68219,36267,    2074,     725,142538,   -7154,31952,1349.0
88,SILVER - COMMODITY EXCHANGE INC.,2023-04-25,66145,35542,    3177,    -831,149692,   -8679,30603,4008.0
89,SILVER - COMMODITY EXCHANGE INC.,2023-04-18,62968,36373,    7385,    4508,158371,   15672,26595,2877.0
90,SILVER - COMMODITY EXCHANGE INC.,2023-04-11,55583,31865,    5256,    2821,142699,   11489,23718,2435.0
91,SILVER - COMMODITY EXCHANGE INC.,2023-04-04,50327,29044,    8073,     151,131210,   13815,21283,7922.0
92,SILVER - COMMODITY EXCHANGE INC.,2023-03-28,42254,28893,     929,   -8970,117395,   -1687,13361,9899.0
93,SILVER - COMMODITY EXCHANGE INC.,2023-03-21,41325,37863,    -902,   -5583,119082,   -2690,3462,4681.0
94,SILVER - COMMODITY EXCHANGE INC.,2023-03-14,42227,43446,    -676,   -7239,121772,   -5731,-1219,6563.0
95,SILVER - COMMODITY EXCHANGE INC.,2023-03-07,42903,50685,   -1299,    6429,127503,    3603,-7782,-7728.0
96,SILVER - COMMODITY EXCHANGE INC.,2023-02-28,44202,44256,    -783,    9173,123900,      -6,-54,-9956.0
97,SILVER - COMMODITY EXCHANGE INC.,2023-02-21,44985,35083,   -1043,     561,123906,   -8226,9902,-1604.0
98,SILVER - COMMODITY EXCHANGE INC.,2023-02-14,46028,34522,   -2093,     -68,132132,   -1469,11506,-2025.0
99,SILVER - COMMODITY EXCHANGE INC.,2023-02-07,48121,34590,   -6746,    7039,133601,   -4662,13531,-13785.0
100,SILVER - COMMODITY EXCHANGE INC.,2023-01-31,54867,27551,    -728,   -2360,138263,    3341,27316,1632.0
101,SILVER - COMMODITY EXCHANGE INC.,2023-01-24,55595,29911,   -1844,    3940,134922,    3060,25684,-5784.0
102,SILVER - COMMODITY EXCHANGE INC.,2023-01-17,57439,25971,     669,   -1786,131862,    1901,31468,2455.0
103,SILVER - COMMODITY EXCHANGE INC.,2023-01-10,56770,27757,   -1031,     890,129961,   -2029,29013,-1921.0
104,SILVER - COMMODITY EXCHANGE INC.,2023-01-03,57801,26867,    1931,    2024,131990,    3523,30934,-93.0
105,SILVER - COMMODITY EXCHANGE INC.,2022-12-27,55870,24843,    -294,   -1559,128467,    -811,31027,1265.0
106,SILVER - COMMODITY EXCHANGE INC.,2022-12-20,56164,26402,    4759,   -2184,129278,    3723,29762,6943.0
107,SILVER - COMMODITY EXCHANGE INC.,2022-12-13,51405,28586,    2451,   -1160,125555,    2997,22819,3611.0
108,SILVER - COMMODITY EXCHANGE INC.,2022-12-06,48954,29746,     513,   -1212,122558,    1300,19208,1725.0
109,SILVER - COMMODITY EXCHANGE INC.,2022-11-29,48441,30958,   -2099,   -2816,121258,   -7649,17483,717.0
110,SILVER - COMMODITY EXCHANGE INC.,2022-11-22,50540,33774,   -2152,   -1311,128907,  -12716,16766,-841.0
111,SILVER - COMMODITY EXCHANGE INC.,2022-11-15,52692,35085,    -959,   -5563,141623,    1186,17607,4604.0
112,SILVER - COMMODITY EXCHANGE INC.,2022-11-08,53651,40648,    2365,   -9114,140437,    1562,13003,11479.0
113,SILVER - COMMODITY EXCHANGE INC.,2022-11-01,51286,49762,     123,   -1502,138875,    -210,1524,1625.0
114,SILVER - COMMODITY EXCHANGE INC.,2022-10-25,51163,51264,    -378,     990,139085,    3030,-101,-1368.0
115,SILVER - COMMODITY EXCHANGE INC.,2022-10-18,51541,50274,    3602,    9724,136055,   10432,1267,-6122.0
116,SILVER - COMMODITY EXCHANGE INC.,2022-10-11,47939,40550,   -3987,   -2668,125623,   -3901,7389,-1319.0
117,SILVER - COMMODITY EXCHANGE INC.,2022-10-04,51926,43218,    1942,   -6008,129524,     524,8708,7950.0
118,SILVER - COMMODITY EXCHANGE INC.,2022-09-27,49984,49226,   -2339,   -4737,129000,   -3107,758,2398.0
119,SILVER - COMMODITY EXCHANGE INC.,2022-09-20,52323,53963,   -1050,   -4050,132107,   -3423,-1640,3000.0
120,SILVER - COMMODITY EXCHANGE INC.,2022-09-13,53373,58013,    1659,   -6485,135530,   -2770,-4640,8144.0
121,SILVER - COMMODITY EXCHANGE INC.,2022-09-06,51714,64498,    2246,    6759,138300,    -414,-12784,-4513.0
122,SILVER - COMMODITY EXCHANGE INC.,2022-08-30,49468,57739,     317,    4088,138714,   -5643,-8271,-3771.0
123,SILVER - COMMODITY EXCHANGE INC.,2022-08-23,49151,53651,    1300,    9308,144357,      43,-4500,-8008.0
124,SILVER - COMMODITY EXCHANGE INC.,2022-08-16,47851,44343,   -1013,   -1642,144314,    3221,3508,629.0
125,SILVER - COMMODITY EXCHANGE INC.,2022-08-09,48864,45985,    -356,   -2261,141093,    4826,2879,1905.0
126,SILVER - COMMODITY EXCHANGE INC.,2022-08-02,49220,48246,   -5451,  -10925,136267,  -11517,974,5474.0
127,SILVER - COMMODITY EXCHANGE INC.,2022-07-26,54671,59171,   -1516,    4344,147784,    2537,-4500,-5860.0
128,SILVER - COMMODITY EXCHANGE INC.,2022-07-19,56187,54827,    1443,    3287,145247,    2988,1360,-1844.0
129,SILVER - COMMODITY EXCHANGE INC.,2022-07-12,54744,51540,     -97,    1838,142259,    1796,3204,-1935.0
130,SILVER - COMMODITY EXCHANGE INC.,2022-07-05,54841,49702,    1909,    7661,140463,    4688,5139,-5752.0
131,SILVER - COMMODITY EXCHANGE INC.,2022-06-28,52932,42041,   -1519,    6009,135775,   -9581,10891,-7528.0
132,SILVER - COMMODITY EXCHANGE INC.,2022-06-21,54451,36032,   -2765,   -7179,145356,   -6622,18419,4414.0
133,SILVER - COMMODITY EXCHANGE INC.,2022-06-14,57216,43211,    2317,    5716,151978,    3684,14005,-3399.0
134,SILVER - COMMODITY EXCHANGE INC.,2022-06-07,54899,37495,    -646,   -4053,148294,     993,17404,3407.0
135,SILVER - COMMODITY EXCHANGE INC.,2022-05-31,55545,41548,   -3203,   -3097,147301,     845,13997,-106.0
136,SILVER - COMMODITY EXCHANGE INC.,2022-05-24,58748,44645,   -1109,     902,146456,    1922,14103,-2011.0
137,SILVER - COMMODITY EXCHANGE INC.,2022-05-17,59857,43743,      28,    2996,144534,    1782,16114,-2968.0
138,SILVER - COMMODITY EXCHANGE INC.,2022-05-10,59829,40747,    3065,   12051,142752,    5060,19082,-8986.0
139,SILVER - COMMODITY EXCHANGE INC.,2022-05-03,56764,28696,     -18,    7320,137692,   -7846,28068,-7338.0
140,SILVER - COMMODITY EXCHANGE INC.,2022-04-26,56782,21376,  -12306,   -1283,145538,  -25039,35406,-11023.0
141,SILVER - COMMODITY EXCHANGE INC.,2022-04-19,69088,22659,    2732,    2289,170577,   11764,46429,443.0
142,SILVER - COMMODITY EXCHANGE INC.,2022-04-12,66356,20370,    1420,     468,158813,   10287,45986,952.0
143,SILVER - COMMODITY EXCHANGE INC.,2022-04-05,64936,19902,    -981,    2225,148526,    1156,45034,-3206.0
144,SILVER - COMMODITY EXCHANGE INC.,2022-03-29,65917,17677,   -3362,   -3655,147370,   -8086,48240,293.0
145,SILVER - COMMODITY EXCHANGE INC.,2022-03-22,69279,21332,   -4765,   -1158,155456,   -4115,47947,-3607.0
146,SILVER - COMMODITY EXCHANGE INC.,2022-03-15,74044,22490,   -2521,   -1778,159571,   -8712,51554,-743.0
147,SILVER - COMMODITY EXCHANGE INC.,2022-03-08,76565,24268,    5330,   -2019,168283,   10892,52297,7349.0
148,SILVER - COMMODITY EXCHANGE INC.,2022-03-01,71235,26287,   12405,   -2241,157391,   -6354,44948,14646.0
149,SILVER - COMMODITY EXCHANGE INC.,2022-02-22,58830,28528,    1919,   -4827,163745,    6777,30302,6746.0
150,SILVER - COMMODITY EXCHANGE INC.,2022-02-15,56911,33355,       6,   -4251,156968,    9589,23556,4257.0
151,SILVER - COMMODITY EXCHANGE INC.,2022-02-08,56905,37606,   -3818,    -999,147379,   -1757,19299,-2819.0
152,SILVER - COMMODITY EXCHANGE INC.,2022-02-01,60723,38605,   -3200,    6823,149136,   -2643,22118,-10023.0
153,SILVER - COMMODITY EXCHANGE INC.,2022-01-25,63923,31782,   -2062,   -4503,151779,    3042,32141,2441.0
154,SILVER - COMMODITY EXCHANGE INC.,2022-01-18,65985,36285,    -208,   -2360,148737,    4295,29700,2152.0
155,SILVER - COMMODITY EXCHANGE INC.,2022-01-11,66193,38645,    1085,    4456,144442,    4921,27548,-3371.0
156,SILVER - COMMODITY EXCHANGE INC.,2022-01-04,65108,34189,    1235,   -3226,139521,   -1725,30919,4461.0
157,SILVER - COMMODITY EXCHANGE INC.,2021-12-28,63873,37415,    1803,   -3729,141246,     127,26458,5532.0
158,SILVER - COMMODITY EXCHANGE INC.,2021-12-21,62070,41144,   -1599,    -541,141119,   -1265,20926,-1058.0
159,SILVER - COMMODITY EXCHANGE INC.,2021-12-14,63669,41685,     739,    8588,142384,    5812,21984,-7849.0
160,SILVER - COMMODITY EXCHANGE INC.,2021-12-07,62930,33097,     252,    8853,136572,   -1431,29833,-8601.0
161,SILVER - COMMODITY EXCHANGE INC.,2021-11-30,62678,24244,   -5800,   -4129,138003,  -11639,38434,-1671.0
162,SILVER - COMMODITY EXCHANGE INC.,2021-11-23,68478,28373,   -5466,      54,149642,   -2762,40105,-5520.0
163,SILVER - COMMODITY EXCHANGE INC.,2021-11-16,73944,28319,    8931,     221,152404,    8034,45625,8710.0
164,SILVER - COMMODITY EXCHANGE INC.,2021-11-09,65013,28098,     511,   -3289,144370,    2976,36915,3800.0
165,SILVER - COMMODITY EXCHANGE INC.,2021-11-02,64502,31387,   -2175,    2242,141394,    -187,33115,-4417.0
166,SILVER - COMMODITY EXCHANGE INC.,2021-10-26,66677,29145,     105,   -7071,141581,   -2083,37532,7176.0
167,SILVER - COMMODITY EXCHANGE INC.,2021-10-19,66572,36216,    3084,   -9285,143664,    4261,30356,12369.0
168,SILVER - COMMODITY EXCHANGE INC.,2021-10-12,63488,45501,    -469,   -2077,139403,    -360,17987,1608.0
169,SILVER - COMMODITY EXCHANGE INC.,2021-10-05,63957,47578,    -533,    -207,139763,   -2400,16379,-326.0
170,SILVER - COMMODITY EXCHANGE INC.,2021-09-28,64490,47785,   -2218,   -3288,142163,   -3374,16705,1070.0
171,SILVER - COMMODITY EXCHANGE INC.,2021-09-21,66708,51073,    1881,   12922,145537,    4997,15635,-11041.0
172,SILVER - COMMODITY EXCHANGE INC.,2021-09-14,64827,38151,     948,    2828,140540,    1353,26676,-1880.0
173,SILVER - COMMODITY EXCHANGE INC.,2021-09-07,63879,35323,     944,   -5281,139187,   -1750,28556,6225.0
174,SILVER - COMMODITY EXCHANGE INC.,2021-08-31,62935,40604,    -376,    -846,140937,   -8910,22331,470.0
175,SILVER - COMMODITY EXCHANGE INC.,2021-08-24,63311,41450,     -79,    -720,149847,   -3978,21861,641.0
176,SILVER - COMMODITY EXCHANGE INC.,2021-08-17,63390,42170,    -989,    2265,153825,    -666,21220,-3254.0
177,SILVER - COMMODITY EXCHANGE INC.,2021-08-10,64379,39905,   -1813,    9852,154491,    8295,24474,-11665.0
178,SILVER - COMMODITY EXCHANGE INC.,2021-08-03,66192,30053,    -541,   -5463,146196,   -4618,36139,4922.0
179,SILVER - COMMODITY EXCHANGE INC.,2021-07-27,66733,35516,   -3553,    2705,150814,    -949,31217,-6258.0
180,SILVER - COMMODITY EXCHANGE INC.,2021-07-20,70286,32811,   -3961,    2253,151763,   -2936,37475,-6214.0
181,SILVER - COMMODITY EXCHANGE INC.,2021-07-13,74247,30558,   -2543,   -1744,154699,   -2517,43689,-799.0
182,SILVER - COMMODITY EXCHANGE INC.,2021-07-06,76790,32302,    4935,    1924,157216,      97,44488,3011.0
183,SILVER - COMMODITY EXCHANGE INC.,2021-06-29,71855,30378,   -1986,   -3592,157119,  -18584,41477,1606.0
184,SILVER - COMMODITY EXCHANGE INC.,2021-06-22,73841,33970,  -14750,   -2557,175703,  -18565,39871,-12193.0
185,SILVER - COMMODITY EXCHANGE INC.,2021-06-15,88591,36527,    5213,    2955,194268,    9427,52064,2258.0
186,SILVER - COMMODITY EXCHANGE INC.,2021-06-08,83378,33572,   -1022,   -3311,184841,    2529,49806,2289.0
187,SILVER - COMMODITY EXCHANGE INC.,2021-06-01,84400,36883,   -1613,    1352,182312,    1482,47517,-2965.0
188,SILVER - COMMODITY EXCHANGE INC.,2021-05-25,86013,35531,    -627,    -128,180830,    -776,50482,-499.0
189,SILVER - COMMODITY EXCHANGE INC.,2021-05-18,86640,35659,     243,    2105,181606,    3356,50981,-1862.0
190,SILVER - COMMODITY EXCHANGE INC.,2021-05-11,86397,33554,    7539,    2563,178250,   11177,52843,4976.0
191,SILVER - COMMODITY EXCHANGE INC.,2021-05-04,78858,30991,    2478,   -2548,167073,   -5397,47867,5026.0
192,SILVER - COMMODITY EXCHANGE INC.,2021-04-27,76380,33539,    1213,      53,172470,    3050,42841,1160.0
193,SILVER - COMMODITY EXCHANGE INC.,2021-04-20,75167,33486,    5738,     481,169420,    5354,41681,5257.0
194,SILVER - COMMODITY EXCHANGE INC.,2021-04-13,69429,33005,    2184,   -1925,164066,    9473,36424,4109.0
195,SILVER - COMMODITY EXCHANGE INC.,2021-04-06,67245,34930,     743,   -2602,154593,    -394,32315,3345.0
196,SILVER - COMMODITY EXCHANGE INC.,2021-03-30,66502,37532,   -3755,   -1646,154987,   -5450,28970,-2109.0
197,SILVER - COMMODITY EXCHANGE INC.,2021-03-23,70257,39178,    -401,    2129,160437,    1345,31079,-2530.0
198,SILVER - COMMODITY EXCHANGE INC.,2021-03-16,70658,37049,    -787,    1753,159092,    3667,33609,-2540.0
199,SILVER - COMMODITY EXCHANGE INC.,2021-03-09,71445,35296,   -3480,     -13,155425,   -2924,36149,-3467.0
200,SILVER - COMMODITY EXCHANGE INC.,2021-03-02,74925,35309,   -3785,    4242,158349,  -14043,39616,-8027.0
201,SILVER - COMMODITY EXCHANGE INC.,2021-02-23,78710,31067,   -2938,    -757,172392,  -11152,47643,-2181.0
202,SILVER - COMMODITY EXCHANGE INC.,2021-02-16,81648,31824,    1515,    1234,183544,    4256,49824,281.0
203,SILVER - COMMODITY EXCHANGE INC.,2021-02-09,80133,30590,    -501,    1365,179288,    -498,49543,-1866.0
204,SILVER - COMMODITY EXCHANGE INC.,2021-02-02,80634,29225,   -3810,    -759,179786,   11906,51409,-3051.0
205,SILVER - COMMODITY EXCHANGE INC.,2021-01-26,84444,29984,     435,   -2023,167880,     984,54460,2458.0
206,SILVER - COMMODITY EXCHANGE INC.,2021-01-19,84009,32007,   -3896,   -3106,166896,   -3137,52002,-790.0
207,SILVER - COMMODITY EXCHANGE INC.,2021-01-12,87905,35113,   -2872,    -113,170033,   -5972,52792,-2759.0
208,SILVER - COMMODITY EXCHANGE INC.,2021-01-05,90777,35226,    1909,    1137,176005,    5948,55551,772.0
209,SILVER - COMMODITY EXCHANGE INC.,2020-12-29,88868,34089,   -1605,     905,170057,   -1341,54779,-2510.0
210,SILVER - COMMODITY EXCHANGE INC.,2020-12-21,90473,33184,    9784,    2007,171398,   13130,57289,7777.0
211,SILVER - COMMODITY EXCHANGE INC.,2020-12-15,80689,31177,    1379,     243,158268,    3447,49512,1136.0
212,SILVER - COMMODITY EXCHANGE INC.,2020-12-08,79310,30934,    2287,    1803,154821,    2449,48376,484.0
213,SILVER - COMMODITY EXCHANGE INC.,2020-12-01,77023,29131,    2252,      40,152372,   -9720,47892,2212.0
214,SILVER - COMMODITY EXCHANGE INC.,2020-11-24,74771,29091,    -861,    -927,162092,    1120,45680,66.0
215,SILVER - COMMODITY EXCHANGE INC.,2020-11-17,75632,30018,    3088,    3302,160972,    5961,45614,-214.0
216,SILVER - COMMODITY EXCHANGE INC.,2020-11-10,72544,26716,      28,    -459,155011,    1744,45828,487.0
217,SILVER - COMMODITY EXCHANGE INC.,2020-11-03,72516,27175,   -4136,   -4846,153267,   -7283,45341,710.0
218,SILVER - COMMODITY EXCHANGE INC.,2020-10-27,76652,32021,    -294,    -199,160550,    2705,44631,-95.0
