,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
15,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-12,22011,204400,   -4805,    2355,342557,    6090,-182389,-7160.0
16,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-11-05,26816,202045,    -583,    7147,336467,    6522,-175229,-7730.0
17,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-29,27399,194898,   -1040,   25828,329945,   21666,-167499,-26868.0
18,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-22,28439,169070,   -8279,    9959,308279,   11742,-140631,-18238.0
19,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-15,36718,159111,   15075,   48317,296537,   71892,-122393,-33242.0
20,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-08,21643,110794,   -3508,   15640,224645,    8601,-89151,-19148.0
21,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-10-01,25151,95154,    -154,    4260,216044,    2880,-70003,-4414.0
22,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-24,25305,90894,    3841,   -3720,213164,  -43374,-65589,7561.0
23,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-17,21464,94614,   -2309,    1888,256538,    5329,-73150,-4197.0
24,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-10,23773,92726,   -7687,   -7278,251209,   -4688,-68953,-409.0
25,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-09-03,31460,100004,   12135,  -29323,255897,  -40144,-68544,41458.0
26,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-27,19325,129327,    -203,  -54611,296041,  -18032,-110002,54408.0
27,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-20,19528,183938,   -1140,  -16341,314073,   -9094,-164410,15201.0
28,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-13,20668,200279,   -1325,   -3346,323167,  -11953,-179611,2021.0
29,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-08-06,21993,203625,   -1733,  -16364,335120,  -16736,-181632,14631.0
30,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-30,23726,219989,    -361,   34299,351856,   36172,-196263,-34660.0
31,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-23,24087,185690,    -647,   28483,315684,   34743,-161603,-29130.0
32,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-16,24734,157207,    4471,   25732,280941,   23653,-132473,-21261.0
33,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-09,20263,131475,   -1587,  -10727,257288,   -6177,-111212,9140.0
34,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-07-02,21850,142202,   -5940,   -8000,263465,  -14972,-120352,2060.0
35,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-25,27790,150202,    5012,  -20507,278437,  -73021,-122412,25519.0
36,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-18,22778,170709,  -14532,    3906,351458,   44071,-147931,-18438.0
37,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-11,37310,166803,     -50,   37804,307387,   41626,-129493,-37854.0
38,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-06-04,37360,128999,      61,    5115,265761,    1360,-91639,-5054.0
39,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-28,37299,123884,    1900,   -2339,264401,   29910,-86585,4239.0
40,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-21,35399,126223,    1113,   11634,234491,   13651,-90824,-10521.0
41,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-14,34286,114589,    1341,   12423,220840,    4132,-80303,-11082.0
42,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-05-07,32945,102166,    -848,    5172,216708,    5153,-69221,-6020.0
43,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-30,33793,96994,   -2080,  -15329,211555,  -15192,-63201,13249.0
44,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-23,35873,112323,   -1194,   -7559,226747,  -10779,-76450,6365.0
45,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-16,37067,119882,    2326,   31756,237526,   44562,-82815,-29430.0
46,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-09,34741,88126,   -9479,   -7317,192964,   -4207,-53385,-2162.0
47,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-04-02,44220,95443,    6305,    7238,197171,    6176,-51223,-933.0
48,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-26,37915,88205,   -7846,    5296,190995,  -39597,-50290,-13142.0
49,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-19,45761,82909,    9797,   16071,230592,   37369,-37148,-6274.0
50,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-12,35964,66838,   -6626,    4411,193223,    9526,-30874,-11037.0
51,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-03-05,42590,62427,    1432,   19891,183697,   17213,-19837,-18459.0
52,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-27,41158,42536,    4050,    4565,166484,    8818,-1378,-515.0
53,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-20,37108,37971,    1410,   -3209,157666,   -3853,-863,4619.0
54,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-13,35698,41180,    2916,     662,161519,    1401,-5482,2254.0
55,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-02-06,32782,40518,   -6319,    -971,160118,     742,-7736,-5348.0
56,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-30,39101,41489,    4791,   -1272,159376,    4238,-2388,6063.0
57,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-23,34310,42761,   -4428,   -9365,155138,  -10860,-8451,4937.0
58,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-16,38738,52126,   -3548,    2460,165998,   -5559,-13388,-6008.0
59,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-09,42286,49666,   -8609,  -22360,171557,  -12919,-7380,13751.0
60,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2024-01-02,50895,72026,    9210,   -4380,184476,    8024,-21131,13590.0
61,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-26,41685,76406,   12823,   -6789,176452,  -37789,-34721,19612.0
62,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-19,28862,83195,    9405,    8493,214241,     368,-54333,912.0
63,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-12,19457,74702,    -296,   -2899,213873,   16082,-55245,2603.0
64,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-12-05,19753,77601,     762,   -4632,197791,   -3073,-57848,5394.0
65,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-28,18991,82233,    -416,   -2614,200864,   -2384,-63242,2198.0
66,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-21,19407,84847,     729,   -4234,203248,   -2798,-65440,4963.0
67,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-14,18678,89081,    1507,    4189,206046,    5682,-70403,-2682.0
68,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-11-07,17171,84892,   -8247,   10142,200364,    1836,-67721,-18389.0
69,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-31,25418,74750,    3092,    3785,198528,   13781,-49332,-693.0
70,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-24,22326,70965,     686,     786,184747,     809,-48639,-100.0
71,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-17,21640,70179,    1298,    3348,183938,    4581,-48539,-2050.0
72,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-10,20342,66831,   -1332,    5006,179357,  -10086,-46489,-6338.0
73,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-10-03,21674,61825,    4668,   12123,189443,   13595,-40151,-7455.0
74,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-26,17006,49702,   -2021,  -17352,175848,  -70999,-32696,15331.0
75,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-19,19027,67054,  -21271,  -15127,246847,   29767,-48027,-6144.0
76,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-12,40298,82181,   -5463,   11457,217080,   27420,-41883,-16920.0
77,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-09-05,45761,70724,    3234,   12436,189660,   12612,-24963,-9202.0
78,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-29,42527,58288,    6534,   10225,177048,   10901,-15761,-3691.0
79,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-22,35993,48063,   -1119,    -460,166147,    8320,-12070,-659.0
80,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-15,37112,48523,    7631,   18419,157827,   16867,-11411,-10788.0
81,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-08,29481,30104,   -6797,     191,140960,  -11646,-623,-6988.0
82,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-08-01,36278,29913,   -6481,   -7316,152606,   -3789,6365,835.0
83,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-25,42759,37229,    8882,    3873,156395,   10224,5530,5009.0
84,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-18,33877,33356,   -1195,    2728,146171,    5776,521,-3923.0
85,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-11,35072,30628,   -9106,   -9023,140395,  -15889,4444,-83.0
86,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-07-03,44178,39651,   -6129,  -13503,156284,  -11514,4527,7374.0
87,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-27,50307,53154,   22120,   -8576,167798,  -16308,-2847,30696.0
88,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-20,28187,61730,   12651,    9526,184106,   16874,-33543,3125.0
89,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-13,15536,52204,   -6173,   -7834,167232,    -793,-36668,1661.0
90,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-06-06,21709,60038,  -15910,   -7495,168025,  -11846,-38329,-8415.0
91,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-30,37619,67533,   17231,   -1381,179871,   20672,-29914,18612.0
92,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-23,20388,68914,   -8126,   -2590,159199,   -1996,-48526,-5536.0
93,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-16,28514,71504,   -1095,    -368,161195,    1831,-42990,-727.0
94,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-09,29609,71872,    1710,   -6123,159364,  -11690,-42263,7833.0
95,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-05-02,27899,77995,    3604,    9909,171054,   19268,-50096,-6305.0
96,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-25,24295,68086,    6489,    4047,151786,    3148,-43791,2442.0
97,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-18,17806,64039,     892,   -9454,148638,  -16237,-46233,10346.0
98,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-11,16914,73493,     307,   -1623,164875,   -4263,-56579,1930.0
99,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-04-04,16607,75116,   -3065,   -1381,169138,   -7421,-58509,-1684.0
100,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-28,19672,76497,     860,     864,176559,   -1626,-56825,-4.0
101,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-21,18812,75633,  -41926,  -16820,178185,  -66236,-56821,-25106.0
102,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-14,60738,92453,   -1370,    1143,244421,   40605,-31715,-2513.0
103,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-03-07,62108,91310,   30509,   23637,203816,   38719,-29202,6872.0
104,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-28,31599,67673,    9710,    8281,165097,   13201,-36074,1429.0
105,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-21,21889,59392,   -2577,    -568,151896,    2837,-37503,-2009.0
106,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-14,24466,59960,   -8826,   -6423,149059,    -562,-35494,-2403.0
107,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-02-07,33292,66383,    6888,    9795,149621,    9454,-33091,-2907.0
108,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-31,26404,56588,     426,    -102,140167,    2691,-30184,528.0
109,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-24,25978,56690,    5081,    8534,137476,    5130,-30712,-3453.0
110,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-17,20897,48156,   -1269,   -4965,132346,   -1542,-27259,3696.0
111,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-10,22166,53121,   -3331,     858,133888,   -5107,-30955,-4189.0
112,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2023-01-03,25497,52263,   -3382,   -6649,138995,   -1549,-26766,3267.0
113,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-12-27,28879,58912,  -10826,   -7754,140544,  -40313,-30033,-3072.0
114,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-12-20,39705,66666,    7985,    7698,180857,   11424,-26961,287.0
115,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-12-13,31720,58968,    1003,    6161,169433,   20542,-27248,-5158.0
116,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-12-06,30717,52807,   -4406,    1568,148891,   12237,-22090,-5974.0
117,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-11-29,35123,51239,   -1610,    2834,136654,    1753,-16116,-4444.0
118,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-11-22,36733,48405,    -723,   -1971,134901,   -4852,-11672,1248.0
119,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-11-15,37456,50376,   -2130,   -7674,139753,   -7802,-12920,5544.0
120,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-11-08,39586,58050,    1064,    1879,147555,     385,-18464,-815.0
121,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-11-01,38522,56171,    2915,    2409,147170,    3753,-17649,506.0
122,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-10-25,35607,53762,     223,   -2195,143417,   -3008,-18155,2418.0
123,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-10-18,35384,55957,    2908,   -2191,146425,    2425,-20573,5099.0
124,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-10-11,32476,58148,   -3770,     495,144000,    2201,-25672,-4265.0
125,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-10-04,36246,57653,    2569,    6310,141799,     910,-21407,-3741.0
126,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-09-27,33677,51343,  -14236,    5486,140889,  -19425,-17666,-19722.0
127,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-09-20,47913,45857,    -189,   10180,160314,   10758,2056,-10369.0
128,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-09-13,48102,35677,   -9083,   -3598,149556,  -11011,12425,-5485.0
129,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-09-06,57185,39275,   -1519,    4750,160567,    2402,17910,-6269.0
130,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-08-30,58704,34525,    5087,    4135,158165,    5480,24179,952.0
131,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-08-23,53617,30390,    1774,    5414,152685,    5089,23227,-3640.0
132,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-08-16,51843,24976,    4945,    -699,147596,    3950,26867,5644.0
133,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-08-09,46898,25675,   -1444,   -2390,143646,   -2268,21223,946.0
134,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-08-02,48342,28065,    1928,   -2580,145914,    1732,20277,4508.0
135,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-07-26,46414,30645,    4374,   -4728,144182,    1966,15769,9102.0
136,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-07-19,42040,35373,     427,   -2735,142216,    2919,6667,3162.0
137,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-07-12,41613,38108,   -3752,   -2964,139297,   -6075,3505,-788.0
138,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-07-05,45365,41072,    -528,    4276,145372,    2788,4293,-4804.0
139,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-06-28,45893,36796,    3633,   -1359,142584,    2537,9097,4992.0
140,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-06-21,42260,38155,  -14290,    4807,140047,  -35172,4105,-19097.0
141,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-06-14,56550,33348,   17262,   -7002,175219,    7846,23202,24264.0
142,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-06-07,39288,40350,    8768,    2823,167373,   31444,-1062,5945.0
143,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-05-31,30520,37527,    1521,   -4159,135929,   -2579,-7007,5680.0
144,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-05-24,28999,41686,   -7070,   -8879,138508,  -13077,-12687,1809.0
145,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-05-17,36069,50565,   -2610,    6479,151585,     576,-14496,-9089.0
146,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-05-10,38679,44086,   -5991,    8445,151009,   -1770,-5407,-14436.0
147,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-05-03,44670,35641,   -4117,    7735,152779,   -2583,9029,-11852.0
148,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-04-26,48787,27906,    4724,    5069,155362,    2060,20881,-345.0
149,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-04-19,44063,22837,    6339,   -2729,153302,   -2088,21226,9068.0
150,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-04-12,37724,25566,     399,   -4836,155390,   -2172,12158,5235.0
151,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-04-05,37325,30402,    4896,   -3562,157562,   10141,6923,8458.0
152,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-03-29,32429,33964,    3115,    -290,147421,   23331,-1535,3405.0
153,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-03-22,29314,34254,  -18092,    4588,124090,  -19773,-4940,-22680.0
154,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-03-15,47406,29666,   -1086,  -11180,143863,   -5562,17740,10094.0
155,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-03-08,48492,40846,   -2389,    4105,149425,    5918,7646,-6494.0
156,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-03-01,50881,36741,    3220,   -1667,143507,    3202,14140,4887.0
157,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-02-22,47661,38408,   -6763,   -3846,140305,   -4510,9253,-2917.0
158,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-02-15,54424,42254,    -338,    2378,144815,    -393,12170,-2716.0
159,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-02-08,54762,39876,    2376,    5754,145208,     126,14886,-3378.0
160,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-02-01,52386,34122,    -743,   -6690,145082,   -1366,18264,5947.0
161,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-01-25,53129,40812,    3337,   -1488,146448,    3077,12317,4825.0
162,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-01-18,49792,42300,    5508,   -9360,143371,    4800,7492,14868.0
163,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-01-11,44284,51660,    2379,   -1270,138571,    2938,-7376,3649.0
164,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2022-01-04,41905,52930,    -623,      68,135633,   -3059,-11025,-691.0
165,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-12-28,42528,52862,   -3397,   -2940,138692,   -6870,-10334,-457.0
166,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-12-21,45925,55802,    7695,    4444,145562,  -41076,-9877,3251.0
167,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-12-14,38230,51358,   -2865,     905,186638,   31560,-13128,-3770.0
168,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-12-07,41095,50453,    -147,   -4864,155078,    6703,-9358,4717.0
169,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-11-30,41242,55317,   -3078,    7862,148375,   -1900,-14075,-10940.0
170,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-11-23,44320,47455,     173,   12017,150275,    1320,-3135,-11844.0
171,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-11-16,44147,35438,     186,   -3419,148955,   -5765,8709,3605.0
172,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-11-09,43961,38857,    1924,     982,154720,   -1474,5104,942.0
173,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-11-02,42037,37875,   -3940,   -4782,156194,   -3281,4162,842.0
174,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-10-26,45977,42657,    5597,   -8647,159475,    5563,3320,14244.0
175,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-10-19,40380,51304,   17998,    1062,153912,   26085,-10924,16936.0
176,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-10-12,22382,50242,    3802,    4796,127827,    7659,-27860,-994.0
177,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-10-05,18580,45446,   -3293,    3338,120168,    2102,-26866,-6631.0
178,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-09-28,21873,42108,    2919,   -4723,118066,    -462,-20235,7642.0
179,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-09-21,18954,46831,  -17723,     871,118528,  -57180,-27877,-18594.0
180,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-09-14,36677,45960,     -27,    3246,175708,    5202,-9283,-3273.0
181,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-09-07,36704,42714,   -3982,    -820,170506,      67,-6010,-3162.0
182,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-08-31,40686,43534,   -3438,    5287,170439,   -1048,-2848,-8725.0
183,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-08-24,44124,38247,   -2375,   -5592,171487,   -5973,5877,3217.0
184,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2021-08-17,46499,43839,    1054,    4859,177460,    5858,2660,-3805.0
