,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
20,GOLD - COMMODITY EXCHANGE INC.,2024-10-01,370051,70120,  -17521,   -2062,533107,  -31533,299931,-15459.0
21,GOLD - COMMODITY EXCHANGE INC.,2024-09-24,387572,72182,   17838,   12514,564640,   27013,315390,5324.0
22,GOLD - COMMODITY EXCHANGE INC.,2024-09-17,369734,59668,   29728,    2163,537627,   26126,310066,27565.0
23,GOLD - COMMODITY EXCHANGE INC.,2024-09-10,340006,57505,     849,    5906,511501,     365,282501,-5057.0
24,GOLD - COMMODITY EXCHANGE INC.,2024-09-03,339157,51599,   -4173,    2714,511136,  -10623,287558,-6887.0
25,GOLD - COMMODITY EXCHANGE INC.,2024-08-27,343330,48885,  -12221,  -15413,521759,  -11108,294445,3192.0
26,GOLD - COMMODITY EXCHANGE INC.,2024-08-20,355551,64298,   26782,    2793,532867,   26995,291253,23989.0
27,GOLD - COMMODITY EXCHANGE INC.,2024-08-13,328769,61505,   30650,    2135,505872,   25227,267264,28515.0
28,GOLD - COMMODITY EXCHANGE INC.,2024-08-06,298119,59370,  -15245,   -7393,480645,  -30269,238749,-7852.0
29,GOLD - COMMODITY EXCHANGE INC.,2024-07-30,313364,66763,  -28236,   -1763,510914,  -61392,246601,-26473.0
30,GOLD - COMMODITY EXCHANGE INC.,2024-07-23,341600,68526,   -8227,    3723,572306,   -7556,273074,-11950.0
31,GOLD - COMMODITY EXCHANGE INC.,2024-07-16,349827,64803,   46784,   16535,579862,   63538,285024,30249.0
32,GOLD - COMMODITY EXCHANGE INC.,2024-07-09,303043,48268,   22926,    9694,516324,   61594,254775,13232.0
33,GOLD - COMMODITY EXCHANGE INC.,2024-07-02,280117,38574,   -4768,     -82,454730,    2540,241543,-4686.0
34,GOLD - COMMODITY EXCHANGE INC.,2024-06-25,284885,38656,   -2262,   -5407,452190,    7845,246229,3145.0
35,GOLD - COMMODITY EXCHANGE INC.,2024-06-18,287147,44063,   10378,    1220,444345,    7488,243084,9158.0
36,GOLD - COMMODITY EXCHANGE INC.,2024-06-11,276769,42843,   -7797,   -4421,436857,  -10631,233926,-3376.0
37,GOLD - COMMODITY EXCHANGE INC.,2024-06-04,284566,47264,   -2171,   -2888,447488,  -37942,237302,717.0
38,GOLD - COMMODITY EXCHANGE INC.,2024-05-28,286737,50152,  -13992,  -20771,485430,  -45161,236585,6779.0
39,GOLD - COMMODITY EXCHANGE INC.,2024-05-21,300729,70923,   23087,   -2223,530591,    7639,229806,25310.0
40,GOLD - COMMODITY EXCHANGE INC.,2024-05-14,277642,73146,    5498,     569,522952,   -6883,204496,4929.0
41,GOLD - COMMODITY EXCHANGE INC.,2024-05-07,272144,72577,   -6706,   -2063,529835,   10044,199567,-4643.0
42,GOLD - COMMODITY EXCHANGE INC.,2024-04-30,278850,74640,    -685,   -2004,519791,    3542,204210,1319.0
43,GOLD - COMMODITY EXCHANGE INC.,2024-04-23,279535,76644,     758,    -210,516249,    -944,202891,968.0
44,GOLD - COMMODITY EXCHANGE INC.,2024-04-16,278777,76854,   -1022,    -526,517193,   11979,201923,-496.0
45,GOLD - COMMODITY EXCHANGE INC.,2024-04-09,279799,77380,   -1600,    3231,505214,    5169,202419,-4831.0
46,GOLD - COMMODITY EXCHANGE INC.,2024-04-02,281399,74149,   15752,    7796,500045,   -3597,207250,7956.0
47,GOLD - COMMODITY EXCHANGE INC.,2024-03-26,265647,66353,  -13085,  -10777,503642,  -31405,199294,-2308.0
48,GOLD - COMMODITY EXCHANGE INC.,2024-03-19,278732,77130,   -4330,   -4330,535047,   18990,201602,0.0
49,GOLD - COMMODITY EXCHANGE INC.,2024-03-12,283062,81460,   18914,    8605,516057,   44441,201602,10309.0
50,GOLD - COMMODITY EXCHANGE INC.,2024-03-05,264148,72855,   49200,    -457,471616,   60421,191293,49657.0
51,GOLD - COMMODITY EXCHANGE INC.,2024-02-27,214948,73312,    3914,    2540,411195,    4132,141636,1374.0
52,GOLD - COMMODITY EXCHANGE INC.,2024-02-20,211034,70772,   -6471,  -15565,407063,  -13749,140262,9094.0
53,GOLD - COMMODITY EXCHANGE INC.,2024-02-13,217505,86337,  -11118,   19452,420812,    1691,131168,-30570.0
54,GOLD - COMMODITY EXCHANGE INC.,2024-02-06,228623,66885,    9401,   -4546,419121,  -11207,161738,13947.0
55,GOLD - COMMODITY EXCHANGE INC.,2024-01-30,219222,71431,  -21878,    -195,430328,  -35544,147791,-21683.0
56,GOLD - COMMODITY EXCHANGE INC.,2024-01-23,241100,71626,  -21260,  -10841,465872,  -23462,169474,-10419.0
57,GOLD - COMMODITY EXCHANGE INC.,2024-01-16,262360,82467,   -9305,    -584,489334,    -515,179893,-8721.0
58,GOLD - COMMODITY EXCHANGE INC.,2024-01-09,271665,83051,  -19041,      -6,489849,  -10515,188614,-19035.0
59,GOLD - COMMODITY EXCHANGE INC.,2024-01-02,290706,83057,     863,     932,500364,    9021,207649,-69.0
60,GOLD - COMMODITY EXCHANGE INC.,2023-12-26,289843,82125,    8871,    2492,491343,   10140,207718,6379.0
61,GOLD - COMMODITY EXCHANGE INC.,2023-12-19,280972,79633,    7436,   -5670,481203,   11264,201339,13106.0
62,GOLD - COMMODITY EXCHANGE INC.,2023-12-12,273536,85303,  -15304,       7,469939,  -17530,188233,-15311.0
63,GOLD - COMMODITY EXCHANGE INC.,2023-12-05,288840,85296,   -1005,   -4465,487469,  -18189,203544,3460.0
64,GOLD - COMMODITY EXCHANGE INC.,2023-11-28,289845,89761,   20144,   -8235,505658,   -2771,200084,28379.0
65,GOLD - COMMODITY EXCHANGE INC.,2023-11-21,269701,97996,   15349,    -980,508429,   21795,171705,16329.0
66,GOLD - COMMODITY EXCHANGE INC.,2023-11-14,254352,98976,   -7301,    3539,486634,    2287,155376,-10840.0
67,GOLD - COMMODITY EXCHANGE INC.,2023-11-07,261653,95437,     600,   -2191,484347,    8539,166216,2791.0
68,GOLD - COMMODITY EXCHANGE INC.,2023-10-31,261053,97628,    9584,   -4456,475808,   12332,163425,14040.0
69,GOLD - COMMODITY EXCHANGE INC.,2023-10-24,251469,102084,   20057,  -16590,463476,   23895,149385,36647.0
70,GOLD - COMMODITY EXCHANGE INC.,2023-10-17,231412,118674,   11080,  -30225,439581,    3082,112738,41305.0
71,GOLD - COMMODITY EXCHANGE INC.,2023-10-10,220332,148899,   -8074,   11719,436499,    5273,71433,-19793.0
72,GOLD - COMMODITY EXCHANGE INC.,2023-10-03,228406,137180,   -7154,   17435,431226,   -4394,91226,-24589.0
73,GOLD - COMMODITY EXCHANGE INC.,2023-09-26,235560,119745,   -2156,   17192,435620,   -2458,115815,-19348.0
74,GOLD - COMMODITY EXCHANGE INC.,2023-09-19,237716,102553,    2012,   -9287,438078,   -3143,135163,11299.0
75,GOLD - COMMODITY EXCHANGE INC.,2023-09-12,235704,111840,     -98,   14044,441221,    2549,123864,-14142.0
76,GOLD - COMMODITY EXCHANGE INC.,2023-09-05,235802,97796,    -252,  -14986,438672,   -4134,138006,14734.0
77,GOLD - COMMODITY EXCHANGE INC.,2023-08-29,236054,112782,    9714,  -11612,442806,   12567,123272,21326.0
78,GOLD - COMMODITY EXCHANGE INC.,2023-08-22,226340,124394,   -6738,   12452,430239,   -3372,101946,-19190.0
79,GOLD - COMMODITY EXCHANGE INC.,2023-08-15,233078,111942,    4232,   26081,433611,    5852,121136,-21849.0
80,GOLD - COMMODITY EXCHANGE INC.,2023-08-08,228846,85861,  -10139,   11800,427759,  -11624,142985,-21939.0
81,GOLD - COMMODITY EXCHANGE INC.,2023-08-01,238985,74061,   -9244,    -529,439383,  -36793,164924,-8715.0
82,GOLD - COMMODITY EXCHANGE INC.,2023-07-25,248229,74590,  -15511,    4198,476176,   -5928,173639,-19709.0
83,GOLD - COMMODITY EXCHANGE INC.,2023-07-18,263740,70392,   23194,   -4400,482104,   -1066,193348,27594.0
84,GOLD - COMMODITY EXCHANGE INC.,2023-07-11,240546,74792,    5465,    2808,483170,   35107,165754,2657.0
85,GOLD - COMMODITY EXCHANGE INC.,2023-07-03,235081,71984,   14200,    3013,448063,   16202,163097,11187.0
86,GOLD - COMMODITY EXCHANGE INC.,2023-06-27,220881,68971,   -8427,    2638,431861,   -6176,151910,-11065.0
87,GOLD - COMMODITY EXCHANGE INC.,2023-06-20,229308,66333,    1991,    -775,438037,    5139,162975,2766.0
88,GOLD - COMMODITY EXCHANGE INC.,2023-06-13,227317,67108,  -10150,    5282,432898,   -3403,160209,-15432.0
89,GOLD - COMMODITY EXCHANGE INC.,2023-06-06,237467,61826,     161,   -6164,436301,  -13214,175641,6325.0
90,GOLD - COMMODITY EXCHANGE INC.,2023-05-30,237306,67990,    1157,   -7427,449515,  -29565,169316,8584.0
91,GOLD - COMMODITY EXCHANGE INC.,2023-05-23,236149,75417,  -19101,     -19,479080,  -42752,160732,-19082.0
92,GOLD - COMMODITY EXCHANGE INC.,2023-05-16,255250,75436,  -11222,    4778,521832,    2881,179814,-16000.0
93,GOLD - COMMODITY EXCHANGE INC.,2023-05-09,266472,70658,    4059,    3812,518951,   25147,195814,247.0
94,GOLD - COMMODITY EXCHANGE INC.,2023-05-02,262413,66846,    9227,   -1076,493804,   20595,195567,10303.0
95,GOLD - COMMODITY EXCHANGE INC.,2023-04-25,253186,67922,   -6875,   -2246,473209,   -9045,185264,-4629.0
96,GOLD - COMMODITY EXCHANGE INC.,2023-04-18,260061,70168,    -104,    2748,482254,    5687,189893,-2852.0
97,GOLD - COMMODITY EXCHANGE INC.,2023-04-11,260165,67420,   -5999,   -3528,476567,     -25,192745,-2471.0
98,GOLD - COMMODITY EXCHANGE INC.,2023-04-04,266164,70948,   21029,    7443,476592,   -2019,195216,13586.0
99,GOLD - COMMODITY EXCHANGE INC.,2023-03-28,245135,63505,    7244,  -15781,478611,    8737,181630,23025.0
100,GOLD - COMMODITY EXCHANGE INC.,2023-03-21,237891,79286,    7068,  -11206,469874,   10810,158605,18274.0
101,GOLD - COMMODITY EXCHANGE INC.,2023-03-14,230823,90492,   15249,  -26608,459064,     590,140331,41857.0
102,GOLD - COMMODITY EXCHANGE INC.,2023-03-07,215574,117100,    7155,   17274,458474,   31584,98474,-10119.0
103,GOLD - COMMODITY EXCHANGE INC.,2023-02-28,208419,99826,   -1766,   -3258,426890,    4242,108593,1492.0
104,GOLD - COMMODITY EXCHANGE INC.,2023-02-21,210185,103084,    -189,   -1761,422648,   -3468,107101,1572.0
105,GOLD - COMMODITY EXCHANGE INC.,2023-02-14,210374,104845,  -12924,   10362,426116,  -13639,105529,-23286.0
106,GOLD - COMMODITY EXCHANGE INC.,2023-02-07,223298,94483,  -33119,   -1653,439755,  -31887,128815,-31466.0
107,GOLD - COMMODITY EXCHANGE INC.,2023-01-31,256417,96136,    3106,     498,471642,  -28285,160281,2608.0
108,GOLD - COMMODITY EXCHANGE INC.,2023-01-24,253311,95638,    6437,    2004,499927,    8109,157673,4433.0
109,GOLD - COMMODITY EXCHANGE INC.,2023-01-17,246874,93634,    3308,     603,491818,   10299,153240,2705.0
110,GOLD - COMMODITY EXCHANGE INC.,2023-01-10,243566,93031,   12765,    3896,481519,   32126,150535,8869.0
111,GOLD - COMMODITY EXCHANGE INC.,2023-01-03,230801,89135,    1276,   -3510,449393,    9353,141666,4786.0
112,GOLD - COMMODITY EXCHANGE INC.,2022-12-27,229525,92645,    3389,   -4643,440040,    3387,136880,8032.0
113,GOLD - COMMODITY EXCHANGE INC.,2022-12-20,226136,97288,    1727,   -1472,436653,    -387,128848,3199.0
114,GOLD - COMMODITY EXCHANGE INC.,2022-12-13,224409,98760,   12937,    2413,437040,   14940,125649,10524.0
115,GOLD - COMMODITY EXCHANGE INC.,2022-12-06,211472,96347,    2311,   -2811,422100,  -11561,115125,5122.0
116,GOLD - COMMODITY EXCHANGE INC.,2022-11-29,209161,99158,   -5123,     987,433661,  -15881,110003,-6110.0
117,GOLD - COMMODITY EXCHANGE INC.,2022-11-22,214284,98171,  -12998,   -2842,449542,  -45629,116113,-10156.0
118,GOLD - COMMODITY EXCHANGE INC.,2022-11-15,227282,101013,    4147,  -39784,495171,    6700,126269,43931.0
119,GOLD - COMMODITY EXCHANGE INC.,2022-11-08,223135,140797,    6794,  -10921,488471,   21195,82338,17715.0
120,GOLD - COMMODITY EXCHANGE INC.,2022-11-01,216341,151718,    3488,    6897,467276,   11204,64623,-3409.0
121,GOLD - COMMODITY EXCHANGE INC.,2022-10-25,212853,144821,    1963,   10887,456072,   21371,68032,-8924.0
122,GOLD - COMMODITY EXCHANGE INC.,2022-10-18,210890,133934,   -1671,   15793,434701,    3306,76956,-17464.0
123,GOLD - COMMODITY EXCHANGE INC.,2022-10-11,212561,118141,   -3403,   -9438,431395,   -5670,94420,6035.0
124,GOLD - COMMODITY EXCHANGE INC.,2022-10-04,215964,127579,    8810,  -27494,437065,  -19996,88385,36304.0
125,GOLD - COMMODITY EXCHANGE INC.,2022-09-27,207154,155073,   -7403,    6238,457061,  -12334,52081,-13641.0
126,GOLD - COMMODITY EXCHANGE INC.,2022-09-20,214557,148835,  -11375,   20247,469395,    5721,65722,-31622.0
127,GOLD - COMMODITY EXCHANGE INC.,2022-09-13,225932,128588,   -5595,     918,463674,   -2234,97344,-6513.0
128,GOLD - COMMODITY EXCHANGE INC.,2022-09-06,231527,127670,   -3787,   10090,465908,    6743,103857,-13877.0
129,GOLD - COMMODITY EXCHANGE INC.,2022-08-30,235314,117580,   -2113,    6000,459165,    1403,117734,-8113.0
130,GOLD - COMMODITY EXCHANGE INC.,2022-08-23,237427,111580,    -769,   14548,457762,    3802,125847,-15317.0
131,GOLD - COMMODITY EXCHANGE INC.,2022-08-16,238196,97032,   -4710,   -3023,453960,     420,141164,-1687.0
132,GOLD - COMMODITY EXCHANGE INC.,2022-08-09,242906,100055,     778,  -17747,453540,   -6109,142851,18525.0
133,GOLD - COMMODITY EXCHANGE INC.,2022-08-02,242128,117802,     467,  -31169,459649,  -27866,124326,31636.0
134,GOLD - COMMODITY EXCHANGE INC.,2022-07-26,241661,148971,     657,    2922,487515,  -37271,92690,-2265.0
135,GOLD - COMMODITY EXCHANGE INC.,2022-07-19,241004,146049,  -10122,   13044,524786,  -17707,94955,-23166.0
136,GOLD - COMMODITY EXCHANGE INC.,2022-07-12,251126,133005,  -16680,   10859,542493,   44283,118121,-27539.0
137,GOLD - COMMODITY EXCHANGE INC.,2022-07-05,267806,122146,    -906,   11127,498210,    1205,145660,-12033.0
138,GOLD - COMMODITY EXCHANGE INC.,2022-06-28,268712,111019,     593,    6187,497005,   -3271,157693,-5594.0
139,GOLD - COMMODITY EXCHANGE INC.,2022-06-21,268119,104832,    1523,   -7166,500276,    2820,163287,8689.0
140,GOLD - COMMODITY EXCHANGE INC.,2022-06-14,266596,111998,   -3760,   16910,497456,    3326,154598,-20670.0
141,GOLD - COMMODITY EXCHANGE INC.,2022-06-07,270356,95088,     897,   -1782,494130,  -19592,175268,2679.0
142,GOLD - COMMODITY EXCHANGE INC.,2022-05-31,269459,96870,  -12743,   -1519,513722,  -16376,172589,-11224.0
143,GOLD - COMMODITY EXCHANGE INC.,2022-05-24,282202,98389,    -809,   -9262,530098,  -25658,183813,8453.0
144,GOLD - COMMODITY EXCHANGE INC.,2022-05-17,283011,107651,   -5936,   12019,555756,  -15691,175360,-17955.0
145,GOLD - COMMODITY EXCHANGE INC.,2022-05-10,288947,95632,   -4492,    1361,571447,   11006,193315,-5853.0
146,GOLD - COMMODITY EXCHANGE INC.,2022-05-03,293439,94271,  -17072,    1784,560441,    2656,199168,-18856.0
147,GOLD - COMMODITY EXCHANGE INC.,2022-04-26,310511,92487,  -20234,    1499,557785,  -17417,218024,-21733.0
148,GOLD - COMMODITY EXCHANGE INC.,2022-04-19,330745,90988,   -7419,    7111,575202,   -2437,239757,-14530.0
149,GOLD - COMMODITY EXCHANGE INC.,2022-04-12,338164,83877,   13594,    4848,577639,   16973,254287,8746.0
150,GOLD - COMMODITY EXCHANGE INC.,2022-04-05,324570,79029,   -3062,    8993,560666,  -13855,245541,-12055.0
151,GOLD - COMMODITY EXCHANGE INC.,2022-03-29,327632,70036,   -1028,  -10592,574521,  -30670,257596,9564.0
152,GOLD - COMMODITY EXCHANGE INC.,2022-03-22,328660,80628,  -18071,   -4315,605191,  -12414,248032,-13756.0
153,GOLD - COMMODITY EXCHANGE INC.,2022-03-15,346731,84943,  -17887,   -5287,617605,  -20897,261788,-12600.0
154,GOLD - COMMODITY EXCHANGE INC.,2022-03-08,364618,90230,   10441,   -6325,638502,   22902,274388,16766.0
155,GOLD - COMMODITY EXCHANGE INC.,2022-03-01,354177,96555,    4081,  -10393,615600,    4112,257622,14474.0
156,GOLD - COMMODITY EXCHANGE INC.,2022-02-22,350096,106948,   36827,    7292,611488,   52843,243148,29535.0
157,GOLD - COMMODITY EXCHANGE INC.,2022-02-15,313269,99656,   33710,    6803,558645,   45803,213613,26907.0
158,GOLD - COMMODITY EXCHANGE INC.,2022-02-08,279559,92853,    3565,  -10999,512842,   -2489,186706,14564.0
159,GOLD - COMMODITY EXCHANGE INC.,2022-02-01,275994,103852,  -37421,   10588,515331,  -56747,172142,-48009.0
160,GOLD - COMMODITY EXCHANGE INC.,2022-01-25,313415,93264,   22887,   -3057,572078,   32874,220151,25944.0
161,GOLD - COMMODITY EXCHANGE INC.,2022-01-18,290528,96321,     426,    5956,539204,   -7312,194207,-5530.0
162,GOLD - COMMODITY EXCHANGE INC.,2022-01-11,290102,90365,   -6481,    5137,546516,   43799,199737,-11618.0
163,GOLD - COMMODITY EXCHANGE INC.,2022-01-04,296583,85228,   -7296,   -5495,502717,   -6195,211355,-1801.0
164,GOLD - COMMODITY EXCHANGE INC.,2021-12-28,303879,90723,    7251,     -94,508912,    8066,213156,7345.0
165,GOLD - COMMODITY EXCHANGE INC.,2021-12-21,296628,90817,   -1514,   -4924,500846,   -2863,205811,3410.0
166,GOLD - COMMODITY EXCHANGE INC.,2021-12-14,298142,95741,   -2376,   12408,503709,    4402,202401,-14784.0
167,GOLD - COMMODITY EXCHANGE INC.,2021-12-07,300518,83333,   -9735,   -1060,499307,  -32561,217185,-8675.0
168,GOLD - COMMODITY EXCHANGE INC.,2021-11-30,310253,84393,  -16156,   -7605,531868,  -27955,225860,-8551.0
169,GOLD - COMMODITY EXCHANGE INC.,2021-11-23,326409,91998,  -34120,   -8751,559823,  -52789,234411,-25369.0
170,GOLD - COMMODITY EXCHANGE INC.,2021-11-16,360529,100749,   19418,    9819,612612,   41587,259780,9599.0
171,GOLD - COMMODITY EXCHANGE INC.,2021-11-09,341111,90930,   30020,   -5032,571025,   63409,250181,35052.0
172,GOLD - COMMODITY EXCHANGE INC.,2021-11-02,311091,95962,   -2555,   -3124,507616,   -2178,215129,569.0
173,GOLD - COMMODITY EXCHANGE INC.,2021-10-26,313646,99086,   13764,   -7447,509794,   23820,214560,21211.0
174,GOLD - COMMODITY EXCHANGE INC.,2021-10-19,299882,106533,    1379,   -6431,485974,    1592,193349,7810.0
175,GOLD - COMMODITY EXCHANGE INC.,2021-10-12,298503,112964,    2564,    -393,484382,     593,185539,2957.0
176,GOLD - COMMODITY EXCHANGE INC.,2021-10-05,295939,113357,    2125,  -12058,483789,   -7069,182582,14183.0
177,GOLD - COMMODITY EXCHANGE INC.,2021-09-28,293814,125415,   -2856,   16392,490858,   -1907,168399,-19248.0
178,GOLD - COMMODITY EXCHANGE INC.,2021-09-21,296670,109023,  -10318,    9795,492765,  -13591,187647,-20113.0
179,GOLD - COMMODITY EXCHANGE INC.,2021-09-14,306988,99228,     971,    -750,506356,    -416,207760,1721.0
180,GOLD - COMMODITY EXCHANGE INC.,2021-09-07,306017,99978,   -4987,    5524,506772,    -341,206039,-10511.0
181,GOLD - COMMODITY EXCHANGE INC.,2021-08-31,311004,94454,   11920,    6023,507113,    2378,216550,5897.0
182,GOLD - COMMODITY EXCHANGE INC.,2021-08-24,299084,88431,   14647,   -4464,504735,   19250,210653,19111.0
183,GOLD - COMMODITY EXCHANGE INC.,2021-08-17,284437,92895,    7177,  -15959,485485,    8253,191542,23136.0
184,GOLD - COMMODITY EXCHANGE INC.,2021-08-10,277260,108854,    4117,   32046,477232,   -8431,168406,-27929.0
185,GOLD - COMMODITY EXCHANGE INC.,2021-08-03,273143,76808,    -545,    2508,485663,  -14524,196335,-3053.0
186,GOLD - COMMODITY EXCHANGE INC.,2021-07-27,273688,74300,   -3624,   -7040,500187,    9667,199388,3416.0
187,GOLD - COMMODITY EXCHANGE INC.,2021-07-20,277312,81340,    1769,   -3367,490520,   -5278,195972,5136.0
188,GOLD - COMMODITY EXCHANGE INC.,2021-07-13,275543,84707,    4998,   -3017,495798,   29987,190836,8015.0
189,GOLD - COMMODITY EXCHANGE INC.,2021-07-06,270545,87724,   16339,   -4256,465811,   12451,182821,20595.0
190,GOLD - COMMODITY EXCHANGE INC.,2021-06-29,254206,91980,    1053,    5041,453360,    -580,162226,-3988.0
191,GOLD - COMMODITY EXCHANGE INC.,2021-06-22,253153,86939,  -20794,    5028,453940,  -26187,166214,-25822.0
192,GOLD - COMMODITY EXCHANGE INC.,2021-06-15,273947,81911,  -14834,    2517,480127,  -11731,192036,-17351.0
193,GOLD - COMMODITY EXCHANGE INC.,2021-06-08,288781,79394,     -45,    4269,491858,    2660,209387,-4314.0
194,GOLD - COMMODITY EXCHANGE INC.,2021-06-01,288826,75125,     560,    1501,489198,  -20966,213701,-941.0
195,GOLD - COMMODITY EXCHANGE INC.,2021-05-25,288266,73624,   -2001,  -17754,510164,  -10246,214642,15753.0
196,GOLD - COMMODITY EXCHANGE INC.,2021-05-18,290267,91378,    8106,    1472,520410,   21717,198889,6634.0
197,GOLD - COMMODITY EXCHANGE INC.,2021-05-11,282161,89906,   11967,   -9547,498693,   28352,192255,21514.0
198,GOLD - COMMODITY EXCHANGE INC.,2021-05-04,270194,99453,    -523,    -645,470341,   -2964,170741,122.0
199,GOLD - COMMODITY EXCHANGE INC.,2021-04-27,270717,100098,   -5268,    5611,473305,    1567,170619,-10879.0
200,GOLD - COMMODITY EXCHANGE INC.,2021-04-20,275985,94487,    6472,    5848,471738,   11005,181498,624.0
201,GOLD - COMMODITY EXCHANGE INC.,2021-04-13,269513,88639,   -6190,    2445,460733,   -2620,180874,-8635.0
202,GOLD - COMMODITY EXCHANGE INC.,2021-04-06,275703,86194,   12250,   -9731,463353,   -3968,189509,21981.0
203,GOLD - COMMODITY EXCHANGE INC.,2021-03-30,263453,95925,     679,    7218,467321,  -18136,167528,-6539.0
204,GOLD - COMMODITY EXCHANGE INC.,2021-03-23,262774,88707,    6537,   12666,485457,    8990,174067,-6129.0
205,GOLD - COMMODITY EXCHANGE INC.,2021-03-16,256237,76041,    1398,   -3635,476467,    2596,180196,5033.0
206,GOLD - COMMODITY EXCHANGE INC.,2021-03-09,254839,79676,  -10694,    3781,473871,    6863,175163,-14475.0
207,GOLD - COMMODITY EXCHANGE INC.,2021-03-02,265533,75895,  -18548,    7547,467008,  -14117,189638,-26095.0
208,GOLD - COMMODITY EXCHANGE INC.,2021-02-23,284081,68348,  -19502,    -266,481125,  -21891,215733,-19236.0
209,GOLD - COMMODITY EXCHANGE INC.,2021-02-16,303583,68614,   -5743,   10695,503016,   -3725,234969,-16438.0
210,GOLD - COMMODITY EXCHANGE INC.,2021-02-09,309326,57919,   -5026,     693,506741,  -13270,251407,-5719.0
211,GOLD - COMMODITY EXCHANGE INC.,2021-02-02,314352,57226,     820,    1240,520011,  -14563,257126,-420.0
212,GOLD - COMMODITY EXCHANGE INC.,2021-01-26,313532,55986,    6025,   -4883,534574,   -6756,257546,10908.0
213,GOLD - COMMODITY EXCHANGE INC.,2021-01-19,307507,60869,   -5710,   -6121,541330,  -14208,246638,411.0
214,GOLD - COMMODITY EXCHANGE INC.,2021-01-12,313217,66990,  -36729,   -3638,555538,  -13350,246227,-33091.0
215,GOLD - COMMODITY EXCHANGE INC.,2021-01-05,349946,70628,    8134,   -2312,568888,   12474,279318,10446.0
216,GOLD - COMMODITY EXCHANGE INC.,2020-12-29,341812,72940,   -8058,    1266,556414,   -4355,268872,-9324.0
217,GOLD - COMMODITY EXCHANGE INC.,2020-12-21,349870,71674,    9260,    2648,560769,   10403,278196,6612.0
218,GOLD - COMMODITY EXCHANGE INC.,2020-12-15,340610,69026,    2339,     -25,550366,     846,271584,2364.0
219,GOLD - COMMODITY EXCHANGE INC.,2020-12-08,338271,69051,   13927,    5021,549520,   11478,269220,8906.0
220,GOLD - COMMODITY EXCHANGE INC.,2020-12-01,324344,64030,    4020,  -12392,538042,  -17211,260314,16412.0
221,GOLD - COMMODITY EXCHANGE INC.,2020-11-24,320324,76422,   -9374,   -2006,555253,   -2280,243902,-7368.0
222,GOLD - COMMODITY EXCHANGE INC.,2020-11-17,329698,78428,   11182,    -352,557533,   10084,251270,11534.0
