,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
56,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-01-30,44918,125373,   -7667,    2143,242029,   -1003,-80455,-9810.0
57,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-01-23,52585,123230,    8405,   22490,243032,   29723,-70645,-14085.0
58,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-01-16,44180,100740,    2816,    3427,213309,   13010,-56560,-611.0
59,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-01-09,41364,97313,    7779,    6533,200299,   16257,-55949,1246.0
60,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2024-01-02,33585,90780,   -3736,   -2109,184042,   -4498,-57195,-1627.0
61,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-12-26,37321,92889,    5587,   -3747,188540,    2600,-55568,9334.0
62,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-12-19,31734,96636,    3508,  -12721,185940,  -71641,-64902,16229.0
63,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-12-12,28226,109357,     -40,  -23865,257581,   -9901,-81131,23825.0
64,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-12-05,28266,133222,   -2195,   -6476,267482,    6701,-104956,4281.0
65,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-11-28,30461,139698,   -8775,   -4992,260781,   -4122,-109237,-3783.0
66,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-11-21,39236,144690,   11464,  -13331,264903,   -8860,-105454,24795.0
67,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-11-14,27772,158021,     534,   26743,273763,   14065,-130249,-26209.0
68,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-11-07,27238,131278,  -10403,  -10211,259698,  -17574,-104040,-192.0
69,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-10-31,37641,141489,    6677,   10896,277272,   16363,-103848,-4219.0
70,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-10-24,30964,130593,   -2175,   -5204,260909,   -6612,-99629,3029.0
71,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-10-17,33139,135797,   -3641,    -459,267521,    7584,-102658,-3182.0
72,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-10-10,36780,136256,  -10764,  -25276,259937,  -22745,-99476,14512.0
73,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-10-03,47544,161532,    1375,    5851,282682,   -3292,-113988,-4476.0
74,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-09-26,46169,155681,     432,    8325,285974,   20114,-109512,-7893.0
75,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-09-19,45737,147356,    7490,   10396,265860,   -4994,-101619,-2906.0
76,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-09-12,38247,136960,    1233,    2810,270854,    2510,-98713,-1577.0
77,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-09-05,37014,134150,   12224,   10887,268344,   22892,-97136,1337.0
78,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-08-29,24790,123263,   -3890,    -740,245452,   -1471,-98473,-3150.0
79,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-08-22,28680,124003,   -6109,    8253,246923,   -1031,-95323,-14362.0
80,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-08-15,34789,115750,   11654,    9435,247954,   18105,-80961,2219.0
81,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-08-08,23135,106315,   -3714,     250,229849,     834,-83180,-3964.0
82,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-08-01,26849,106065,   -3509,   -2045,229015,    5255,-79216,-1464.0
83,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-07-25,30358,108110,     582,  -11905,223760,   -7172,-77752,12487.0
84,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-07-18,29776,120015,     -62,  -27005,230932,  -21417,-90239,26943.0
85,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-07-11,29838,147020,  -11875,  -12613,252349,  -12717,-117182,738.0
86,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-07-03,41713,159633,    3695,    8745,265066,   13542,-117920,-5050.0
87,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-06-27,38018,150888,    5774,   10988,251524,   12968,-112870,-5214.0
88,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-06-20,32244,139900,   -4844,   -1164,238556,  -14010,-107656,-3680.0
89,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-06-13,37088,141064,    2937,    2096,252566,    7234,-103976,841.0
90,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-06-06,34151,138968,   -6585,    2039,245332,    2095,-104817,-8624.0
91,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-05-30,40736,136929,    3976,   19509,243237,   16837,-96193,-15533.0
92,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-05-23,36760,117420,    7266,   23135,226400,   25885,-80660,-15869.0
93,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-05-16,29494,94285,    7265,   11041,200515,    7941,-64791,-3776.0
94,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-05-09,22229,83244,   -5859,  -13168,192574,  -10422,-61015,7309.0
95,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-05-02,28088,96412,   14408,   13988,202996,   18955,-68324,420.0
96,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-04-25,13680,82424,   -1981,    9894,184041,    6534,-68744,-11875.0
97,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-04-18,15661,72530,    3728,    3390,177507,     685,-56869,338.0
98,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-04-11,11933,69140,     410,     581,176822,   -2006,-57207,-171.0
99,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-04-04,11523,68559,    1806,    4867,178828,    9355,-57036,-3061.0
100,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-03-28,9717,63692,    2462,   -9908,169473,     285,-53975,12370.0
101,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-03-21,7255,73600,   -3793,  -12242,169188,  -10594,-66345,8449.0
102,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-03-14,11048,85842,   -6093,   -6602,179782,  -31515,-74794,509.0
103,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-03-07,17141,92444,  -10562,    6063,211297,   11250,-75303,-16625.0
104,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-02-28,27703,86381,   -4783,   19866,200047,   13947,-58678,-24649.0
105,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-02-21,32486,66515,    9407,   15593,186100,   11145,-34029,-6186.0
106,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-02-14,23079,50922,    6523,    5277,174955,   10886,-27843,1246.0
107,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-02-07,16556,45645,   -5994,    3035,164069,   -4471,-29089,-9029.0
108,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-01-31,22550,42610,   -5070,   -6645,168540,   -4781,-20060,1575.0
109,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-01-24,27620,49255,   -1838,   -3164,173321,   -3541,-21635,1326.0
110,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-01-17,29458,52419,    3063,   -9353,176862,    1117,-22961,12416.0
111,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-01-10,26395,61772,    1018,  -10469,175745,    3155,-35377,11487.0
112,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2023-01-03,25377,72241,   -4308,    4826,172590,    -546,-46864,-9134.0
113,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-12-27,29685,67415,   -4001,   -7152,173136,   -8898,-37730,3151.0
114,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-12-20,33686,74567,   11396,    -911,182034,  -44930,-40881,12307.0
115,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-12-13,22290,75478,   -1299,  -14107,226964,    3540,-53188,12808.0
116,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-12-06,23589,89585,   -4536,   -5934,223424,   -4904,-65996,1398.0
117,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-11-29,28125,95519,   -2675,    -131,228328,     893,-67394,-2544.0
118,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-11-22,30800,95650,   -2997,   -3989,227435,   -5911,-64850,992.0
119,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-11-15,33797,99639,   -3404,  -12820,233346,  -18032,-65842,9416.0
120,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-11-08,37201,112459,   -3259,   -5621,251378,   -7528,-75258,2362.0
121,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-11-01,40460,118080,    2881,  -22117,258906,  -13691,-77620,24998.0
122,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-10-25,37579,140197,    6996,   15278,272597,    8332,-102618,-8282.0
123,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-10-18,30583,124919,     434,   17377,264265,   19258,-94336,-16943.0
124,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-10-11,30149,107542,    3187,   -1043,245007,    1718,-77393,4230.0
125,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-10-04,26962,108585,    4256,    3323,243289,   -1366,-81623,933.0
126,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-09-27,22706,105262,  -12061,  -10785,244655,   -6237,-82556,-1276.0
127,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-09-20,34767,116047,   -4556,   -3968,250892,  -30824,-81280,-588.0
128,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-09-13,39323,120015,  -16679,    5824,281716,     450,-80692,-22503.0
129,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-09-06,56002,114191,    1489,   18147,281266,   34236,-58189,-16658.0
130,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-08-30,54513,96044,   -2221,     503,247030,    4898,-41531,-2724.0
131,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-08-23,56734,95541,    5426,   15342,242132,   13435,-38807,-9916.0
132,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-08-16,51308,80199,   -1025,    2834,228697,    2863,-28891,-3859.0
133,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-08-09,52333,77365,    1900,  -15821,225834,  -10903,-25032,17721.0
134,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-08-02,50433,93186,    6621,  -12107,236737,    7518,-42753,18728.0
135,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-07-26,43812,105293,     932,    3188,229219,    -230,-61481,-2256.0
136,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-07-19,42880,102105,    7347,    6574,229449,    5910,-59225,773.0
137,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-07-12,35533,95531,   -3127,    2426,223539,    5867,-59998,-5553.0
138,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-07-05,38660,93105,    2198,    4073,217672,    3905,-54445,-1875.0
139,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-06-28,36462,89032,     598,   -5286,213767,   -4309,-52570,5884.0
140,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-06-21,35864,94318,    3423,   -7878,218076,  -14437,-58454,11301.0
141,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-06-14,32441,102196,   13975,   -7916,232513,  -33541,-69755,21891.0
142,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-06-07,18466,110112,    3265,     472,266054,   26974,-91646,2793.0
143,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-05-31,15201,109640,   -1366,   -6371,239080,    1824,-94439,5005.0
144,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-05-24,16567,116011,    4454,    1589,237256,   -4052,-99444,2865.0
145,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-05-17,12113,114422,     917,   -7228,241308,   -5970,-102309,8145.0
146,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-05-10,11196,121650,   -7389,    2271,247278,   -7535,-110454,-9660.0
147,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-05-03,18585,119379,    4316,    9575,254813,   16818,-100794,-5259.0
148,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-04-26,14269,109804,    1546,  -10106,237995,  -13296,-95535,11652.0
149,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-04-19,12723,119910,    2798,   -1842,251291,    5888,-107187,4640.0
150,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-04-12,9925,121752,   -4658,    3340,245403,    3186,-111827,-7998.0
151,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-04-05,14583,118412,    -691,    1007,242217,    2519,-103829,-1698.0
152,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-03-29,15274,117405,  -21402,    2247,239698,   -8523,-102131,-23649.0
153,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-03-22,36676,115158,    2660,   18802,248221,   32737,-78482,-16142.0
154,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-03-15,34016,96356,   18468,   24952,215484,    6801,-62340,-6484.0
155,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-03-08,15548,71404,     883,  -11993,208683,      54,-55856,12876.0
156,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-03-01,14665,83397,    3689,    9234,208629,   14460,-68732,-5545.0
157,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-02-22,10976,74163,     551,   -2424,194169,   -5256,-63187,2975.0
158,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-02-15,10425,76587,   -5267,    1747,199425,    2947,-66162,-7014.0
159,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-02-08,15692,74840,    1182,    -310,196478,    2043,-59148,1492.0
160,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-02-01,14510,75150,   -1356,   -8989,194435,   -3395,-60640,7633.0
161,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-01-25,15866,84139,    7864,   -4742,197830,   -3990,-68273,12606.0
162,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-01-18,8002,88881,  -14362,  -21008,201820,  -32185,-80879,6646.0
163,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-01-11,22364,109889,  -18452,    6811,234005,     -63,-87525,-25263.0
164,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2022-01-04,40816,103078,    8341,   17501,234068,   30254,-62262,-9160.0
165,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-12-28,32475,85577,   10284,   11100,203814,   20071,-53102,-816.0
166,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-12-21,22191,74477,    1960,     723,183743,    7159,-52286,1237.0
167,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-12-14,20231,73754,    7083,   -2475,176584,  -29386,-53523,9558.0
168,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-12-07,13148,76229,   -1437,  -17222,205970,  -10722,-63081,15785.0
169,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-11-30,14585,93451,   -5700,  -24087,216692,  -35109,-78866,18387.0
170,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-11-23,20285,117538,   -4350,    -223,251801,   -1096,-97253,-4127.0
171,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-11-16,24635,117761,    8195,   -4030,252897,    9810,-93126,12225.0
172,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-11-09,16440,121791,   -3897,   -6170,243087,   -7971,-105351,2273.0
173,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-11-02,20337,127961,  -11150,  -10562,251058,  -14196,-107624,-588.0
174,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-10-26,31487,138523,   -4226,      76,265254,   -1496,-107036,-4302.0
175,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-10-19,35713,138447,     -97,   26003,266750,   23133,-102734,-26100.0
176,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-10-12,35810,112444,    4241,   17181,243617,   17238,-76634,-12940.0
177,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-10-05,31569,95263,   -3759,   -4825,226379,    6741,-63694,1066.0
178,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-09-28,35328,100088,   12484,   21173,219638,   28425,-64760,-8689.0
179,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-09-21,22844,78915,    1116,   -3108,191213,    -875,-56071,4224.0
180,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-09-14,21728,82023,   -7976,  -10006,192088,  -12347,-60295,2030.0
181,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-09-07,29704,92029,     674,    -131,204435,   10436,-62325,805.0
182,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-08-31,29030,92160,    2267,   -1274,193999,    -478,-63130,3541.0
183,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-08-24,26763,93434,    -769,    2694,194477,   -2018,-66671,-3463.0
184,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-08-17,27532,90740,   -9152,   -6601,196495,   -9636,-63208,-2551.0
185,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-08-10,36684,97341,    6275,   11742,206131,   16889,-60657,-5467.0
186,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-08-03,30409,85599,   -2566,   -7310,189242,   -6860,-55190,4744.0
187,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-07-27,32975,92909,   -2499,    1704,196102,    3801,-59934,-4203.0
188,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-07-20,35474,91205,   -4966,   -5485,192301,  -11426,-55731,519.0
189,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-07-13,40440,96690,    8815,   -4071,203727,   -1614,-56250,12886.0
190,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-07-06,31625,100761,    4245,    3486,205341,    9643,-69136,759.0
191,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2021-06-29,27380,97275,   -6738,    9295,195698,    5153,-69895,-16033.0
