,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
69,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-09-05,22245,33969,   -2980,   -1256,93933,   -3027,-11724,-1724.0
70,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-08-29,25225,35225,    2299,   -2419,96960,    -248,-10000,4718.0
71,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-08-22,22926,37644,   -9331,    2166,97208,   -7008,-14718,-11497.0
72,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-08-15,32257,35478,    -770,    6482,104216,   -2350,-3221,-7252.0
73,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-08-08,33027,28996,   -3120,   -4646,106566,   -9170,4031,1526.0
74,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-08-01,36147,33642,      64,     -72,115736,     789,2505,136.0
75,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-07-25,36083,33714,    6374,   -3136,114947,   12680,2369,9510.0
76,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-07-18,29709,36850,    6504,   -4940,102267,    4485,-7141,11444.0
77,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-07-11,23205,41790,   -1028,    4475,97782,    2621,-18585,-5503.0
78,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-07-03,24233,37315,    3194,   -2646,95161,    2600,-13082,5840.0
79,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-06-27,21039,39961,    1704,    4767,92561,    4650,-18922,-3063.0
80,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-06-20,19335,35194,     751,     841,87911,  -18587,-15859,-90.0
81,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-06-13,18584,34353,    -622,   -8056,106498,    2813,-15769,7434.0
82,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-06-06,19206,42409,   -1140,     -47,103684,    5666,-23203,-1092.0
83,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-05-30,20345,42456,   -1168,   -2089,98019,     941,-22111,921.0
84,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-05-23,21513,44545,   -2984,   -1784,97077,   -2406,-23032,-1200.0
85,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-05-16,24497,46329,    -389,    1767,99483,    2487,-21832,-2156.0
86,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-05-09,24886,44562,   -1047,   -2362,96996,     -98,-19676,1315.0
87,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-05-02,25933,46924,   14519,   22673,97094,   47486,-20991,-8155.0
88,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-04-25,11415,24251,    1967,    2605,49609,    1578,-12836,-637.0
89,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-04-18,9448,21647,     743,    2119,48031,    2899,-12199,-1376.0
90,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-04-11,8705,19528,    1554,     565,45132,     986,-10823,990.0
91,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-04-04,7151,18964,    1056,    1084,44146,    5971,-11813,-28.0
92,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-03-28,6095,17880,   -1707,    -997,38175,   -2699,-11785,-711.0
93,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-03-21,7802,18876,   -2296,   -1262,40874,  -11245,-11074,-1034.0
94,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-03-14,10098,20138,   -3494,     194,52119,    7410,-10040,-3687.0
95,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-03-07,13592,19945,     784,    -866,44709,    -247,-6353,1650.0
96,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-02-28,12808,20811,    -864,    -984,44956,    -688,-8003,120.0
97,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-02-21,13672,21795,    -584,    4170,45644,    1919,-8123,-4754.0
98,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-02-14,14256,17625,     689,     916,43725,     576,-3369,-227.0
99,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-02-07,13567,16709,    2898,    1325,43150,    2957,-3142,1572.0
100,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-01-31,10670,15384,     117,    -153,40193,    1367,-4714,269.0
101,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-01-24,10553,15536,   -2371,   -2694,38826,   -2504,-4983,323.0
102,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-01-17,12924,18230,     -48,     688,41330,    2516,-5306,-735.0
103,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-01-10,12972,17543,     348,   -1027,38814,   -1052,-4571,1375.0
104,DJIA Consolidated - CHICAGO BOARD OF TRADE,2023-01-03,12624,18570,     888,     811,39866,    2391,-5946,76.0
105,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-12-27,11737,17759,    -790,    2012,37475,    1173,-6022,-2800.0
106,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-12-20,12526,15748,     821,   -2229,36303,  -16925,-3222,3049.0
107,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-12-13,11706,17977,     717,    1186,53227,   12339,-6271,-469.0
108,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-12-06,10989,16791,     381,    3112,40889,    1347,-5802,-2731.0
109,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-11-29,10608,13679,     274,     149,39542,     -92,-3071,124.0
110,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-11-22,10335,13530,    2833,     723,39633,    2717,-3195,2110.0
111,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-11-15,7502,12807,   -3124,   -1991,36917,   -1959,-5305,-1133.0
112,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-11-08,10626,14798,     365,     438,38875,     968,-4172,-73.0
113,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-11-01,10261,14360,    2182,    -655,37908,    2548,-4099,2836.0
114,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-10-25,8080,15015,     969,    -521,35360,     742,-6935,1490.0
115,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-10-18,7111,15536,    -457,    1093,34618,    1652,-8425,-1550.0
116,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-10-11,7568,14443,     974,    -402,32966,    -361,-6875,1375.0
117,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-10-04,6594,14844,    -561,   -1926,33326,    -202,-8250,1365.0
118,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-09-27,7155,16770,    -504,    1395,33528,     783,-9615,-1898.0
119,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-09-20,7658,15375,   -2673,    -799,32745,  -13544,-7717,-1874.0
120,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-09-13,10331,16174,   -1284,    -245,46289,    7926,-5843,-1039.0
121,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-09-06,11615,16419,   -1747,    2347,38363,    -352,-4804,-4094.0
122,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-08-30,13362,14072,     623,    -964,38715,   -1675,-710,1587.0
123,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-08-23,12739,15036,    1132,     -54,40390,    -129,-2297,1185.0
124,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-08-16,11608,15090,    1604,   -1269,40519,    2822,-3482,2873.0
125,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-08-09,10004,16359,    1924,    -932,37697,    1388,-6355,2855.0
126,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-08-02,8081,17291,     103,   -1279,36310,    -335,-9210,1382.0
127,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-07-26,7978,18570,    -806,    1868,36644,    1006,-10592,-2674.0
128,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-07-19,8784,16702,    1947,     -57,35639,    2012,-7918,2004.0
129,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-07-12,6837,16759,    1311,    -310,33627,     -92,-9922,1619.0
130,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-07-05,5527,17068,    1021,      26,33719,     339,-11541,995.0
131,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-06-28,4506,17042,    -650,    -850,33380,   -1133,-12536,201.0
132,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-06-21,5155,17892,   -2092,    -500,34512,  -12280,-12737,-1592.0
133,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-06-14,7247,18392,    -340,     585,46792,    6587,-11145,-925.0
134,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-06-07,7587,17807,     487,   -2352,40205,   -2036,-10220,2839.0
135,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-05-31,7100,20159,    -578,     445,42241,     731,-13059,-1023.0
136,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-05-24,7678,19714,     402,     694,41510,    1412,-12036,-292.0
137,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-05-17,7276,19020,     658,     823,40099,   -1372,-11744,-165.0
138,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-05-10,6618,18197,      88,    2076,41470,    1746,-11579,-1989.0
139,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-05-03,6531,16121,     156,   -1147,39724,   -2508,-9590,1303.0
140,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-04-26,6375,17268,   -1404,    2097,42232,    3421,-10893,-3501.0
141,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-04-19,7779,15171,    3326,    -739,38811,    3219,-7392,4064.0
142,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-04-12,4454,15910,    -595,    1998,35593,    2277,-11456,-2592.0
143,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-04-05,5048,13912,    1179,     330,33316,     662,-8864,848.0
144,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-03-29,3870,13582,   -1540,     750,32654,    1142,-9712,-2290.0
145,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-03-22,5410,12832,   -2247,    -878,31512,  -14767,-7422,-1368.0
146,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-03-15,7656,13710,   -1025,    -929,46279,    7499,-6054,-96.0
147,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-03-08,8681,14639,     -31,   -1808,38780,    -254,-5958,1777.0
148,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-03-01,8712,16447,    -497,     581,39034,    -763,-7735,-1077.0
149,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-02-22,9208,15866,   -1347,     636,39796,    -900,-6658,-1983.0
150,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-02-15,10555,15230,   -1474,    -230,40696,    -701,-4675,-1244.0
151,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-02-08,12029,15460,    -200,   -1557,41397,   -2286,-3431,1357.0
152,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-02-01,12229,17017,    -736,   -1086,43683,   -2635,-4788,350.0
153,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-01-25,12965,18103,     653,     619,46318,   -1033,-5138,34.0
154,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-01-18,12312,17484,   -3890,    -119,47351,     784,-5172,-3771.0
155,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-01-11,16202,17603,   -4740,     279,46567,   -4312,-1401,-5018.0
156,DJIA Consolidated - CHICAGO BOARD OF TRADE,2022-01-04,20942,17325,    3134,   -1063,50879,    2504,3617,4196.0
157,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-12-28,17808,18387,    4127,      74,48375,    2683,-579,4054.0
158,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-12-21,13681,18314,   -1910,    -616,45692,  -14642,-4633,-1294.0
159,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-12-14,15591,18930,   -3273,   -2211,60334,    8805,-3339,-1062.0
160,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-12-07,18864,21141,    1823,     681,51530,     728,-2277,1141.0
161,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-11-30,17042,20460,   -2525,    -182,50802,   -2245,-3418,-2342.0
162,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-11-23,19566,20642,    1285,     221,53046,    1147,-1076,1063.0
163,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-11-16,18282,20421,      -3,    1430,51900,     167,-2139,-1432.0
164,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-11-09,18284,18991,   -4667,   -1416,51733,   -5333,-707,-3251.0
165,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-11-02,22951,20407,    2176,     500,57066,    2418,2544,1675.0
166,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-10-26,20776,19907,     723,    1670,54648,    1628,869,-947.0
167,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-10-19,20053,18237,    3961,       4,53020,    2000,1816,3957.0
168,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-10-12,16092,18233,    1447,     501,51020,    2900,-2141,947.0
169,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-10-05,14645,17733,    -197,    -950,48120,   -1152,-3088,753.0
170,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-09-28,14842,18683,    2450,   -2111,49272,    1330,-3841,4559.0
171,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-09-21,12393,20793,   -3714,   -1264,47942,  -12591,-8400,-2449.0
172,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-09-14,16106,22057,   -1171,    -292,60533,    7143,-5951,-880.0
173,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-09-07,17277,22348,   -4649,    -849,53390,   -1248,-5071,-3800.0
174,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-08-31,21926,23197,      76,     651,54638,     791,-1271,-575.0
175,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-08-24,21850,22546,     725,    -552,53847,    -116,-696,1277.0
176,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-08-17,21125,23098,   -2322,    1096,53963,   -3416,-1973,-3417.0
177,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-08-10,23447,22003,    -757,    1090,57378,    1971,1444,-1847.0
178,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-08-03,24204,20913,    3921,     444,55408,    4131,3291,3478.0
179,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-07-27,20283,20470,    1358,    -416,51277,     -73,-187,1773.0
180,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-07-20,18926,20886,   -4414,    2152,51350,   -4477,-1960,-6565.0
181,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-07-13,23339,18734,    3297,    1866,55827,    2842,4605,1430.0
182,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-07-06,20043,16868,     699,   -2889,52986,     172,3175,3588.0
183,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-06-29,19344,19757,    5414,   -1748,52814,    1505,-413,7160.0
184,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-06-22,13931,21504,   -1397,    1132,51309,   -8394,-7573,-2529.0
185,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-06-15,15328,20372,   -1221,    -586,59702,    6555,-5044,-634.0
186,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-06-08,16548,20958,    -592,   -1065,53147,    1526,-4410,473.0
187,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-06-01,17140,22023,    1436,    -204,51621,    2213,-4883,1639.0
188,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-05-25,15705,22227,     758,    2766,49408,    1574,-6522,-2008.0
189,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-05-18,14947,19461,    -539,     304,47834,   -1488,-4514,-842.0
190,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-05-11,15486,19158,    1525,    2549,49322,    3330,-3672,-1025.0
191,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-05-04,13962,16609,    1201,    -180,45992,     392,-2647,1381.0
192,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-04-27,12761,16789,     223,    -193,45600,     -17,-4028,416.0
193,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-04-20,12538,16982,    -998,   -2248,45617,    -455,-4444,1250.0
194,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-04-13,13536,19230,     216,    -119,46072,   -1049,-5694,333.0
195,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-04-06,13321,19348,    2099,     852,47120,    2397,-6027,1248.0
196,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-03-30,11222,18497,     483,     853,44724,    -717,-7275,-370.0
197,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-03-23,10739,17644,    1397,   -1044,45440,   -8992,-6905,2440.0
198,DJIA Consolidated - CHICAGO BOARD OF TRADE,2021-03-16,9342,18687,    1210,   -1596,54432,    8030,-9345,2805.0
